,ABT
2003-09-05,29507514240
2003-09-08,30070157519
2003-09-09,29741948940
2003-09-10,30413995080
2003-09-11,30617171820
2003-09-12,30961009379
2003-09-15,30742203660
2003-09-16,30867235500
2003-09-17,30945380400
2003-09-18,30992267339
2003-09-19,30539026920
2003-09-22,30007641600
2003-09-23,30242076300
2003-09-24,29585659140
2003-09-25,29585659140
2003-09-26,29741948940
2003-09-29,29898238740
2003-09-30,29889668500
2003-10-01,30045913500
2003-10-02,30311529999
2003-10-03,29952166500
2003-10-06,30030289000
2003-10-07,29639676500
2003-10-08,29467807000
2003-10-09,29639676500
2003-10-10,29358435500
2003-10-13,29514680500
2003-10-14,29577178500
2003-10-15,29452182500
2003-10-16,29686550000
2003-10-17,29342811000
2003-10-20,29686550000
2003-10-21,29858419500
2003-10-22,28811578000
2003-10-23,29233439500
2003-10-24,29342811000
2003-10-27,29108443500
2003-10-28,29827170500
2003-10-29,30124036000
2003-10-30,30170909499
2003-10-31,29936542000
2003-11-03,30061537999
2003-11-04,29389684499
2003-11-05,29717799000
2003-11-06,29686550000
2003-11-07,29155317000
2003-11-10,29061570000
2003-11-11,29264688500
2003-11-12,29389684499
2003-11-13,30811514000
2003-11-14,31045881500
2003-11-17,31014632500
2003-11-18,30967759000
2003-11-19,31155253000
2003-11-20,30592770999
2003-11-21,30670893500
2003-11-24,31311498000
2003-11-25,31233375499
2003-11-26,31327122500
2003-11-28,31045881500
2003-12-01,31608363500
2003-12-02,31795857500
2003-12-03,31811482000
2003-12-04,31858355500
2003-12-05,31577114500
2003-12-08,31827106500
2003-12-09,31998976000
2003-12-10,31858355500
2003-12-11,32139596500
2003-12-12,32202094500
2003-12-15,32061474000
2003-12-16,32248968000
2003-12-17,32030225000
2003-12-18,32717703000
2003-12-19,32592707000
2003-12-22,32530209000
2003-12-23,32670829500
2003-12-24,32920821500
2003-12-26,32905196999
2003-12-29,33123940000
2003-12-30,32717703000
2003-12-31,32733327500
2004-01-02,32842699000
2004-01-05,32842699000
2004-01-06,32608331500
2004-01-07,32952070500
2004-01-08,31983351500
2004-01-09,31561490000
2004-01-12,31217751000
2004-01-13,31217751000
2004-01-14,31264624500
2004-01-15,31577114500
2004-01-16,30389652500
2004-01-20,30405277000
2004-01-21,30702142499
2004-01-22,30264656500
2004-01-23,30186534000
2004-01-26,30827138500
2004-01-27,30483399500
2004-01-28,30764640500
2004-01-29,30733391500
2004-01-30,30264656500
2004-02-02,30545897500
2004-02-03,31077130500
2004-02-04,31092754999
2004-02-05,31311498000
2004-02-06,31170877500
2004-02-09,31155253000
2004-02-10,30983383499
2004-02-11,31327122500
2004-02-12,30749016000
2004-02-13,31124004000
2004-02-17,31608363500
2004-02-18,31327122500
2004-02-19,30452150499
2004-02-20,30467775000
2004-02-23,30717767000
2004-02-24,30592770999
2004-02-25,30561521999
2004-02-26,30249032000
2004-02-27,30061537999
2004-03-01,30483399500
2004-03-02,30639644500
2004-03-03,30858387500
2004-03-04,30655269000
2004-03-05,30608395500
2004-03-08,30311529999
2004-03-09,29780296999
2004-03-10,29124068000
2004-03-11,29170941500
2004-03-12,29108443500
2004-03-15,28592835000
2004-03-16,29202190500
2004-03-17,28545961500
2004-03-18,28155349000
2004-03-19,28249095999
2004-03-22,27827234499
2004-03-23,28124100000
2004-03-24,27639740500
2004-03-25,27967854999
2004-03-26,28202222500
2004-03-29,28499087999
2004-03-30,28780329000
2004-03-31,28837651920
2004-04-01,29368214780
2004-04-02,29727124950
2004-04-05,30086035120
2004-04-06,30304502180
2004-04-07,29992406380
2004-04-08,29695915370
2004-04-12,28900071080
2004-04-13,28244669900
2004-04-14,29446238730
2004-04-15,30850669830
2004-04-16,30959903360
2004-04-19,31006717730
2004-04-20,30335711760
2004-04-21,30257687810
2004-04-22,31037927310
2004-04-23,30803855459
2004-04-26,30866274620
2004-04-27,31162765630
2004-04-28,30975508150
2004-04-29,31147160840
2004-04-30,30881879410
2004-05-03,31599699750
2004-05-04,31193975209
2004-05-05,31334418319
2004-05-06,31350023110
2004-05-07,30975508150
2004-05-10,30444945290
2004-05-11,30554178819
2004-05-12,30772645880
2004-05-13,30600993190
2004-05-14,30725831510
2004-05-17,30663412349
2004-05-18,30600993190
2004-05-19,30476154870
2004-05-20,30054825540
2004-05-21,29820753690
2004-05-24,29524262680
2004-05-25,30320106970
2004-05-26,30632202770
2004-05-27,31022322520
2004-05-28,30757041090
2004-06-01,30616597980
