,PRU
2006-06-02,37947786000
2006-06-05,37357064000
2006-06-06,37596282000
2006-06-07,37483996000
2006-06-08,37806208000
2006-06-09,37606046000
2006-06-12,37108082000
2006-06-13,36566180000
2006-06-14,36346490000
2006-06-15,37210604000
2006-06-16,36917684000
2006-06-19,36688230000
2006-06-20,36976268000
2006-06-21,37274070000
2006-06-22,36907920000
2006-06-23,36800516000
2006-06-26,37493760000
2006-06-27,36990914000
2006-06-28,37210604000
2006-06-29,38040544000
2006-06-30,37358160000
2006-07-03,38012048000
2006-07-05,37502400000
2006-07-06,37555288000
2006-07-07,37290848000
2006-07-10,37718760000
2006-07-11,38012048000
2006-07-12,37627408000
2006-07-13,36954288000
2006-07-14,36781200000
2006-07-17,37040832000
2006-07-18,36814856000
2006-07-19,37194688000
2006-07-20,37213920000
2006-07-21,37377392000
2006-07-24,37853384000
2006-07-25,37901464000
2006-07-26,37487976000
2006-07-27,37266808000
2006-07-28,37843768000
