,OTIS
2023-07-07,35682088000
2023-07-10,35854624000
2023-07-11,35916244000
2023-07-12,36442068000
2023-07-13,36585848000
2023-07-14,36446176000
2023-07-17,36372232000
2023-07-18,36368124000
2023-07-19,36183264000
2023-07-20,35682088000
2023-07-21,35842300000
2023-07-24,35834084000
2023-07-25,35973756000
2023-07-26,37271884000
2023-07-27,36836436000
2023-07-28,36992540000
2023-07-31,37366368000
2023-08-01,37066484000
2023-08-02,36721412000
2023-08-03,36815896000
2023-08-04,36359908000
2023-08-07,37054160000
2023-08-08,36536552000
2023-08-09,36150400000
2023-08-10,36060024000
2023-08-11,35908028000
2023-08-14,35760140000
2023-08-15,35221992000
2023-08-16,35028916000
2023-08-17,34474336000
2023-08-18,34396284000
2023-08-21,34310016000
2023-08-22,34075860000
2023-08-23,34445580000
2023-08-24,34030672000
2023-08-25,34453796000
2023-08-28,34770112000
2023-08-29,35127508000
2023-08-30,35189128000
2023-08-31,35143940000
2023-09-01,35398636000
2023-09-05,34650980000
2023-09-06,34667412000
2023-09-07,34084076000
2023-09-08,33977267999
2023-09-11,34092291999
2023-09-12,33927972000
2023-09-13,33393932000
2023-09-14,33554144000
2023-09-15,33324096000
2023-09-18,33435012000
2023-09-19,33759544000
2023-09-20,33562360000
2023-09-21,33246044000
2023-09-22,33200855999
2023-09-25,33254260000
2023-09-26,32572332000
2023-09-27,32596979999
2023-09-28,33057076000
2023-09-29,32991348000
2023-10-02,32436000000
2023-10-03,32395200000
2023-10-04,32664480000
2023-10-05,32289120000
2023-10-06,32452320000
2023-10-09,32619600000
2023-10-10,32762400000
2023-10-11,33064320000
2023-10-12,32819520000
2023-10-13,32640000000
2023-10-16,32848080000
2023-10-17,33076559999
2023-10-18,32170799999
2023-10-19,31893360000
2023-10-20,31632240000
2023-10-23,31379280000
2023-10-24,31526160000
2023-10-25,30791760000
2023-10-26,30812160000
2023-10-27,31065120000
2023-10-30,31228320000
2023-10-31,31501679999
2023-11-01,31338480000
2023-11-02,32089200000
2023-11-03,32562480000
2023-11-06,32770559999
2023-11-07,32586960000
2023-11-08,32986799999
2023-11-09,32905200000
2023-11-10,33468240000
2023-11-13,33366240000
2023-11-14,34247520000
2023-11-15,34108799999
2023-11-16,34239360000
2023-11-17,34492320000
2023-11-20,34598400000
2023-11-21,34639200000
2023-11-22,34655520000
2023-11-24,34696320000
2023-11-27,34761600000
2023-11-28,34394400000
2023-11-29,34406640000
2023-11-30,35002320000
2023-12-01,35394000000
2023-12-04,35593920000
2023-12-05,35022720000
2023-12-06,35271600000
2023-12-07,35357280000
2023-12-08,35700000000
2023-12-11,36112080000
2023-12-12,36328320000
2023-12-13,36479280000
2023-12-14,36993360000
2023-12-15,36797520000
2023-12-18,36511920000
2023-12-19,36646560000
2023-12-20,36014160000
2023-12-21,36067200000
2023-12-22,36356880000
2023-12-26,36569040000
2023-12-27,36560880000
2023-12-28,36585360000
2023-12-29,36503760000
2024-01-02,35831836000
2024-01-03,35515780000
2024-01-04,35527936000
2024-01-05,35459052000
2024-01-08,35479312000
2024-01-09,35211880000
2024-01-10,35252400000
2024-01-11,34895824000
2024-01-12,34932292000
2024-01-16,35114632000
2024-01-17,34624340000
2024-01-18,35240244000
2024-01-19,35568456000
2024-01-22,35633288000
2024-01-23,35795368000
2024-01-24,35661652000
2024-01-25,36054696000
2024-01-26,35912876000
2024-01-29,36192464000
2024-01-30,36468000000
2024-01-31,35835888000
2024-02-01,36297816000
2024-02-02,36861044000
2024-02-05,36828628000
2024-02-06,37254088000
2024-02-07,37185204000
2024-02-08,36820524000
2024-02-09,36905616000
2024-02-12,37010968000
2024-02-13,36504468000
2024-02-14,36804316000
2024-02-15,37367544000
2024-02-16,36970448000
2024-02-20,36881304000
2024-02-21,37148736000
2024-02-22,37444532000
2024-02-23,37894304000
2024-02-26,38015864000
2024-02-27,38028020000
2024-02-28,38461584000
2024-02-29,38615560000
2024-03-01,38769536000
2024-03-04,38652028000
2024-03-05,38307608000
2024-03-06,38570988000
2024-03-07,39280088000
2024-03-08,39559676000
2024-03-11,39024812000
2024-03-12,39486740000
2024-03-13,39831160000
2024-03-14,39908148000
2024-03-15,39912200000
2024-03-18,39725808000
2024-03-19,40049968000
2024-03-20,40248516000
2024-03-21,40609144000
2024-03-22,40252568000
2024-03-25,40131008000
2024-03-26,39964876000
2024-03-27,40463272000
2024-03-28,40224204000
2024-04-01,39940564000
2024-04-02,39608300000
2024-04-03,39810900000
2024-04-04,39377336000
2024-04-05,39616404000
2024-04-08,39721756000
2024-04-09,40163424000
2024-04-10,39425960000
2024-04-11,39697444000
2024-04-12,38964032000
2024-04-15,38919460000
2024-04-16,38891096000
2024-04-17,38477792000
2024-04-18,38692548000
2024-04-19,38538572000
2024-04-22,39016708000
2024-04-23,39494844000
2024-04-24,37833524000
2024-04-25,37691704000
2024-04-26,37359440000
2024-04-29,37833524000
2024-04-30,36954240000
2024-05-01,37047436000
2024-05-02,37185204000
2024-05-03,37327024000
2024-05-06,37720068000
2024-05-07,38044228000
2024-05-08,38299504000
2024-05-09,38951876000
2024-05-10,39344920000
2024-05-13,39138268000
2024-05-14,39332764000
2024-05-15,39413804000
2024-05-16,39126112000
2024-05-17,39219308000
2024-05-20,39336816000
2024-05-21,39770380000
2024-05-22,39993240000
2024-05-23,39357076000
2024-05-24,39535364000
