,RAD
2004-06-15,2458547750
2004-06-16,2484427200
2004-06-17,2520658430
2004-06-18,2546537880
2004-06-21,2567241440
2004-06-22,2562065550
2004-06-23,2582769110
2004-06-24,2784628820
2004-06-25,2763925260
2004-06-28,2769101150
2004-06-29,2701814580
2004-06-30,2701814580
2004-07-01,2655231570
2004-07-02,2629352120
2004-07-06,2541361990
2004-07-07,2551713770
2004-07-08,2572417330
2004-07-09,2577593220
2004-07-12,2536186100
2004-07-13,2577593220
2004-07-14,2536186100
2004-07-15,2546537880
2004-07-16,2531010210
2004-07-19,2531010210
2004-07-20,2587945000
2004-07-21,2593120890
2004-07-22,2531010210
2004-07-23,2499954870
2004-07-26,2453371860
2004-07-27,2515482540
2004-07-28,2505130760
2004-07-29,2520658430
2004-07-30,2541361990
2004-08-02,2515482540
2004-08-03,2468899530
2004-08-04,2380909400
2004-08-05,2380909400
2004-08-06,2401612960
2004-08-09,2355029950
2004-08-10,2370557620
2004-08-11,2344678170
2004-08-12,2298095160
2004-08-13,2313622830
2004-08-16,2349854060
2004-08-17,2386085290
2004-08-18,2380909400
2004-08-19,2344678170
2004-08-20,2355029950
2004-08-23,2344678170
2004-08-24,2329150500
2004-08-25,2267039820
2004-08-26,2267039820
2004-08-27,2277391600
2004-08-30,2270565070
2004-08-31,2275737200
2004-09-01,2353319150
