,DRI
2003-05-07,2743486000
2003-05-08,2728375000
2003-05-09,2810645999
2003-05-12,2840868000
2003-05-13,2834152000
2003-05-14,2800572000
2003-05-15,2825756999
2003-05-16,2849263000
2003-05-19,2753559999
2003-05-20,2733412000
2003-05-21,2728375000
2003-05-22,2763634000
2003-05-23,2758597000
2003-05-27,2757077999
2003-05-28,2809782000
2003-05-29,2836134000
2003-05-30,2921777999
2003-06-02,2934954000
2003-06-03,2854250999
2003-06-04,2865780000
2003-06-05,2860839000
2003-06-06,2855898000
2003-06-09,2855898000
2003-06-10,2910249000
2003-06-11,2946483000
2003-06-12,2941542000
2003-06-13,2786724000
2003-06-16,2821311000
2003-06-17,2846016000
2003-06-18,2824605000
2003-06-19,2875662000
2003-06-20,2818017000
2003-06-23,2816370000
2003-06-24,2813075999
2003-06-25,2786724000
2003-06-26,2832840000
2003-06-27,2796606000
2003-06-30,2799900000
2003-07-01,2765313000
2003-07-02,2839427999
2003-07-03,2799900000
2003-07-07,2786724000
2003-07-08,2849310000
2003-07-09,2847663000
2003-07-10,2809782000
2003-07-11,2926719000
2003-07-14,2908602000
2003-07-15,2798252999
2003-07-16,2799900000
2003-07-17,2771900999
2003-07-18,2813075999
2003-07-21,2765313000
2003-07-22,2806488000
2003-07-23,2819664000
2003-07-24,2804841000
2003-07-25,2816370000
2003-07-28,2813075999
2003-07-29,2794959000
2003-07-30,2786724000
2003-07-31,2758725000
2003-08-01,2778489000
2003-08-04,2781783000
2003-08-05,2903661000
2003-08-06,2831193000
2003-08-07,2898720000
2003-08-08,2918484000
2003-08-11,2895425999
2003-08-12,2982717000
2003-08-13,3091419000
2003-08-14,3155652000
2003-08-15,3152358000
2003-08-18,3152358000
2003-08-19,3096360000
2003-08-20,3099654000
2003-08-21,3099654000
2003-08-22,3060125999
2003-08-25,3095173000
2003-08-26,3101769000
2003-08-27,3142994000
2003-08-28,3184219000
2003-08-29,3218848000
2003-09-02,3317788000
2003-09-03,3314490000
2003-09-04,3271616000
2003-09-05,3283159000
2003-09-08,3245232000
2003-09-09,3260073000
2003-09-10,3238636000
2003-09-11,3217199000
2003-09-12,3200709000
2003-09-15,3293053000
2003-09-16,3293053000
2003-09-17,3274914000
2003-09-18,3321086000
2003-09-19,3307894000
2003-09-22,3253477000
2003-09-23,3227093000
2003-09-24,3156186000
2003-09-25,2768671000
2003-09-26,2715903000
2003-09-29,2765373000
2003-09-30,2804949000
2003-10-01,2834631000
2003-10-02,2785161000
2003-10-03,2829684000
2003-10-06,2832982000
2003-10-07,2804949000
2003-10-08,2831333000
2003-10-09,2893995000
2003-10-10,2854419000
2003-10-13,2915432000
2003-10-14,2955008000
2003-10-15,2956657000
2003-10-16,3044054000
2003-10-17,3058895000
2003-10-20,3068789000
2003-10-21,2989637000
2003-10-22,2923677000
2003-10-23,2902240000
2003-10-24,2955008000
2003-10-27,2959955000
2003-10-28,3017670000
2003-10-29,3060544000
2003-10-30,3098471000
2003-10-31,3093524000
2003-11-03,3138047000
2003-11-04,3016021000
2003-11-05,2996233000
2003-11-06,3014372000
2003-11-07,3004478000
2003-11-10,2968200000
2003-11-11,2969849000
2003-11-12,3024266000
2003-11-13,3044054000
2003-11-14,3027564000
