,GM
2015-01-23,54573750000
2015-01-26,54492900000
2015-01-27,54040140000
2015-01-28,53102280000
2015-01-29,53619719999
2015-01-30,52746539999
2015-02-02,53538870000
2015-02-03,54945659999
2015-02-04,57937110000
2015-02-05,58616250000
2015-02-06,58212000000
2015-02-09,58212000000
2015-02-10,60669840000
2015-02-11,60912390000
2015-02-12,61478340000
2015-02-13,60831539999
2015-02-17,60217080000
2015-02-18,60136230000
2015-02-19,60653670000
2015-02-20,60880050000
2015-02-23,60944730000
2015-02-24,61041750000
2015-02-25,61219620000
2015-02-26,60734520000
2015-02-27,60330270000
2015-03-02,60815370000
2015-03-03,61122599999
2015-03-04,60750690000
2015-03-05,60815370000
2015-03-06,59570280000
2015-03-09,60896219999
2015-03-10,60718349999
2015-03-11,61090260000
2015-03-12,62141310000
2015-03-13,61526849999
2015-03-16,62383860000
2015-03-17,61914930000
2015-03-18,62254500000
2015-03-19,62497050000
2015-03-20,62852789999
2015-03-23,62400030000
2015-03-24,61203450000
2015-03-25,60443460000
2015-03-26,60394950000
2015-03-27,60330270000
2015-03-30,60928560000
2015-03-31,59850000000
2015-04-01,58637040000
2015-04-02,58254000000
2015-04-06,58509359999
2015-04-07,57025079999
2015-04-08,57631560000
2015-04-09,57918840000
2015-04-10,58365720000
2015-04-13,58094400000
2015-04-14,58222079999
2015-04-15,58956240000
2015-04-16,59179680000
2015-04-17,58477440000
2015-04-20,59227560000
2015-04-21,59307359999
2015-04-22,59307359999
2015-04-23,57328320000
2015-04-24,56801640000
2015-04-27,57104880000
2015-04-28,57009120000
2015-04-29,56673960000
2015-04-30,55955760000
2015-05-01,56530320000
2015-05-04,56498400000
2015-05-05,55875960000
2015-05-06,55492920000
2015-05-07,55668480000
2015-05-08,56370720000
2015-05-11,56211120000
2015-05-12,55445040000
2015-05-13,55540799999
2015-05-14,55301400000
2015-05-15,55716359999
2015-05-18,55939799999
2015-05-19,56051519999
2015-05-20,55891920000
2015-05-21,56785680000
2015-05-22,56977200000
2015-05-26,56689920000
2015-05-27,57152760000
2015-05-28,58078440000
2015-05-29,57408120000
2015-06-01,57743280000
2015-06-02,57807120000
2015-06-03,57360240000
2015-06-04,56721840000
2015-06-05,56051519999
2015-06-08,55844040000
2015-06-09,56274960000
2015-06-10,56801640000
2015-06-11,56737799999
2015-06-12,56993160000
2015-06-15,56594160000
2015-06-16,56833560000
2015-06-17,57152760000
2015-06-18,57775200000
2015-06-19,57631560000
2015-06-22,57759240000
2015-06-23,57934799999
2015-06-24,56115359999
2015-06-25,55381200000
2015-06-26,54870480000
2015-06-29,53035079999
2015-06-30,52561410000
2015-07-01,52104080000
2015-07-02,52403709999
2015-07-06,51489050000
2015-07-07,51820220000
