,MCK
2003-02-06,7691292000
2003-02-07,7839090000
2003-02-10,7940520000
2003-02-11,7839090000
2003-02-12,7659414000
2003-02-13,7317450000
2003-02-14,7549290000
2003-02-18,7862274000
2003-02-19,7841988000
2003-02-20,7795620000
2003-02-21,7966602000
2003-02-24,7726068000
2003-02-25,7830396000
2003-02-26,7810110000
2003-02-27,7914438000
2003-02-28,7720272000
2003-03-03,7598556000
2003-03-04,7453656000
2003-03-05,7508718000
2003-03-06,7462350000
2003-03-07,7447860000
2003-03-10,7187040000
2003-03-11,7085610000
2003-03-12,7123283999
2003-03-13,6868260000
2003-03-14,6662502000
2003-03-17,7053732000
2003-03-18,7187040000
2003-03-19,7276878000
2003-03-20,7178346000
2003-03-21,7363818000
2003-03-24,7134876000
2003-03-25,7352226000
2003-03-26,7334838000
2003-03-27,7250796000
2003-03-28,7346430000
2003-03-31,7224714000
2003-04-01,7334838000
2003-04-02,7360920000
2003-04-03,7407288000
2003-04-04,7311654000
2003-04-07,7213122000
2003-04-08,7143570000
2003-04-09,7004466000
2003-04-10,7071120000
2003-04-11,7100100000
2003-04-14,7239204000
2003-04-15,7221816000
2003-04-16,7129080000
2003-04-17,6969690000
2003-04-21,6868260000
2003-04-22,7047936000
2003-04-23,6839280000
2003-04-24,6955200000
2003-04-25,6937812000
2003-04-28,7056630000
2003-04-29,7204428000
2003-04-30,8041950000
2003-05-01,8123094000
2003-05-02,8438976000
2003-05-05,8412894000
2003-05-06,8424486000
2003-05-07,8259300000
2003-05-08,8198442000
2003-05-09,8259300000
2003-05-12,8346240000
2003-05-13,8412894000
2003-05-14,8360730000
2003-05-15,8491140000
2003-05-16,8525916000
2003-05-19,8157870000
2003-05-20,8175258000
2003-05-21,8250606000
2003-05-22,8491140000
2003-05-23,8514324000
2003-05-27,8725878000
2003-05-28,8731674000
2003-05-29,8740368000
2003-05-30,8786736000
2003-06-02,8908452000
2003-06-03,8978004000
2003-06-04,9215640000
2003-06-05,9366336000
2003-06-06,9563400000
2003-06-09,9351846000
2003-06-10,9343152000
2003-06-11,9653238000
2003-06-12,9861894000
2003-06-13,10012590000
2003-06-16,10458882000
2003-06-17,10705212000
2003-06-18,10403820000
2003-06-19,10374840000
2003-06-20,10427004000
2003-06-23,10128510000
2003-06-24,10244430000
2003-06-25,10087938000
2003-06-26,10398024000
2003-06-27,10392228000
2003-06-30,10361026000
2003-07-01,10262460000
2003-07-02,10221874000
2003-07-03,10149399000
2003-07-07,10337833999
2003-07-08,10436400000
2003-07-09,10572653000
2003-07-10,10392915000
2003-07-11,10471188000
2003-07-14,10468289000
2003-07-15,10436400000
2003-07-16,10474087000
2003-07-17,10445097000
2003-07-18,10407410000
2003-07-21,10247965000
2003-07-22,10230571000
2003-07-23,10132005000
2003-07-24,10030540000
2003-07-25,10129106000
2003-07-28,10033439000
2003-07-29,10001550000
2003-07-30,9960964000
2003-07-31,9352174000
2003-08-01,9546407000
2003-08-04,9569599000
2003-08-05,9436245000
2003-08-06,9334780000
2003-08-07,9526114000
2003-08-08,9560902000
2003-08-11,9615983000
2003-08-12,9708751000
2003-08-13,9697155000
2003-08-14,9775428000
2003-08-15,9769630000
2003-08-18,9856600000
2003-08-19,9868196000
2003-08-20,9650771000
2003-08-21,9824711000
2003-08-22,9795721000
2003-08-25,9729044000
2003-08-26,9685558999
2003-08-27,9520316000
2003-08-28,9491326000
2003-08-29,9491326000
2003-09-02,9749337000
2003-09-03,10042136000
2003-09-04,10068227000
2003-09-05,9943570000
2003-09-08,10134904000
2003-09-09,9917479000
2003-09-10,9978358000
2003-09-11,9975458999
2003-09-12,9984156000
2003-09-15,10004449000
2003-09-16,10155197000
2003-09-17,10276955000
2003-09-18,10491481000
2003-09-19,10253763000
2003-09-22,10065328000
2003-09-23,10056631000
2003-09-24,9737741000
2003-09-25,9729044000
2003-09-26,9740640000
2003-09-29,9798620000
2003-09-30,9660758000
2003-10-01,9994488000
2003-10-02,9930644000
2003-10-03,9907428000
2003-10-06,9698484000
2003-10-07,9576600000
2003-10-08,9562090000
2003-10-09,9605620000
2003-10-10,9620130000
2003-10-13,9657856000
2003-10-14,9712994000
2003-10-15,9753622000
2003-10-16,9884212000
2003-10-17,9759426000
2003-10-20,9663660000
2003-10-21,9762328000
2003-10-22,9495344000
2003-10-23,9811662000
2003-10-24,9306714000
2003-10-27,9112280000
2003-10-28,8952670000
2003-10-29,8720510000
2003-10-30,8711804000
2003-10-31,8784354000
2003-11-03,8717608000
2003-11-04,8450624000
2003-11-05,8502860000
2003-11-06,8444820000
2003-11-07,8282308000
2003-11-10,8343250000
2003-11-11,8343250000
2003-11-12,8389682000
2003-11-13,8647960000
