,GP
2018-07-16,44997593
2018-07-17,47605471
2018-07-18,47530694
2018-07-19,47483957
2018-07-23,49886197
2018-07-24,50222697
2018-07-25,51568699
2018-07-26,53279244
2018-07-27,52344520
2018-07-30,51877158
2018-07-31,50493767
2018-08-01,51278935
2018-08-02,50269434
2018-08-03,52185617
2018-08-06,54774801
2018-08-07,50278781
2018-08-08,49811419
2018-08-09,50456378
2018-08-10,46736179
2018-08-13,45511691
2018-08-14,46614664
2018-08-15,46324900
2018-08-16,44866731
2018-08-17,46080937
2018-08-20,47007248
2018-08-21,45137801
2018-08-23,44680721
2018-08-24,44332069
2018-08-27,46016441
2018-08-28,46287511
2018-08-29,45427565
2018-08-31,43932008
2018-09-04,41731668
2018-09-05,41731668
2018-09-06,40006169
2018-09-07,39622932
2018-09-10,39503287
2018-09-11,41127837
2018-09-12,40894156
2018-09-13,40211808
2018-09-17,37388943
2018-09-19,38557347
2018-09-20,36921581
2018-09-21,39164918
2018-09-24,42062561
2018-09-25,42062561
2018-09-26,39258390
2018-09-27,39028448
2018-10-02,39044877
2018-10-03,37311170
2018-10-04,35534447
2018-10-05,34019558
2018-10-09,33935397
2018-10-10,33664213
2018-10-11,34599330
2018-10-12,34101848
2018-10-15,33795130
2018-10-16,33355625
2018-10-18,32540203
2018-10-22,32841030
2018-10-25,33196655
2018-10-26,35871090
2018-10-29,33458488
2018-11-02,30690541
2018-11-05,33533297
2018-11-06,33477190
2018-11-07,32448561
2018-11-09,34131772
2018-11-12,33664213
2018-11-13,32420508
2018-11-15,32562645
2018-11-16,33336922
2018-11-19,33336922
2018-11-20,30909358
2018-11-21,30909358
2018-11-23,30909358
2018-11-26,30344548
2018-11-29,31694763
2018-11-30,32139973
2018-12-03,32240030
2018-12-04,30391304
2018-12-06,28118969
2018-12-07,29905978
2018-12-10,28053511
2018-12-11,25248160
2018-12-12,27109043
2018-12-13,28988628
2018-12-14,28988628
2018-12-17,32037110
2018-12-18,32729096
2018-12-19,32729096
2018-12-20,30483132
2018-12-21,30129471
2018-12-24,30129471
2018-12-26,29923745
2018-12-27,29923745
2018-12-31,27398929
2019-01-02,31958229
2019-01-03,30851695
2019-01-04,33758693
2019-01-07,30607882
2019-01-08,32136400
2019-01-09,32305194
2019-01-10,31873833
2019-01-11,32511497
2019-01-14,31152053
2019-01-16,31151772
2019-01-18,31414339
2019-01-22,32436759
2019-01-23,37441204
2019-01-24,37537791
2019-01-25,37031411
2019-01-28,37125185
2019-01-29,35812347
2019-01-30,32811574
2019-01-31,32428976
2019-02-04,32428976
2019-02-05,32539629
2019-02-06,32759717
2019-02-07,32820952
2019-02-08,33758693
2019-02-13,33758693
2019-02-14,32617462
2019-02-15,31320565
2019-02-19,31592510
2019-02-20,31592510
2019-02-21,32145778
2019-02-22,32173910
2019-02-25,32145778
2019-02-26,33092897
2019-02-27,33758693
2019-02-28,35634176
2019-03-01,33514880
2019-03-04,33571145
2019-03-05,33214803
2019-03-06,32455232
2019-03-07,33402351
2019-03-08,32783442
2019-03-12,31976984
2019-03-13,31883210
2019-03-14,31883210
2019-03-15,31311188
2019-03-18,31048620
2019-03-19,30945469
2019-03-20,31404962
2019-03-21,30607882
2019-03-25,32624026
2019-03-26,30879827
2019-03-27,31493110
2019-03-28,29867066
2019-03-29,29538856
2019-04-01,33166051
2019-04-02,33013904
2019-04-03,31544509
2019-04-04,31654790
2019-04-05,35341041
2019-04-08,34718157
2019-04-09,33697034
2019-04-10,35024493
2019-04-11,35024493
2019-04-15,41355451
2019-04-16,39720635
2019-04-17,40324118
2019-04-18,40765243
2019-04-22,41324818
2019-04-23,41375874
2019-04-24,42264250
2019-04-25,40079049
2019-04-26,41222706
2019-04-29,37956952
2019-05-01,37956952
2019-05-02,39849296
2019-05-03,39190672
2019-05-06,38486098
2019-05-07,36959520
2019-05-08,38087860
2019-05-09,35930229
2019-05-10,35672906
2019-05-13,36358079
2019-05-14,36566388
2019-05-15,37515215
2019-05-16,37577299
2019-05-17,38383986
2019-05-20,41661788
2019-05-22,34667101
2019-05-24,36760401
2019-05-28,33697034
2019-05-29,34718157
2019-05-30,34718157
2019-06-03,34054427
2019-06-04,33717457
2019-06-05,33697034
2019-06-07,34717136
2019-06-10,44929379
2019-06-11,44786422
2019-06-12,44209488
2019-06-13,41947702
2019-06-14,42366362
2019-06-17,39017081
2019-06-18,40926580
2019-06-19,41861009
2019-06-20,43060726
2019-06-21,41297247
2019-06-24,42754389
2019-06-25,42897346
2019-06-26,42897346
2019-07-02,48012592
2019-07-03,48969832
2019-07-05,48969832
2019-07-08,46463799
2019-07-09,46012067
2019-07-11,44925761
2019-07-12,45603358
2019-07-15,46485310
2019-07-17,46453043
2019-07-18,48399790
2019-07-19,49561385
2019-07-22,48093258
2019-07-24,46141134
2019-07-25,49131165
2019-07-26,51024135
2019-07-29,49475341
2019-07-30,49964717
2019-08-01,47646905
2019-08-02,46065845
2019-08-06,46947797
2019-08-07,43708237
2019-08-09,45650682
2019-08-12,45829224
2019-08-13,46592865
2019-08-14,44097587
2019-08-15,46560598
2019-08-16,44904250
2019-08-19,44097587
2019-08-20,44180512
2019-08-21,43022036
2019-08-22,42709051
2019-08-26,41301154
2019-08-27,41516265
2019-08-28,40967734
2019-08-29,38612277
2019-08-30,40085782
2019-09-03,40107293
2019-09-04,39117786
2019-09-09,36557975
2019-09-11,38526233
2019-09-12,38461700
2019-09-13,36847836
2019-09-17,35493180
2019-09-18,36568730
2019-09-19,35482424
2019-09-20,35041448
2019-09-23,34917760
2019-09-24,33342078
2019-09-26,32201994
2019-09-27,32266527
2019-09-30,32062172
2019-10-01,31120405
2019-10-02,32884184
2019-10-03,34193491
2019-10-07,29215958
2019-10-09,29557243
2019-10-11,31173427
2019-10-15,29226779
2019-10-16,28999543
2019-10-17,27592849
2019-10-18,26164513
2019-10-21,24887668
2019-10-22,25969740
2019-10-24,26359286
2019-10-25,24151858
2019-10-28,27993216
2019-10-29,27993216
2019-10-30,27268227
2019-10-31,26208445
2019-11-01,27051813
2019-11-04,26413390
2019-11-05,25969740
2019-11-06,28133885
2019-11-07,27051813
2019-11-08,25969740
2019-11-11,27441359
2019-11-12,27592849
2019-11-13,23805595
2019-11-14,23805595
2019-11-18,25320497
2019-11-19,23805595
2019-11-20,22615315
2019-11-21,21641450
2019-11-22,23913802
2019-11-25,25428704
2019-11-26,23918131
2019-11-27,23048144
2019-11-29,22615315
2019-12-02,22182486
2019-12-03,20992207
2019-12-04,21255799
2019-12-05,20997617
2019-12-06,20559378
2019-12-10,22381588
2019-12-11,21111235
2019-12-12,23686567
2019-12-13,22820909
2019-12-16,21522422
2019-12-17,21100414
2019-12-18,19672078
2019-12-19,20213114
2019-12-20,24162679
2019-12-23,23805595
2019-12-24,23805595
2019-12-26,27639378
2019-12-27,23697388
2019-12-30,24076113
2019-12-31,23177993
2020-01-02,23891142
2020-01-03,26703235
2020-01-06,24146198
2020-01-07,25202244
2020-01-08,24059885
2020-01-13,25894046
2020-01-14,25732208
2020-01-15,25764576
2020-01-21,25807733
