,INVH
2020-05-08,13681882362
2020-05-11,13895919029
2020-05-12,13237344668
2020-05-13,13155022872
2020-05-14,13182463471
2020-05-15,13226368428
2020-05-18,13950800226
2020-05-19,13852014072
2020-05-20,13561143729
2020-05-21,13846525952
2020-05-22,13967264585
2020-05-26,14340456723
2020-05-27,14417290399
2020-05-28,14378873561
2020-05-29,14433754758
2020-06-01,15317342026
2020-06-02,15141722197
2020-06-03,15267948949
2020-06-04,15218555872
2020-06-05,15728951002
2020-06-08,16025309465
2020-06-09,15619188609
2020-06-10,15125257838
2020-06-11,14444730997
2020-06-12,15185627154
2020-06-15,15569795532
2020-06-16,15844201516
2020-06-17,15586259891
2020-06-18,15558819292
2020-06-19,15278925189
2020-06-22,15449056899
2020-06-23,15344782625
2020-06-24,14966102367
2020-06-25,15262460830
2020-06-26,14944149888
2020-06-29,14867316213
2020-06-30,15433290332
2020-07-01,15921011458
2020-07-02,15825709628
2020-07-06,15736013789
2020-07-07,15394048402
2020-07-08,15455714292
2020-07-09,15343594493
2020-07-10,15444502312
2020-07-13,15181020784
2020-07-14,15287534593
2020-07-15,15466926272
2020-07-16,15354806473
2020-07-17,15707983839
2020-07-20,15539804141
2020-07-21,15506168201
2020-07-22,15921011458
2020-07-23,15668741910
2020-07-24,15433290332
2020-07-27,15702377849
2020-07-28,15988283337
2020-07-29,16453580503
2020-07-30,16717062030
2020-07-31,16717062030
2020-08-03,16627366191
2020-08-04,16632972181
2020-08-05,16492822432
2020-08-06,16442368523
2020-08-07,16930089649
2020-08-10,16834787819
2020-08-11,16459186493
2020-08-12,16733880000
2020-08-13,16358278674
2020-08-14,16072373186
2020-08-17,16593730252
2020-08-18,16403126593
2020-08-19,16089191156
2020-08-20,16117221106
2020-08-21,16307824764
2020-08-24,16319036744
2020-08-25,16223734915
2020-08-26,15977071357
2020-08-27,16156463035
2020-08-28,16066767196
2020-08-31,16049949226
2020-09-01,16128433086
2020-09-02,16453580503
2020-09-03,16156463035
2020-09-04,16072373186
2020-09-08,15797679679
2020-09-09,16285400804
2020-09-10,15932223437
2020-09-11,15971465367
2020-09-14,16347066694
