,FCX
2004-05-18,5217515560
2004-05-19,5410237760
2004-05-20,5329644840
2004-05-21,5645008440
2004-05-24,5613472080
2004-05-25,5757137720
2004-05-26,5862258920
2004-05-27,5886787200
2004-05-28,5893795280
2004-06-01,5767649840
2004-06-02,5771153880
2004-06-03,5515358960
2004-06-04,5592447840
2004-06-07,5788674080
2004-06-08,5764145800
2004-06-09,5441774120
2004-06-10,5543391280
2004-06-14,5291100400
2004-06-15,5406733720
2004-06-16,5487326640
2004-06-17,5553903400
2004-06-18,5697569040
2004-06-21,5592447840
2004-06-22,5666032680
2004-06-23,5785170040
2004-06-24,5904307400
2004-06-25,5949859920
2004-06-28,5806194280
2004-06-29,5687056920
2004-06-30,5870320180
2004-07-01,5756952500
2004-07-02,5845521000
2004-07-06,5764037980
2004-07-07,6153739380
2004-07-08,6203337740
2004-07-09,6309619940
2004-07-12,6206880480
2004-07-13,6111226500
2004-07-14,6238765140
2004-07-15,6334419120
2004-07-16,6376932000
2004-07-19,6260021580
2004-07-20,6164367599
2004-07-21,5934089500
2004-07-22,6026200740
2004-07-23,5909290320
2004-07-26,5785294419
2004-07-27,5849063740
2004-07-28,5909290320
2004-07-29,6093512800
2004-07-30,6174995820
2004-08-02,6192709520
2004-08-03,6008487040
2004-08-04,5880948400
2004-08-05,5756952500
2004-08-06,5682554960
2004-08-09,5604614680
2004-08-10,5852606480
2004-08-11,5707354140
2004-08-12,5608157420
2004-08-13,5721525099
2004-08-16,5870320180
2004-08-17,5994316080
2004-08-18,6111226500
2004-08-19,6306077200
2004-08-20,6419444880
