,FRT
2003-09-22,1791510350
2003-09-23,1770468300
2003-09-24,1767532199
2003-09-25,1752851700
2003-09-26,1753830400
2003-09-29,1784659450
2003-09-30,1809309960
2003-10-01,1833362100
2003-10-02,1850542200
2003-10-03,1859377680
2003-10-06,1866740580
2003-10-07,1862813700
2003-10-08,1864286279
2003-10-09,1861831980
2003-10-10,1856923380
2003-10-13,1860359400
2003-10-14,1868704020
2003-10-15,1862813700
2003-10-16,1876066920
2003-10-17,1860850259
2003-10-20,1838270700
2003-10-21,1841706720
2003-10-22,1826980920
2003-10-23,1817654580
2003-10-24,1806364799
2003-10-27,1818636299
2003-10-28,1807346520
2003-10-29,1825999200
2003-10-30,1835816400
2003-10-31,1862813700
2003-11-03,1895210460
2003-11-04,1915335720
2003-11-05,1903064220
2003-11-06,1912881420
2003-11-07,1920244319
2003-11-10,1915335720
2003-11-11,1900609920
2003-11-12,1924171200
2003-11-13,1933006680
2003-11-14,1942823880
2003-11-17,1935951840
2003-11-18,1941842160
2003-11-19,1929570660
2003-11-20,1912390560
2003-11-21,1902082500
2003-11-24,1904045940
2003-11-25,1914354000
2003-11-26,1910427120
2003-11-28,1929570660
2003-12-01,1953622799
2003-12-02,1938897000
2003-12-03,1939878720
2003-12-04,1928588940
2003-12-05,1941351299
2003-12-08,1953622799
2003-12-09,1936442700
2003-12-10,1933988400
2003-12-11,1945769040
2003-12-12,1950677640
2003-12-15,1943314740
2003-12-16,1946259900
2003-12-17,1926625500
2003-12-18,1915335720
2003-12-19,1924662060
2003-12-22,1926625500
2003-12-23,1924171200
2003-12-24,1926625500
2003-12-26,1922207759
2003-12-29,1936442700
2003-12-30,1920735180
2003-12-31,1887367570
2004-01-02,1895233649
2004-01-05,1897691800
2004-01-06,1903591360
2004-01-07,1892775500
2004-01-08,1890317350
2004-01-09,1888842460
2004-01-12,1887859200
2004-01-13,1899166690
2004-01-14,1901624840
2004-01-15,1919815149
2004-01-16,1904574620
2004-01-20,1920798410
2004-01-21,1917357000
2004-01-22,1923256559
2004-01-23,1939971980
2004-01-26,1976352600
2004-01-27,2008800180
2004-01-28,2023549079
2004-01-29,2018141149
2004-01-30,2029940270
2004-02-02,2069762300
2004-02-03,2085002829
2004-02-04,2047638950
2004-02-05,2043214280
2004-02-06,2057963180
2004-02-09,2064354370
2004-02-10,2085494460
2004-02-11,2126299750
2004-02-12,2111059220
2004-02-13,2086969350
2004-02-17,2114500630
2004-02-18,2113517370
2004-02-19,2133674200
2004-02-20,2138590500
2004-02-23,2106634550
2004-02-24,2091885649
2004-02-25,2091885649
2004-02-26,2084511200
2004-02-27,2082053050
2004-03-01,2093360540
2004-03-02,2116467149
2004-03-03,2141048649
2004-03-04,2155797550
2004-03-05,2177920900
2004-03-08,2176446010
2004-03-09,2167105040
2004-03-10,2136132350
2004-03-11,2141048649
2004-03-12,2173004600
2004-03-15,2177920900
2004-03-16,2202502400
2004-03-17,2250682140
2004-03-18,2224625750
2004-03-19,2219709450
2004-03-22,2188736760
2004-03-23,2201027510
2004-03-24,2192669800
2004-03-25,2235441610
2004-03-26,2217251300
2004-03-29,2241341170
2004-03-30,2263956150
2004-03-31,2372785800
2004-04-01,2400006070
2004-04-02,2363541180
2004-04-05,2295747300
2004-04-06,2181730320
2004-04-07,2218708800
2004-04-08,2157078000
2004-04-12,2018408699
2004-04-13,1992729199
2004-04-14,1948560460
2004-04-15,1968076880
2004-04-16,2008136900
2004-04-19,2015327160
2004-04-20,1911581980
2004-04-21,1899769410
2004-04-22,1920826600
2004-04-23,1910041210
2004-04-26,1931098400
2004-04-27,1933666350
2004-04-28,1933666350
2004-04-29,1915690699
2004-04-30,1904391720
2004-05-03,1915690699
2004-05-04,1920313010
2004-05-05,1861763750
2004-05-06,1872035550
2004-05-07,1784725250
2004-05-10,1783698069
2004-05-11,1800132949
2004-05-12,1784725250
2004-05-13,1813486290
2004-05-14,1850464770
2004-05-17,1873062730
2004-05-18,1905418900
2004-05-19,1847896819
2004-05-20,1902850949
2004-05-21,1893092740
2004-05-24,1915690699
2004-05-25,1956777900
2004-05-26,2007109720
2004-05-27,2032275630
2004-05-28,2049224100
2004-06-01,2018408699
2004-06-02,2054360000
2004-06-03,2038952300
2004-06-04,2055387180
2004-06-07,2083121040
2004-06-08,2079525910
2004-06-09,2070794880
2004-06-10,2044088199
2004-06-14,2013786390
2004-06-15,2052819230
2004-06-16,2062063850
2004-06-17,2125235420
2004-06-18,2141670300
2004-06-21,2187893400
2004-06-22,2172485700
2004-06-23,2164781850
2004-06-24,2144238250
2004-06-25,2172485700
2004-06-28,2177108010
2004-06-29,2113422850
2004-06-30,2147707600
2004-07-01,2143060000
2004-07-02,2168880000
2004-07-06,2173527600
2004-07-07,2182822800
2004-07-08,2157002800
2004-07-09,2157002800
2004-07-12,2202446000
2004-07-13,2165265200
2004-07-14,2184372000
2004-07-15,2210192000
2004-07-16,2210192000
2004-07-19,2231880800
2004-07-20,2245307200
2004-07-21,2222069200
2004-07-22,2153388000
2004-07-23,2122404000
2004-07-26,2101748000
2004-07-27,2095551200
2004-07-28,2127051600
2004-07-29,2124986000
2004-07-30,2179208000
2004-08-02,2236012000
2004-08-03,2232913600
2004-08-04,2244790800
2004-08-05,2199864000
2004-08-06,2194700000
2004-08-09,2202962400
2004-08-10,2193150800
2004-08-11,2205028000
2004-08-12,2192118000
2004-08-13,2182822800
2004-08-16,2184372000
2004-08-17,2228266000
2004-08-18,2266996000
2004-08-19,2230331600
2004-08-20,2292816000
2004-08-23,2294881600
2004-08-24,2322767200
2004-08-25,2287652000
2004-08-26,2293848800
2004-08-27,2298496400
2004-08-30,2323283600
2004-08-31,2343423200
2004-09-01,2323800000
2004-09-02,2329480400
2004-09-03,2352202000
2004-09-07,2388350000
2004-09-08,2392997600
2004-09-09,2359948000
2004-09-10,2378022000
2004-09-13,2352718400
2004-09-14,2296430800
2004-09-15,2305726000
2004-09-16,2336710000
2004-09-17,2321218000
2004-09-20,2288168400
2004-09-21,2315021200
2004-09-22,2260282800
2004-09-23,2240143200
2004-09-24,2241692400
2004-09-27,2251504000
2004-09-28,2277324000
2004-09-29,2268545200
2004-09-30,2282104000
2004-10-01,2297663800
2004-10-04,2310111640
2004-10-05,2328264740
2004-10-06,2345380520
2004-10-07,2328783400
2004-10-08,2346417840
2004-10-11,2335007320
2004-10-12,2355753720
2004-10-13,2367682900
2004-10-14,2406582400
2004-10-15,2424735500
2004-10-18,2437702000
2004-10-19,2428366120
2004-10-20,2423179520
2004-10-21,2455855100
2004-10-22,2414880960
2004-10-25,2414880960
