,HRB
2003-11-26,9502171524
2003-11-28,9655145457
2003-12-01,9580437257
2003-12-02,9591109857
2003-12-03,9438135924
2003-12-04,9527074257
2003-12-05,9370542791
2003-12-08,9381215391
2003-12-09,9203338724
2003-12-10,9007674391
2003-12-11,9196223658
2003-12-12,9199781191
2003-12-15,9153533258
2003-12-16,9281604457
2003-12-17,9302949657
2003-12-18,9463038657
2003-12-19,9491498924
2003-12-22,9484383857
2003-12-23,9605339991
2003-12-24,9587552324
2003-12-26,9616012590
2003-12-29,9729853657
2003-12-30,9840137190
2003-12-31,9850809790
2004-01-02,9911287857
2004-01-05,9953978257
2004-01-06,10003783723
2004-01-07,9897057724
2004-01-08,9751198857
2004-01-09,9758313924
2004-01-12,9779659124
2004-01-13,9736968724
2004-01-14,10110509723
2004-01-15,10259926123
2004-01-16,10242138457
2004-01-20,10302616523
2004-01-21,10398669923
2004-01-22,10569431523
2004-01-23,10469820590
2004-01-26,10508953456
2004-01-27,10480493190
2004-01-28,10316846657
2004-01-29,10267041190
2004-01-30,10302616523
2004-02-02,9992088009
2004-02-03,10206525343
2004-02-04,10040509343
2004-02-05,10088930676
2004-02-06,10185773343
2004-02-09,10459008010
2004-02-10,10303368009
2004-02-11,10500512010
2004-02-12,10396752010
2004-02-13,10324120009
2004-02-17,10445173343
2004-02-18,10414045343
2004-02-19,10306826676
2004-02-20,10299909343
2004-02-23,10196149343
2004-02-24,10116600009
2004-02-25,9411032009
2004-02-26,9334941342
2004-02-27,9348776009
2004-03-01,9310730675
2004-03-02,9348776009
2004-03-03,9438701342
2004-03-04,9514792009
2004-03-05,9642762675
2004-03-08,9511333342
2004-03-09,9428325342
2004-03-10,9296896008
2004-03-11,9092834675
2004-03-12,9148173342
2004-03-15,8975240008
2004-03-16,8923360008
2004-03-17,9079000008
2004-03-18,9037496008
2004-03-19,8892232008
2004-03-22,8726216008
2004-03-23,8715840008
2004-03-24,8639749341
2004-03-25,8660501341
2004-03-26,8729674675
2004-03-29,8722757341
2004-03-30,8771178675
2004-03-31,8826517341
2004-04-01,8487568008
2004-04-02,8480650674
2004-04-05,8432229341
2004-04-06,8456440008
2004-04-07,8459898674
2004-04-08,8432229341
2004-04-12,8300800008
2004-04-13,8286965341
2004-04-14,8141701341
2004-04-15,8197040007
2004-04-16,8110573341
2004-04-19,8037941341
2004-04-20,7948016007
2004-04-21,7948016007
2004-04-22,8262754674
2004-04-23,8145160007
2004-04-26,8082904007
2004-04-27,8003354674
2004-04-28,7782000007
2004-04-29,7775082674
2004-04-30,7535450185
2004-05-03,7655696731
2004-05-04,7725840549
2004-05-05,7655696731
2004-05-06,7679078004
2004-05-07,7478667094
