,DVA
2004-05-28,3084948399
2004-06-01,3153412869
2004-06-02,3156064522
2004-06-03,3112860530
2004-06-04,3140772661
2004-06-07,3136785214
2004-06-08,3110866807
2004-06-09,3047067650
2004-06-10,3017161796
2004-06-14,3001889873
2004-06-15,2995230836
2004-06-16,2929776888
2004-06-17,2917814547
2004-06-18,2909839652
2004-06-21,2985601150
2004-06-22,2962673329
2004-06-23,2987594874
2004-06-24,2986598012
2004-06-25,2997563492
2004-06-28,2936754921
2004-06-29,2990585460
2004-06-30,3057378111
2004-07-01,3025644054
2004-07-02,2998868443
2004-07-06,2952259046
2004-07-07,2976059589
2004-07-08,2964159317
2004-07-09,3008785336
2004-07-12,3018702229
2004-07-13,3054403044
2004-07-14,3048452908
2004-07-15,3113904402
2004-07-16,3178364206
2004-07-19,3168447313
2004-07-20,3191256167
2004-07-21,3137704945
2004-07-22,3102004130
2004-07-23,3028619122
2004-07-26,2875898970
2004-07-27,2977051278
2004-07-28,2935400328
2004-07-29,2950275667
2004-07-30,3011760404
2004-08-02,2975067900
2004-08-03,2729128953
2004-08-04,2778713418
2004-08-05,2772763282
2004-08-06,2733095710
2004-08-09,2715245303
2004-08-10,2732104021
2004-08-11,2794580447
2004-08-12,2777721729
2004-08-13,2818380990
2004-08-16,2856065184
2004-08-17,2876890659
2004-08-18,2878874037
2004-08-19,2861023630
2004-08-20,2879865727
2004-08-23,2824331126
2004-08-24,2841189844
2004-08-25,2866973766
2004-08-26,2890774309
2004-08-27,2960192560
2004-08-30,2941350463
2004-08-31,3005810268
2004-09-01,2973084521
2004-09-02,3012752093
2004-09-03,2981018035
2004-09-07,2988951550
2004-09-08,2980026346
2004-09-09,2984984793
2004-09-10,2956225803
2004-09-13,2998868443
2004-09-14,3059361490
2004-09-15,3071261762
2004-09-16,3094070616
2004-09-17,3079195276
2004-09-20,3077211897
