,CMI
2004-07-22,2653874536
2004-07-23,2778863465
2004-07-26,2886730624
2004-07-27,2968915126
2004-07-28,2946656823
2004-07-29,3004870845
2004-07-30,2972339480
2004-08-02,2991173428
2004-08-03,2960354240
2004-08-04,2951793354
2004-08-05,2854199259
2004-08-06,2811394831
2004-08-09,2804546122
2004-08-10,2919261989
2004-08-11,2902140218
2004-08-12,2864472321
2004-08-13,2797697414
2004-08-16,2866184498
2004-08-17,2852487081
2004-08-18,2871321030
2004-08-19,2850774904
2004-08-20,2905564572
2004-08-23,2912413281
2004-08-24,2919261989
2004-08-25,2950081177
2004-08-26,2939808115
2004-08-27,2939808115
2004-08-30,2883306270
2004-08-31,2879881915
