,MCO
2003-12-30,9029496000
2003-12-31,9029496000
2004-01-02,9020550000
2004-01-05,9041424000
2004-01-06,9065280000
2004-01-07,8984766000
2004-01-08,8931090000
2004-01-09,8946000000
2004-01-12,8960910000
2004-01-13,8996694000
2004-01-14,9157722000
2004-01-15,9080190000
2004-01-16,9104046000
2004-01-20,9047388000
2004-01-21,9092118000
2004-01-22,9202452000
2004-01-23,9169650000
2004-01-26,9232272000
2004-01-27,9318750000
2004-01-28,9306822000
2004-01-29,9342606000
2004-01-30,9527490000
2004-02-02,9479778000
2004-02-03,9452940000
2004-02-04,9408210000
2004-02-05,9259110000
2004-02-06,9751140000
2004-02-09,9572220000
2004-02-10,9590111999
2004-02-11,9757104000
2004-02-12,9751140000
2004-02-13,9694482000
2004-02-17,9837618000
2004-02-18,9730266000
2004-02-19,9864456000
2004-02-20,9763068000
2004-02-23,9748158000
2004-02-24,9688518000
2004-02-25,9739211999
2004-02-26,9730266000
2004-02-27,9968826000
2004-03-01,9915150000
2004-03-02,9927078000
2004-03-03,9915150000
2004-03-04,10100034000
2004-03-05,10311756000
2004-03-08,10177566000
2004-03-09,10177566000
2004-03-10,10204404000
2004-03-11,10123890000
2004-03-12,10252116000
2004-03-15,10049340000
2004-03-16,10174584000
2004-03-17,10243170000
2004-03-18,10487694000
2004-03-19,10392270000
2004-03-22,10407180000
2004-03-23,10425072000
2004-03-24,10401216000
2004-03-25,10371396000
2004-03-26,10407180000
2004-03-29,10469802000
2004-03-30,10544352000
2004-03-31,10542120000
2004-04-01,10518296000
2004-04-02,10259210000
2004-04-05,10125200000
2004-04-06,10291968000
2004-04-07,10229430000
2004-04-08,10336638000
2004-04-12,10244320000
2004-04-13,10020970000
2004-04-14,9836334000
2004-04-15,9866114000
2004-04-16,9973322000
2004-04-19,9913762000
2004-04-20,9919718000
2004-04-21,9738060000
2004-04-22,10020970000
2004-04-23,9892916000
2004-04-26,9878026000
2004-04-27,10006080000
2004-04-28,9633830000
2004-04-29,9529600000
2004-04-30,9607028000
2004-05-03,9812510000
2004-05-04,9702324000
2004-05-05,9702324000
2004-05-06,9705302000
2004-05-07,9303272000
2004-05-10,9443238000
2004-05-11,9428348000
2004-05-12,9505776000
2004-05-13,9422392000
2004-05-14,9484930000
2004-05-17,9467062000
2004-05-18,9663610000
2004-05-19,9690412000
2004-05-20,9654676000
2004-05-21,9523644000
2004-05-24,9621918000
2004-05-25,9770818000
2004-05-26,9779752000
2004-05-27,9744016000
2004-05-28,9738060000
2004-06-01,9717214000
2004-06-02,9839312000
2004-06-03,9723170000
2004-06-04,9794642000
2004-06-07,9782730000
2004-06-08,9958432000
2004-06-09,9872070000
2004-06-10,9827400000
2004-06-14,9690412000
2004-06-15,9851224000
2004-06-16,9872070000
2004-06-17,9735082000
2004-06-18,9755928000
2004-06-21,9812510000
2004-06-22,9767840000
2004-06-23,9755928000
2004-06-24,9708280000
2004-06-25,9654676000
2004-06-28,9630852000
2004-06-29,9648720000
2004-06-30,9543816000
2004-07-01,9726840000
2004-07-02,9706176000
2004-07-06,9632376000
2004-07-07,9741600000
2004-07-08,9726840000
2004-07-09,9658944000
2004-07-12,9641231999
2004-07-13,9664848000
2004-07-14,9623520000
2004-07-15,9602856000
2004-07-16,9632376000
2004-07-19,9653040000
2004-07-20,9777024000
2004-07-21,9685512000
2004-07-22,9712080000
2004-07-23,9617616000
2004-07-26,9591048000
2004-07-27,9738648000
2004-07-28,9726840000
2004-07-29,9697320000
2004-07-30,10051560000
2004-08-02,10323144000
2004-08-03,10278864000
2004-08-04,10202112000
2004-08-05,9906912000
2004-08-06,9939384000
2004-08-09,9901008000
2004-08-10,9986616000
2004-08-11,9992520000
2004-08-12,9862631999
2004-08-13,9815400000
2004-08-16,10066320000
2004-08-17,9927576000
2004-08-18,10081080000
2004-08-19,10081080000
2004-08-20,10086984000
