,ALGN
2004-01-12,1169410890
2004-01-13,1132774470
2004-01-14,1162910880
2004-01-15,1134547200
2004-01-16,1185365460
2004-01-20,1210183680
2004-01-21,1204865490
2004-01-22,1181820000
2004-01-23,1227910980
2004-01-26,1287592890
2004-01-27,1267501950
2004-01-28,1166456340
2004-01-29,1122729000
2004-01-30,1226138250
2004-02-02,1222001880
2004-02-03,1229683710
2004-02-04,1181820000
2004-02-05,1196592750
2004-02-06,1222001880
2004-02-09,1228501890
2004-02-10,1223183700
2004-02-11,1265729220
2004-02-12,1263956490
2004-02-13,1198956390
2004-02-17,1230865530
2004-02-18,1202501850
2004-02-19,1162910880
2004-02-20,1183001820
2004-02-23,1180047270
2004-02-24,1153456320
2004-02-25,1185365460
2004-02-26,1164092700
2004-02-27,1164092700
2004-03-01,1158774510
2004-03-02,1156410870
2004-03-03,1151092680
2004-03-04,1177683630
2004-03-05,1161729060
2004-03-08,1129229010
2004-03-09,1131001740
2004-03-10,1107956250
2004-03-11,1075456200
2004-03-12,1106774430
2004-03-15,1059501630
2004-03-16,1068956190
2004-03-17,1086683490
2004-03-18,1084319850
2004-03-19,1093715319
2004-03-22,1061865269
2004-03-23,1063638000
2004-03-24,1064228910
2004-03-25,1113865350
2004-03-26,1120956270
2004-03-29,1149319950
2004-03-30,1146365400
2004-03-31,1134744920
2004-04-01,1189661560
2004-04-02,1209359920
2004-04-05,1256516600
2004-04-06,1241593600
2004-04-07,1228461360
2004-04-08,1218910640
2004-04-12,1338891560
2004-04-13,1283378000
2004-04-14,1315014760
2004-04-15,1295316400
2004-04-16,1316805520
2004-04-19,1360977600
2004-04-20,1239802840
2004-04-21,1267858080
2004-04-22,1146086400
2004-04-23,1134148000
2004-04-26,1132954160
2004-04-27,1131163400
2004-04-28,1086394400
2004-04-29,1076246760
2004-04-30,1036253120
2004-05-03,1101914320
2004-05-04,1118628080
2004-05-05,1125791120
2004-05-06,1092423292
2004-05-07,1074456000
2004-05-10,1076843680
2004-05-11,1115046560
2004-05-12,1122209600
2004-05-13,1140714120
2004-05-14,1153249440
2004-05-17,1159218640
2004-05-18,1170560120
2004-05-19,1158024800
2004-05-20,1161606320
2004-05-21,1150264840
2004-05-24,1172350880
2004-05-25,1192049240
2004-05-26,1128775720
2004-05-27,1139520280
2004-05-28,1137729520
2004-06-01,1122806520
2004-06-02,1138923360
2004-06-03,1128775720
2004-06-04,1107883520
2004-06-07,1115046560
2004-06-08,1098332800
2004-06-09,1064905280
2004-06-10,1064308359
2004-06-14,1038640799
2004-06-15,1092363600
2004-06-16,1105495840
2004-06-17,1086991320
2004-06-18,1096542040
2004-06-21,1097735880
2004-06-22,1106092760
2004-06-23,1121612680
2004-06-24,1095945120
2004-06-25,1101317400
2004-06-28,1091169760
2004-06-29,1095348200
2004-06-30,1146061000
2004-07-01,1129171680
2004-07-02,1108060030
2004-07-06,1067043110
2004-07-07,1079710100
2004-07-08,1022407050
2004-07-09,979580559
2004-07-12,968119950
2004-07-13,963294430
2004-07-14,960278480
2004-07-15,969929519
2004-07-16,934944500
2004-07-19,940976400
2004-07-20,972945469
2004-07-21,920467940
2004-07-22,1067646300
2004-07-23,1080313290
2004-07-26,1019391099
2004-07-27,1006120920
2004-07-28,1026629380
2004-07-29,1013359200
2004-07-30,1036280420
2004-08-02,1023010240
2004-08-03,980786940
2004-08-04,965707190
2004-08-05,939770020
2004-08-06,895133960
2004-08-09,895737150
2004-08-10,934944500
2004-08-11,910816900
2004-08-12,873419120
2004-08-13,838434100
2004-08-16,855926610
2004-08-17,875831880
2004-08-18,905991380
2004-08-19,905991380
2004-08-20,898753100
2004-08-23,894530770
2004-08-24,897546720
2004-08-25,922880700
2004-08-26,922880700
2004-08-27,930118980
2004-08-30,928309410
2004-08-31,924087080
2004-09-01,926499840
2004-09-02,926499840
2004-09-03,919864750
2004-09-07,925293460
2004-09-08,923483890
2004-09-09,935547690
2004-09-10,981993320
2004-09-13,982596510
2004-09-14,974755040
2004-09-15,949421060
2004-09-16,950024250
2004-09-17,946405110
2004-09-20,928309410
2004-09-21,941579590
2004-09-22,911420090
2004-09-23,907197760
2004-09-24,895737150
2004-09-27,886689300
2004-09-28,913229660
2004-09-29,927103030
2004-09-30,935838880
2004-10-01,962787120
2004-10-04,992185200
2004-10-05,1000759640
2004-10-06,991572740
2004-10-07,964624500
2004-10-08,952375300
2004-10-11,958499900
2004-10-12,954212680
2004-10-13,929101820
2004-10-14,915015240
2004-10-15,918690000
2004-10-18,886842080
2004-10-19,864793520
2004-10-20,907665720
2004-10-21,606335400
2004-10-22,597760960
2004-10-25,566525500
2004-10-26,549376620
2004-10-27,590411440
2004-10-28,609397700
2004-10-29,635427250
2004-11-01,642470540
2004-11-02,654719740
2004-11-03,674930920
2004-11-04,672481080
2004-11-05,673093540
2004-11-08,658394500
2004-11-09,690242420
2004-11-10,681055520
2004-11-11,670643700
2004-11-12,656557120
2004-11-15,659619420
2004-11-16,645532840
2004-11-17,646757760
2004-11-18,664519100
2004-11-19,652882360
2004-11-22,644920380
2004-11-23,635121020
2004-11-24,627159040
2004-11-26,630833800
2004-11-29,647982680
2004-11-30,647370220
2004-12-01,719028040
2004-12-02,717803120
2004-12-03,701879160
2004-12-06,704329000
2004-12-07,676155840
2004-12-08,679830600
2004-12-09,641858080
2004-12-10,649207600
2004-12-13,656557120
2004-12-14,661456800
2004-12-15,641245620
2004-12-16,636345940
2004-12-17,632058720
2004-12-20,632671180
2004-12-21,641245620
2004-12-22,652882360
2004-12-23,662069260
2004-12-27,663294180
2004-12-28,677993220
2004-12-29,665131560
2004-12-30,664519100
2004-12-31,658394500
2005-01-03,646757760
2005-01-04,637570860
2005-01-05,636958400
2005-01-06,627159040
2005-01-07,629608880
2005-01-10,630221340
2005-01-11,617359680
2005-01-12,619197060
2005-01-13,618584600
2005-01-14,629608880
2005-01-18,650432520
2005-01-19,656557120
2005-01-20,643695460
2005-01-21,627159040
2005-01-24,581224540
2005-01-25,578162240
2005-01-26,520591000
2005-01-27,542027100
2005-01-28,536514960
2005-01-31,530390360
2005-02-01,530390360
2005-02-02,532840199
2005-02-03,486905700
2005-02-04,489355540
2005-02-07,488130620
2005-02-08,473431580
2005-02-09,464244680
2005-02-10,471594200
2005-02-11,474044040
2005-02-14,489968000
2005-02-15,508341800
2005-02-16,508954260
2005-02-17,482618480
2005-02-18,465469600
2005-02-22,450158100
2005-02-23,456282700
2005-02-24,464857140
2005-02-25,465469600
2005-02-28,463632220
2005-03-01,453220400
2005-03-02,455057780
2005-03-03,462407300
2005-03-04,461182380
2005-03-07,482618480
2005-03-08,470981740
2005-03-09,465469600
2005-03-10,459345000
2005-03-11,448320720
2005-03-14,437908900
2005-03-15,423822320
2005-03-16,409123280
2005-03-17,410348200
2005-03-18,402998680
2005-03-21,405448520
2005-03-22,393199320
2005-03-23,365026160
2005-03-24,386462260
2005-03-28,390749480
2005-03-29,377887820
2005-03-30,389524560
2005-03-31,383660160
2005-04-01,362140760
2005-04-04,371978200
2005-04-05,369518840
2005-04-06,368904000
2005-04-07,381200800
2005-04-08,375667240
2005-04-11,366444640
2005-04-12,362755600
2005-04-13,375052400
2005-04-14,393497600
2005-04-15,421165400
2005-04-18,423009920
2005-04-19,427313800
2005-04-20,514006239
2005-04-21,512776560
2005-04-22,501709440
2005-04-25,505398480
2005-04-26,503553959
2005-04-27,524458519
2005-04-28,518310120
2005-04-29,517695280
2005-05-02,515850760
2005-05-03,513391400
2005-05-04,510932040
2005-05-05,513391400
2005-05-06,518310120
2005-05-09,541059200
2005-05-10,525688200
2005-05-11,523843680
2005-05-12,524458519
2005-05-13,513391400
2005-05-16,504168799
2005-05-17,510317200
2005-05-18,503553959
2005-05-19,496790720
2005-05-20,488182960
2005-05-23,451292560
2005-05-24,448218360
2005-05-25,442069960
2005-05-26,445144160
2005-05-27,441455120
2005-05-31,446988680
2005-06-01,445759000
2005-06-02,470352600
2005-06-03,465433880
2005-06-06,460515160
2005-06-07,447603520
2005-06-08,437151240
2005-06-09,463589360
2005-06-10,458670640
2005-06-13,470967440
2005-06-14,458670640
2005-06-15,448218360
2005-06-16,461130000
2005-06-17,464819040
2005-06-20,458055800
2005-06-21,453137080
2005-06-22,445759000
2005-06-23,426084120
2005-06-24,434691880
2005-06-27,427928640
2005-06-28,454674180
2005-06-29,450062880
2005-06-30,455377560
2005-07-01,459702720
2005-07-05,481328520
2005-07-06,477003360
2005-07-07,480710640
2005-07-08,502954320
2005-07-11,515311920
2005-07-12,506661599
2005-07-13,498629160
2005-07-14,491214600
2005-07-15,475767600
2005-07-18,457231200
2005-07-19,435605400
2005-07-20,381231960
2005-07-21,363313440
2005-07-22,374435280
2005-07-25,381849840
2005-07-26,399150480
2005-07-27,409654440
2005-07-28,413979600
2005-07-29,402857760
2005-08-01,405329280
2005-08-02,400386240
2005-08-03,384939240
2005-08-04,386175000
2005-08-05,384939240
2005-08-08,383703480
2005-08-09,386175000
2005-08-10,378760440
2005-08-11,383703480
2005-08-12,384939240
2005-08-15,404093520
2005-08-16,401622000
2005-08-17,412125960
2005-08-18,394825320
2005-08-19,397914720
2005-08-22,403475640
2005-08-23,400386240
2005-08-24,415215360
2005-08-25,415215360
2005-08-26,402239880
2005-08-29,409036560
2005-08-30,418304760
2005-08-31,420776280
2005-09-01,443637840
2005-09-02,440548440
2005-09-06,450434520
2005-09-07,444873600
2005-09-08,433751760
2005-09-09,436841160
2005-09-12,446727240
2005-09-13,443019960
2005-09-14,430044480
2005-09-15,422629920
2005-09-16,423865680
2005-09-19,410890200
2005-09-20,401622000
2005-09-21,387410760
2005-09-22,389882280
2005-09-23,409036560
2005-09-26,410272320
2005-09-27,407800800
2005-09-28,404711400
2005-09-29,412125960
2005-09-30,416969280
2005-10-03,415728300
2005-10-04,413246340
2005-10-05,397113600
2005-10-06,397734090
2005-10-07,397734090
2005-10-10,409523400
2005-10-11,408902910
2005-10-12,408902910
2005-10-13,411384870
2005-10-14,435583980
2005-10-17,439306920
2005-10-18,440547900
2005-10-19,452337210
2005-10-20,452957700
2005-10-21,455439660
2005-10-24,470951910
2005-10-25,459162600
2005-10-26,446752800
2005-10-27,424415160
2005-10-28,441168390
2005-10-31,457921620
2005-11-01,431240550
2005-11-02,443650350
2005-11-03,436824960
2005-11-04,434343000
2005-11-07,433722510
2005-11-08,428138100
2005-11-09,420071730
2005-11-10,433722510
2005-11-11,433102020
2005-11-14,425035650
2005-11-15,417589770
2005-11-16,408902910
2005-11-17,390908700
2005-11-18,399595560
2005-11-21,389047230
2005-11-22,390288210
2005-11-23,418830750
2005-11-25,428138100
2005-11-28,420692220
2005-11-29,424415160
2005-11-30,429379080
2005-12-01,427517610
2005-12-02,428758590
2005-12-05,420071730
2005-12-06,419451240
2005-12-07,411384870
2005-12-08,438686430
2005-12-09,428758590
2005-12-12,426276630
2005-12-13,425656140
2005-12-14,422553690
2005-12-15,421933200
2005-12-16,421312710
2005-12-19,408902910
2005-12-20,404559480
2005-12-21,409523400
2005-12-22,413866830
2005-12-23,420071730
2005-12-27,396493110
2005-12-28,396493110
2005-12-29,397113600
2005-12-30,401457030
2006-01-03,392613040
2006-01-04,380109440
2006-01-05,387924190
2006-01-06,386986420
2006-01-09,396364120
2006-01-10,395738940
2006-01-11,390737500
2006-01-12,428248300
2006-01-13,466384280
2006-01-17,523275659
2006-01-18,488265580
2006-01-19,475761980
2006-01-20,474511620
2006-01-23,467634640
2006-01-24,470760540
2006-01-25,503269900
2006-01-26,533903719
2006-01-27,525151200
