,KMI
2015-03-02,87417030000
2015-03-03,87973690000
2015-03-04,87866640000
2015-03-05,87438440000
2015-03-06,86517810000
2015-03-09,85832690000
2015-03-10,85832690000
2015-03-11,85233210000
2015-03-12,85147570000
2015-03-13,85468720000
2015-03-16,86967420000
2015-03-17,87417030000
2015-03-18,88979960000
2015-03-19,88915730000
2015-03-20,90178920000
2015-03-23,90243150000
2015-03-24,88252020000
2015-03-25,88059330000
2015-03-26,88380480000
2015-03-27,88359070000
2015-03-30,90071870000
2015-03-31,91480500000
2015-04-01,91176000000
2015-04-02,90741000000
2015-04-06,91284750000
2015-04-07,91328250000
2015-04-08,91458750000
2015-04-09,92089500000
2015-04-10,93372750000
2015-04-13,93481500000
2015-04-14,93546750000
2015-04-15,94460250000
2015-04-16,95004000000
2015-04-17,95482500000
2015-04-20,95069250000
2015-04-21,94851750000
2015-04-22,95852250000
2015-04-23,96939750000
2015-04-24,96439500000
2015-04-27,95939250000
2015-04-28,93960000000
2015-04-29,93677250000
2015-04-30,93416250000
2015-05-01,93807750000
2015-05-04,93155250000
2015-05-05,92763750000
2015-05-06,92807250000
2015-05-07,92785500000
2015-05-08,93590250000
2015-05-11,92742000000
2015-05-12,92872500000
2015-05-13,91698000000
2015-05-14,91654500000
2015-05-15,92698500000
2015-05-18,93155250000
2015-05-19,93220500000
2015-05-20,92633250000
2015-05-21,92785500000
2015-05-22,92850750000
2015-05-26,91545750000
2015-05-27,91328250000
2015-05-28,90523500000
2015-05-29,90240750000
2015-06-01,89805750000
2015-06-02,89805750000
2015-06-03,88892250000
2015-06-04,87217500000
2015-06-05,87870000000
2015-06-08,87435000000
2015-06-09,87522000000
2015-06-10,87500250000
2015-06-11,86521500000
2015-06-12,84651000000
2015-06-15,85608000000
2015-06-16,85890750000
2015-06-17,85956000000
2015-06-18,87174000000
2015-06-19,85999500000
2015-06-22,86238750000
2015-06-23,85760250000
2015-06-24,85803750000
2015-06-25,84781500000
2015-06-26,84738000000
2015-06-29,83433000000
2015-06-30,84573170000
2015-07-01,83669940000
2015-07-02,83780090000
2015-07-06,82612500000
2015-07-07,83141220000
2015-07-08,82171900000
2015-07-09,82612500000
2015-07-10,83912270000
2015-07-13,84132570000
2015-07-14,83758060000
