,ZTS
2015-10-12,21281154410
2015-10-13,21086828720
2015-10-14,21116724980
2015-10-15,21425653000
2015-10-16,21889045030
2015-10-19,21814304380
2015-10-20,21470497390
2015-10-21,20757969860
2015-10-22,20329456800
2015-10-23,21196448340
2015-10-26,21101776850
2015-10-27,21296102540
2015-10-28,21595065140
2015-10-29,21699702050
2015-10-30,21430635710
2015-11-02,22043509040
2015-11-03,23234376730
2015-11-04,23194515050
2015-11-05,22651399660
2015-11-06,22905517870
2015-11-09,22820811800
2015-11-10,22860673480
2015-11-11,22462056680
2015-11-12,22188007630
2015-11-13,22347454350
2015-11-16,22571676300
2015-11-17,22805863670
2015-11-18,23508425780
2015-11-19,23368909900
2015-11-20,23578183720
2015-11-23,23398806160
2015-11-24,23383858030
2015-11-25,23403788870
2015-11-27,23458598680
2015-11-30,23269255700
2015-12-01,23423719710
2015-12-02,23104826270
2015-12-03,22521849200
2015-12-04,23149670660
2015-12-07,22875621610
2015-12-08,22890569740
2015-12-09,22526831910
2015-12-10,22970293100
2015-12-11,22835759930
2015-12-14,23214445890
2015-12-15,23403788870
2015-12-16,23463581390
2015-12-17,23284203830
2015-12-18,23219428600
2015-12-21,23588149140
2015-12-22,23777492120
2015-12-23,23907042580
2015-12-24,23981783230
2015-12-28,23867180900
2015-12-29,24081437430
2015-12-30,24046558460
2015-12-31,23835360080
2016-01-04,23512050730
2016-01-05,23880125990
2016-01-06,23885099980
2016-01-07,23158897440
2016-01-08,22820666120
2016-01-11,22174047420
2016-01-12,22368033030
2016-01-13,21512506750
2016-01-14,21950217870
2016-01-15,21577168620
2016-01-19,21482662810
2016-01-20,21781102210
2016-01-21,21427948920
2016-01-22,21587116600
2016-01-25,21487636800
2016-01-26,21820894130
2016-01-27,21462766850
2016-01-28,21308573160
2016-01-29,21413026950
2016-02-01,21368261040
2016-02-02,20751486280
2016-02-03,20547552690
2016-02-04,20661954460
2016-02-05,20348593090
2016-02-08,19990465810
2016-02-09,19826324140
2016-02-10,19562702670
2016-02-11,19577624640
2016-02-12,20109841570
2016-02-16,20109841570
2016-02-17,20791278200
2016-02-18,20900705980
2016-02-19,20806200170
2016-02-22,21273755230
2016-02-23,21074795630
2016-02-24,21074795630
2016-02-25,21338417100
2016-02-26,21069821640
2016-02-29,20423202940
2016-03-01,20940497900
2016-03-02,20751486280
2016-03-03,20433150920
2016-03-04,20293879200
2016-03-07,20492838800
2016-03-08,20010361770
2016-03-09,20124763540
2016-03-10,19851194090
2016-03-11,20826096130
2016-03-14,20547552690
2016-03-15,20254087280
2016-03-16,20124763540
2016-03-17,19756688280
2016-03-18,20323723140
2016-03-21,20701746380
2016-03-22,21263807250
2016-03-23,21209093360
2016-03-24,21129509520
2016-03-28,20980289820
