,BEAM
2023-12-01,2390986347
2023-12-04,2390177762
2023-12-05,2284253105
2023-12-06,2318213682
2023-12-07,2324682363
2023-12-08,2134664848
2023-12-11,2154879478
2023-12-12,2105555782
2023-12-13,2286678860
2023-12-14,2408775221
2023-12-15,2297999053
2023-12-18,2219566291
2023-12-19,2386134836
2023-12-20,2234120824
2023-12-21,2269698572
2023-12-22,2383709081
2023-12-26,2411200976
2023-12-27,2351365674
2023-12-28,2379666155
2023-12-29,2200968832
2024-01-02,2216331950
2024-01-03,2087766908
2024-01-04,2103938612
2024-01-05,2107981538
2024-01-08,2252718283
2024-01-09,2260804135
2024-01-10,2189648640
2024-01-11,2108790123
2024-01-12,2069978035
2024-01-16,2029548776
2024-01-17,1951116015
2024-01-18,1896940808
2024-01-19,1915538267
2024-01-22,2002056880
2024-01-23,2021462925
2024-01-24,2002056880
2024-01-25,2014994243
2024-01-26,1964053377
2024-01-29,2287487445
2024-01-30,2089384079
2024-01-31,1972947814
2024-02-01,2137090604
2024-02-02,2095852760
2024-02-05,2096661345
2024-02-06,2254335453
2024-02-07,2229269313
2024-02-08,2272932912
2024-02-09,2348939918
2024-02-12,2700674467
2024-02-13,2424138339
2024-02-14,2530062996
2024-02-15,2669948231
2024-02-16,2660245209
2024-02-20,2571300840
2024-02-21,2568066499
2024-02-22,2711994660
2024-02-23,2748380992
2024-02-26,2894734908
2024-02-27,3644293361
2024-02-28,3526239926
2024-02-29,3193102836
2024-03-01,3221403317
2024-03-04,3092029690
2024-03-05,3113861489
2024-03-06,3095264030
2024-03-07,2988530788
2024-03-08,3034620143
2024-03-11,2956995966
2024-03-12,2894734908
2024-03-13,3021682780
2024-03-14,2798513273
2024-03-15,2863200086
2024-03-18,2754849674
2024-03-19,2817110732
2024-03-20,2819536487
2024-03-21,2826005169
2024-03-22,2719271926
2024-03-25,2724123437
2024-03-26,2686119934
2024-03-27,2745955237
2024-03-28,2671565401
2024-04-01,2640839165
2024-04-02,2470227694
2024-04-03,2399880784
2024-04-04,2347322748
2024-04-05,2280210179
2024-04-08,2329533874
2024-04-09,2370771718
2024-04-10,2188031470
2024-04-11,2205011758
2024-04-12,2096661345
2024-04-15,2078063886
2024-04-16,2078063886
2024-04-17,1965670548
2024-04-18,1965670548
2024-04-19,1932518556
2024-04-22,1948690259
2024-04-23,1897749393
2024-04-24,1838722676
2024-04-25,1746543967
2024-04-26,1728755093
2024-04-29,1782930299
2024-04-30,1715817730
2024-05-01,1757864159
2024-05-02,1837105506
2024-05-03,1870257498
2024-05-06,1861094859
2024-05-07,1840670201
2024-05-08,1816977597
2024-05-09,1841487187
2024-05-10,1736912937
2024-05-13,1962401164
2024-05-14,1945244451
2024-05-15,1969754041
2024-05-16,1943610479
2024-05-17,2011420344
2024-05-20,2029394043
2024-05-21,2026126098
2024-05-22,2032661989
2024-05-23,1961584178
2024-05-24,1986910754
2024-05-28,1978740891
2024-05-29,1934623629
2024-05-30,1968120068
2024-05-31,1946061438
2024-06-03,1991812672
2024-06-04,1988544727
2024-06-05,2000799522
2024-06-06,1966486096
2024-06-07,1896225271
2024-06-10,1993446645
2024-06-11,2031028016
2024-06-12,2129066375
2024-06-13,2062073496
2024-06-14,2031845002
2024-06-17,1963218150
2024-06-18,1892957326
2024-06-20,1882336504
2024-06-21,1874166641
2024-06-24,2028577057
2024-06-25,1981191850
2024-06-26,2029394043
2024-06-27,1959133219
2024-06-28,1914198971
2024-07-01,1883153490
2024-07-02,1843938146
2024-07-03,1918283902
2024-07-05,1885604449
2024-07-08,1948512397
2024-07-09,1947695410
2024-07-10,1957499246
2024-07-11,2114360622
2024-07-12,2196059255
2024-07-15,2093118977
2024-07-16,2229555694
2024-07-17,2200144186
2024-07-18,2080047196
2024-07-19,2119262540
2024-07-22,2209948022
2024-07-23,2477102552
2024-07-24,2435436249
2024-07-25,2628245023
2024-07-26,2707492697
2024-07-29,2617624201
2024-07-30,2581676802
2024-07-31,2584944748
2024-08-01,2476285566
2024-08-02,2257830969
2024-08-05,2108022279
2024-08-06,2100614157
2024-08-07,2013362942
2024-08-08,2050403552
2024-08-09,2013362942
