,IQV
2016-03-09,7821894000
2016-03-10,7794432000
2016-03-11,8047560000
2016-03-14,7979502000
2016-03-15,7808760000
2016-03-16,7764582000
2016-03-17,7719210000
2016-03-18,7746671999
2016-03-21,7713239999
2016-03-22,7796820000
2016-03-23,7706076000
2016-03-24,7669062000
2016-03-28,7614138000
2016-03-29,7769357999
2016-03-30,7725180000
2016-03-31,7779449999
2016-04-01,8068640000
2016-04-04,8176190000
2016-04-05,8088955000
2016-04-06,8387705000
2016-04-07,8384120000
2016-04-08,8464185000
2016-04-11,8406824999
2016-04-12,8293300000
2016-04-13,8365000000
2016-04-14,8325565000
2016-04-15,8375755000
2016-04-18,8344685000
2016-04-19,8333929999
2016-04-20,8331540000
2016-04-21,8368585000
2016-04-22,8369780000
2016-04-25,8365000000
2016-04-26,8374560000
2016-04-27,8343489999
2016-04-28,8362610000
2016-04-29,8253864999
2016-05-02,8257449999
2016-05-03,8061469999
2016-05-04,7771085000
2016-05-05,7710140000
2016-05-06,7882219999
2016-05-09,8010085000
2016-05-10,8084175000
2016-05-11,7881025000
2016-05-12,7804545000
2016-05-13,7855929999
2016-05-16,7836810000
2016-05-17,7836810000
2016-05-18,7869074999
2016-05-19,7757940000
2016-05-20,7952725000
2016-05-23,7883415000
2016-05-24,7996940000
2016-05-25,8013670000
2016-05-26,7975429999
2016-05-27,7970650000
2016-05-31,8112855000
2016-06-01,8109270000
2016-06-02,8105685000
2016-06-03,8032790000
2016-06-06,8031594999
2016-06-07,8035179999
2016-06-08,7982600000
2016-06-09,7951530000
2016-06-10,7835614999
2016-06-13,7815300000
2016-06-14,7787815000
2016-06-15,7779449999
2016-06-16,7751965000
2016-06-17,7576300000
2016-06-20,7610955000
2016-06-21,7627685000
2016-06-22,7638440000
2016-06-23,7769890000
2016-06-24,7566740000
2016-06-27,7327740000
2016-06-28,7456800000
2016-06-29,7587055000
2016-06-30,7767789079
2016-07-01,7950924340
2016-07-05,7994924370
2016-07-06,8123356890
2016-07-07,8204221809
2016-07-08,8492005790
2016-07-11,8421843579
2016-07-12,8450384140
2016-07-13,8450384140
2016-07-14,8659681580
2016-07-15,8522924730
2016-07-18,8606168030
2016-07-19,8578816660
2016-07-20,8707249180
2016-07-21,8668005910
2016-07-22,8803573570
2016-07-25,8809519520
2016-07-26,8972438550
2016-07-27,8918925000
2016-07-28,9266168480
2016-07-29,9232871160
2016-08-01,9348222590
2016-08-02,9223357640
2016-08-03,9161519760
2016-08-04,9201952220
2016-08-05,9249519820
2016-08-08,9104438640
2016-08-09,9094925120
2016-08-10,9134168390
2016-08-11,9127033250
2016-08-12,9085411600
2016-08-15,9098492690
2016-08-16,9050925090
2016-08-17,8954600700
2016-08-18,8949843940
2016-08-19,8924870950
2016-08-22,9108006210
2016-08-23,9039033190
2016-08-24,8967681790
2016-08-25,8999789920
2016-08-26,9000979110
2016-08-29,9206708980
2016-08-30,9173411660
2016-08-31,9192438700
2016-09-01,9206708980
2016-09-02,9152006240
2016-09-06,9102060260
2016-09-07,9238817110
2016-09-08,9257844150
2016-09-09,9165087330
2016-09-12,9244763060
2016-09-13,9219790070
2016-09-14,9263790100
2016-09-15,9257844150
2016-09-16,9193627890
2016-09-19,9201952220
2016-09-20,9212654930
2016-09-21,9275682000
2016-09-22,9291141470
2016-09-23,9443357790
2016-09-26,9392222620
2016-09-27,9477844300
2016-09-28,9462384830
2016-09-29,9401736140
2016-09-30,19357128000
2016-10-03,19151760000
2016-10-04,18815052000
2016-10-05,19232952000
2016-10-06,18929676000
2016-10-07,18975048000
2016-10-10,19058628000
2016-10-11,18442524000
2016-10-12,18122532000
2016-10-13,18077160000
2016-10-14,17991192000
2016-10-17,17976864000
2016-10-18,18227604000
2016-10-19,17960148000
2016-10-20,17771496000
2016-10-21,17675976000
2016-10-24,17800152000
2016-10-25,17773884000
2016-10-26,17461056000
2016-10-27,17217480000
2016-10-28,17138676000
2016-10-31,17131511999
2016-11-01,17112408000
2016-11-02,17279568000
2016-11-03,17243748000
2016-11-04,17334492000
2016-11-07,17812092000
2016-11-08,18134472000
2016-11-09,18549984000
2016-11-10,18707592000
2016-11-11,18418644000
2016-11-14,18361332000
2016-11-15,18612072000
2016-11-16,18461628000
2016-11-17,18979824000
2016-11-18,19075344000
2016-11-21,19108776000
2016-11-22,19151760000
2016-11-23,19072956000
2016-11-25,19240116000
2016-11-28,19061016000
2016-11-29,19326084000
2016-11-30,18347004000
2016-12-01,17432400000
2016-12-02,17678364000
2016-12-05,18077160000
2016-12-06,18526104000
2016-12-07,18370884000
2016-12-08,18516552000
2016-12-09,18707592000
2016-12-12,18963108000
2016-12-13,18941616000
2016-12-14,18958332000
2016-12-15,19232952000
2016-12-16,18597744000
2016-12-19,18311184000
2016-12-20,18361332000
2016-12-21,18015072000
2016-12-22,17898060000
2016-12-23,18201336000
2016-12-27,18112980000
2016-12-28,18139248000
2016-12-29,18120144000
2016-12-30,18160740000
2017-01-03,17701593000
2017-01-04,17782128000
2017-01-05,17717700000
2017-01-06,17906382000
2017-01-09,17945499000
2017-01-10,17920188000
2017-01-11,17713098000
2017-01-12,17761419000
2017-01-13,17754516000
2017-01-17,17669379000
2017-01-18,17393259000
2017-01-19,17503707000
2017-01-20,17510610000
2017-01-23,17453085000
2017-01-24,17338035000
2017-01-25,17379453000
2017-01-26,17381754000
2017-01-27,17570436000
2017-01-30,17338035000
2017-01-31,18060549000
2017-02-01,18076656000
2017-02-02,17996121000
2017-02-03,17860362000
2017-02-06,17890275000
2017-02-07,17945499000
2017-02-08,17977713000
2017-02-09,18143385000
2017-02-10,18306756000
2017-02-13,18408000000
2017-02-14,18937230000
2017-02-15,17913285000
2017-02-16,17687787000
2017-02-17,17660175000
2017-02-21,17545125000
2017-02-22,17798235000
2017-02-23,17975412000
2017-02-24,17864964000
2017-02-27,18286047000
2017-02-28,17807439000
2017-03-01,17740710000
2017-03-02,17667078000
2017-03-03,17913285000
2017-03-06,17924790000
2017-03-07,17828148000
2017-03-08,18207813000
2017-03-09,18361980000
2017-03-10,18569070000
2017-03-13,18532254000
2017-03-14,18322863000
2017-03-15,18601284000
2017-03-16,18502341000
2017-03-17,18755451000
2017-03-20,18408000000
2017-03-21,17929392000
2017-03-22,17839653000
2017-03-23,17825847000
2017-03-24,17945499000
2017-03-27,18108870000
2017-03-28,18108870000
2017-03-29,18442515000
2017-03-30,18391893000
2017-03-31,17523328000
2017-04-03,17412352000
2017-04-04,17157759999
2017-04-05,17022848000
2017-04-06,17262208000
2017-04-07,17231744000
2017-04-10,17157759999
2017-04-11,17138176000
2017-04-12,17118592000
2017-04-13,17179520000
2017-04-17,17294848000
2017-04-18,17405824000
2017-04-19,17690880000
2017-04-20,18034688000
2017-04-21,17897600000
2017-04-24,18006400000
2017-04-25,17984640000
2017-04-26,18065152000
2017-04-27,18208768000
2017-04-28,18339328000
2017-05-01,18406784000
2017-05-02,18569984000
2017-05-03,17982464000
2017-05-04,17886720000
2017-05-05,18126080000
2017-05-08,18200064000
2017-05-09,18337152000
2017-05-10,18234880000
2017-05-11,18160896000
2017-05-12,18036864000
2017-05-15,18195712000
2017-05-16,18102144000
2017-05-17,17891072000
2017-05-18,18080384000
2017-05-19,18071680000
2017-05-22,18178304000
2017-05-23,18234880000
2017-05-24,18326272000
2017-05-25,18430720000
2017-05-26,18717952000
2017-05-30,18604800000
2017-05-31,18809344000
2017-06-01,18959488000
2017-06-02,19133568000
2017-06-05,18994304000
2017-06-06,18950784000
2017-06-07,19055232000
2017-06-08,19105280000
2017-06-09,18746240000
2017-06-12,18624384000
2017-06-13,18872448000
2017-06-14,18789760000
2017-06-15,18850688000
2017-06-16,18959488000
2017-06-19,19120512000
2017-06-20,19233664000
2017-06-21,19536128000
2017-06-22,19775488000
2017-06-23,19819008000
2017-06-26,19623168000
2017-06-27,19468672000
2017-06-28,19712384000
2017-06-29,19457792000
2017-06-30,19179850000
2017-07-03,18907689000
2017-07-05,19106988000
2017-07-06,18828398000
2017-07-07,19040555000
2017-07-10,18916261000
2017-07-11,18884116000
2017-07-12,19053413000
2017-07-13,19119846000
2017-07-14,19154134000
2017-07-17,19304144000
2017-07-18,19302001000
2017-07-19,19492728000
2017-07-20,19351290000
2017-07-21,19533445000
2017-07-24,19655596000
2017-07-25,19398436000
2017-07-26,19651310000
2017-07-27,19627737000
2017-07-28,19426295000
2017-07-31,19404865000
2017-08-01,19563447000
2017-08-02,19634166000
2017-08-03,19522730000
2017-08-04,19377006000
2017-08-07,19542017000
2017-08-08,19430581000
2017-08-09,19308430000
2017-08-10,18766251000
2017-08-11,19053413000
2017-08-14,19284857000
2017-08-15,19614879000
2017-08-16,19842037000
2017-08-17,19651310000
2017-08-18,19619165000
2017-08-21,19947044000
2017-08-22,20300639000
2017-08-23,20167773000
2017-08-24,20382073000
2017-08-25,21177126000
2017-08-28,20476365000
2017-08-29,20572800000
2017-08-30,20527797000
2017-08-31,20579229000
2017-09-01,20504224000
2017-09-05,20776385000
2017-09-06,20626375000
2017-09-07,20731382000
2017-09-08,20787100000
2017-09-11,20774242000
2017-09-12,20898536000
2017-09-13,20694951000
2017-09-14,20454935000
2017-09-15,20244921000
2017-09-18,20373501000
2017-09-19,20358500000
2017-09-20,20281352000
2017-09-21,20191346000
2017-09-22,20294210000
2017-09-25,20347785000
2017-09-26,20161344000
2017-09-27,20403503000
2017-09-28,20349928000
2017-09-29,20373501000
2017-10-02,19883500000
2017-10-03,19904430000
2017-10-04,19935825000
2017-10-05,20009080000
2017-10-06,20030010000
2017-10-09,20048847000
2017-10-10,20134660000
2017-10-11,20461168000
2017-10-12,20605585000
2017-10-13,20898605000
2017-10-16,20789769000
2017-10-17,20860931000
2017-10-18,21124649000
2017-10-19,21310926000
2017-10-20,21564179000
2017-10-23,21382088000
2017-10-24,21417669000
2017-10-25,21229299000
2017-10-26,22081150000
2017-10-27,22533238000
2017-10-30,22430681000
2017-10-31,22625330000
2017-11-01,22694399000
2017-11-02,22457890000
2017-11-03,22608586000
2017-11-06,22721608000
2017-11-07,22644167000
2017-11-08,21917896000
2017-11-09,21664643000
2017-11-10,21777665000
2017-11-13,21539063000
2017-11-14,21658364000
2017-11-15,21733712000
2017-11-16,21859292000
2017-11-17,21863478000
2017-11-20,21746270000
2017-11-21,21842548000
2017-11-22,21756735000
2017-11-24,21823711000
2017-11-27,21463715000
2017-11-28,21292089000
2017-11-29,21204183000
2017-11-30,21350693000
2017-12-01,21405111000
2017-12-04,21195811000
2017-12-05,21139300000
2017-12-06,21141393000
2017-12-07,21122556000
2017-12-08,21212555000
2017-12-11,21281624000
2017-12-12,21275345000
2017-12-13,21394646000
2017-12-14,21237671000
2017-12-15,21361158000
2017-12-18,21449064000
2017-12-19,21193718000
