,MIR
2023-09-29,1488195810
2023-10-02,1488621600
2023-10-03,1470686400
2023-10-04,1490614400
2023-10-05,1474672000
2023-10-06,1472679200
2023-10-09,1424852000
2023-10-10,1452751200
2023-10-11,1442787200
2023-10-12,1414888000
2023-10-13,1416880800
2023-10-16,1428837600
2023-10-17,1460722400
2023-10-18,1440794400
2023-10-19,1394960000
2023-10-20,1396952800
2023-10-23,1394960000
2023-10-24,1400938400
2023-10-25,1377024800
2023-10-26,1369053600
2023-10-27,1355104000
2023-10-30,1377024800
2023-10-31,1381010400
2023-11-01,1347132800
2023-11-02,1538441600
2023-11-03,1632103200
2023-11-06,1652031199
2023-11-07,1654024000
2023-11-08,1634095999
2023-11-09,1590254400
2023-11-10,1622139200
2023-11-13,1634095999
2023-11-14,1729750400
2023-11-15,1735728800
2023-11-16,1689894400
2023-11-17,1729750400
2023-11-20,1759642400
2023-11-21,1737721600
2023-11-22,1739714400
2023-11-24,1745692800
2023-11-27,1773592000
2023-11-28,1773592000
2023-11-29,1769606400
2023-11-30,1779570400
2023-12-01,1771599200
2023-12-04,1815440800
2023-12-05,1825404800
2023-12-06,1813448000
2023-12-07,1855296800
2023-12-08,1871239200
2023-12-11,1913088000
2023-12-12,1937001600
2023-12-13,1996785600
2023-12-14,2008742400
2023-12-15,2016713599
2023-12-18,2040627200
2023-12-19,2048598399
2023-12-20,2024684800
2023-12-21,2056569600
2023-12-22,2068526400
2023-12-26,2082475999
2023-12-27,2090447200
2023-12-28,2076497600
2023-12-29,2042620000
2024-01-02,2030663200
2024-01-03,2000771199
2024-01-04,1994792800
2024-01-05,2000771199
2024-01-08,2022692000
2024-01-09,1992800000
2024-01-10,1990807200
2024-01-11,1972872000
2024-01-12,1935008800
2024-01-16,1913088000
2024-01-17,1885188800
2024-01-18,1883195999
2024-01-19,1893160000
2024-01-22,1921059200
2024-01-23,1905116800
2024-01-24,1859282400
2024-01-25,1935008800
2024-01-26,1901131199
2024-01-29,1933015999
2024-01-30,1923052000
2024-01-31,1883195999
2024-02-01,1942980000
2024-02-02,1948958399
2024-02-05,1940987200
2024-02-06,1964900800
2024-02-07,1946965600
2024-02-08,1950951199
2024-02-09,1978850400
2024-02-12,1984828800
2024-02-13,1877217600
2024-02-14,2002764000
2024-02-15,1996785600
2024-02-16,1994792800
2024-02-20,1966893599
2024-02-21,1948958399
2024-02-22,1952944000
