,CB
2003-04-08,8476856689
2003-04-09,8394530467
2003-04-10,8246343267
2003-04-11,8172249666
2003-04-14,8397274674
2003-04-15,8561927119
2003-04-16,8421972541
2003-04-17,8652485963
2003-04-21,8693649074
2003-04-22,9313839949
2003-04-23,9486725016
2003-04-24,9223281105
2003-04-25,8973558230
2003-04-28,9193094823
2003-04-29,9108024393
2003-04-30,9077838112
2003-05-01,9201327445
2003-05-02,9494957638
2003-05-05,9264444216
2003-05-06,9253467386
2003-05-07,9014721341
2003-05-08,8852813104
2003-05-09,9102535978
2003-05-12,9407143001
2003-05-13,9234257934
2003-05-14,9423608245
2003-05-15,9453794527
2003-05-16,9481236601
2003-05-19,9286397875
2003-05-20,9215048482
2003-05-21,9162908541
2003-05-22,9173885371
2003-05-23,9204071653
2003-05-27,9451050320
2003-05-28,9577283860
2003-05-29,9549841786
2003-05-30,10016357046
2003-06-02,10153567417
2003-06-03,9783099416
2003-06-04,9673331120
2003-06-05,9958728690
2003-06-06,9772122587
2003-06-09,9483980808
2003-06-10,9629423801
2003-06-11,9821518320
2003-06-12,9859937224
2003-06-13,9816029905
2003-06-16,10087706439
2003-06-17,9975193935
2003-06-18,9936775031
2003-06-19,9580028068
2003-06-20,9519655505
2003-06-23,9456538734
2003-06-24,9851704601
2003-06-25,9714494231
2003-06-26,9865425638
2003-06-27,9560818616
2003-06-30,9737399880
2003-07-01,9794194280
2003-07-02,9788514840
2003-07-03,9740239600
2003-07-07,9879385880
2003-07-08,9933340560
2003-07-09,9865187280
2003-07-10,9626650800
2003-07-11,9584055000
2003-07-14,9788514840
2003-07-15,9828270920
2003-07-16,9538619480
2003-07-17,9413671800
2003-07-18,9470466200
2003-07-21,9385274600
2003-07-22,9297243280
2003-07-23,9001912400
2003-07-24,8945118000
2003-07-25,9109821760
2003-07-28,9257487200
2003-07-29,9342678800
2003-07-30,9532940040
2003-07-31,9368236280
2003-08-01,9132539519
2003-08-04,9212051680
2003-08-05,9129699800
2003-08-06,9251807760
2003-08-07,9053027360
2003-08-08,9280204960
2003-08-11,9308602160
2003-08-12,9416511519
2003-08-13,9300083000
2003-08-14,9373915720
2003-08-15,9407992360
2003-08-18,9382434880
2003-08-19,9319961040
2003-08-20,9549978360
2003-08-21,9549978360
2003-08-22,9419351240
2003-08-25,9385274600
2003-08-26,9334159640
2003-08-27,9257487200
2003-08-28,9089943720
2003-08-29,9143898400
2003-09-02,9172295600
2003-09-03,9172295600
2003-09-04,9143898400
2003-09-05,9226250280
2003-09-08,9388114320
2003-09-09,9305762440
2003-09-10,9348358240
2003-09-11,9166616160
2003-09-12,9044508200
2003-09-15,9087104000
2003-09-16,9461947040
2003-09-17,9498863400
2003-09-18,9603933040
2003-09-19,9518741440
2003-09-22,9453427880
2003-09-23,9572696120
2003-09-24,9342678800
2003-09-25,9319961040
2003-09-26,9257487200
2003-09-29,9535779760
2003-09-30,9116932354
2003-10-01,9362218623
2003-10-02,9480727720
2003-10-03,9646089250
2003-10-06,9659869377
2003-10-07,9599236816
2003-10-08,9632309122
2003-10-09,9505531949
2003-10-10,9375998751
2003-10-13,9502775924
2003-10-14,9635065148
2003-10-15,9703965785
2003-10-16,9624041046
2003-10-17,9359462598
2003-10-20,9411827082
2003-10-21,9488995796
2003-10-22,9251977603
2003-10-23,9420095159
2003-10-24,9387022853
2003-10-27,9436631312
2003-10-28,9320878241
2003-10-29,9880351417
2003-10-30,9833498984
2003-10-31,9921691800
2003-11-03,10070517177
2003-11-04,9943740004
2003-11-05,9723257964
2003-11-06,9726013989
2003-11-07,9522068102
2003-11-10,9604748867
2003-11-11,9717745913
2003-11-12,9822474882
2003-11-13,9753574244
2003-11-14,9613016944
2003-11-17,9588212714
2003-11-18,9500019898
2003-11-19,9466947592
2003-11-20,9411827082
2003-11-21,9444899388
2003-11-24,9513800026
2003-11-25,9877595392
2003-11-26,9990592437
2003-11-28,10045712947
2003-12-01,10216586528
2003-12-02,10561089716
2003-12-03,10472896900
2003-12-04,10555577665
2003-12-05,10668574710
2003-12-08,10742987399
2003-12-09,10693378940
2003-12-10,10528017410
2003-12-11,10610698175
2003-12-12,10685110863
2003-12-15,10503213180
2003-12-16,10550065614
2003-12-17,10621722277
2003-12-18,10652038557
2003-12-19,10924885082
2003-12-22,11059930331
2003-12-23,11150879173
2003-12-24,11324508779
2003-12-26,11324508779
2003-12-29,11341044932
2003-12-30,11379629289
2003-12-31,11863776600
2004-01-02,11786441504
2004-01-05,11886690703
2004-01-06,11852319549
2004-01-07,11800762818
2004-01-08,12009854004
2004-01-09,12058546472
2004-01-12,12304873074
2004-01-13,12333515702
2004-01-14,12430900638
2004-01-15,12405122273
2004-01-16,12513964260
2004-01-20,12256180606
2004-01-21,12485321632
2004-01-22,12322058651
2004-01-23,12221809452
2004-01-26,12419443587
2004-01-27,12385072433
2004-01-28,12290551760
2004-01-29,12158795670
2004-01-30,12436629164
2004-02-02,12485321632
2004-02-03,12559792465
2004-02-04,12448086215
2004-02-05,12903504004
2004-02-06,12774612177
2004-02-09,12768883651
2004-02-10,12703005606
2004-02-11,12794662016
2004-02-12,12912096792
2004-02-13,12929282369
2004-02-17,12831897433
2004-02-18,12803254805
2004-02-19,12680091504
2004-02-20,12740241023
2004-02-23,12651448875
2004-02-24,12554063940
2004-02-25,12476728843
2004-02-26,12534014100
2004-02-27,12877725638
2004-03-01,12774612177
2004-03-02,12745969549
2004-03-03,12960789260
2004-03-04,12894911215
2004-03-05,12920689581
2004-03-08,12892046952
2004-03-09,12728783972
2004-03-10,12576978042
2004-03-11,12284823234
2004-03-12,12654313138
2004-03-15,12184574036
2004-03-16,12236130767
2004-03-17,12413715061
2004-03-18,12261909132
2004-03-19,12161659933
2004-03-22,12027039581
2004-03-23,12087189100
2004-03-24,11929654645
2004-03-25,12101510414
2004-03-26,12127288779
2004-03-29,12327787177
2004-03-30,12290551760
2004-03-31,12275632651
2004-04-01,12390734692
2004-04-02,12672734692
2004-04-05,12925959181
