,CHK
2024-07-18,10646836620
2024-07-19,10603641930
2024-07-22,10649454480
2024-07-23,10467513210
2024-07-24,10165150380
2024-07-25,10131118200
2024-07-26,10203558720
2024-07-29,10043533760
2024-07-30,10000248320
2024-07-31,10012053440
2024-08-01,9842846720
2024-08-02,9500498240
2024-08-05,9326044800
2024-08-06,9276200960
2024-08-07,9379823680
2024-08-08,9500498240
2024-08-09,9512303360
