,NTRS
2003-08-21,9557214433
2003-08-22,9381003980
2003-08-25,9325938214
2003-08-26,9367788196
2003-08-27,9301709277
2003-08-28,9284088231
2003-08-29,9303911907
2003-09-02,9506553928
2003-09-03,9532985496
2003-09-04,9521972343
2003-09-05,9405232918
2003-09-08,9414043440
2003-09-09,9389814503
2003-09-10,9158538284
2003-09-11,9171754068
2003-09-12,9169551437
2003-09-15,9125498824
2003-09-16,9233427726
2003-09-17,9299506646
2003-09-18,9649724921
2003-09-19,9680561750
2003-09-22,9610077569
2003-09-23,9671751228
2003-09-24,9486730252
2003-09-25,9341356629
2003-09-26,9215806681
2003-09-29,9433867116
2003-09-30,9311884458
2003-10-01,9571341924
2003-10-02,9448209567
2003-10-03,9586733468
2003-10-06,9920949864
2003-10-07,9995708795
2003-10-08,9973720874
2003-10-09,10094654439
2003-10-10,10059473766
2003-10-13,10296943310
2003-10-14,10494834597
2003-10-15,10558599568
2003-10-16,10505828558
2003-10-17,10281551766
2003-10-20,10323328815
2003-10-21,10299142102
2003-10-22,10061672558
2003-10-23,10037485845
2003-10-24,10068268934
2003-10-27,10138630280
2003-10-28,10224383172
2003-10-29,10178208538
2003-10-30,10202395251
2003-10-31,10224383172
2003-11-03,10329925191
2003-11-04,10252967469
2003-11-05,10129835112
2003-11-06,10307937271
2003-11-07,10340919152
2003-11-10,10296943310
2003-11-11,10277154181
2003-11-12,10343117944
2003-11-13,10279352974
2003-11-14,9989112419
2003-11-17,9914353488
2003-11-18,9756040458
2003-11-19,9839594558
2003-11-20,9696673072
2003-11-21,9778028379
2003-11-24,9872576439
2003-11-25,9828600597
2003-11-26,9890166775
2003-11-28,9870377647
2003-12-01,9969323290
2003-12-02,10077064102
2003-12-03,10052877389
2003-12-04,9982516043
2003-12-05,9870377647
2003-12-08,9984714835
2003-12-09,9916552280
2003-12-10,9898961944
2003-12-11,9964925706
2003-12-12,9890166775
2003-12-15,9830799389
2003-12-16,9918751072
2003-12-17,9740648914
2003-12-18,9830799389
2003-12-19,9857184894
2003-12-22,9931943825
2003-12-23,10017696716
2003-12-24,9958329330
2003-12-26,10008901548
2003-12-29,10022094300
2003-12-30,10101250815
2003-12-31,10186359018
2004-01-02,10164348735
2004-01-05,10391054651
2004-01-06,10492301953
2004-01-07,10630966737
2004-01-08,10589147199
2004-01-09,10741018152
2004-01-12,10734415067
2004-01-13,10611157482
2004-01-14,10694796558
2004-01-15,11066770342
2004-01-16,11088780625
2004-01-20,10980930238
2004-01-21,11172419701
2004-01-22,11150409418
2004-01-23,10919301445
2004-01-26,10930306587
2004-01-27,10719007869
2004-01-28,10450482415
2004-01-29,10483497840
2004-01-30,10446080359
2004-02-02,10518714293
2004-02-03,10417466991
2004-02-04,10265596037
2004-02-05,10298611462
2004-02-06,10531920463
2004-02-09,10487899897
2004-02-10,10483497840
2004-02-11,10644172907
2004-02-12,10617760567
2004-02-13,10778435634
2004-02-17,10793842832
2004-02-18,10727811982
2004-02-19,10741018152
2004-02-20,10714605813
2004-02-23,10628765708
2004-02-24,10681590388
2004-02-25,10895090134
2004-02-26,10899492191
2004-02-27,10928105559
2004-03-01,10910497332
2004-03-02,10868677794
2004-03-03,10919301445
2004-03-04,10866476766
2004-03-05,11016146691
2004-03-08,10901693219
2004-03-09,10657379077
2004-03-10,10474693727
2004-03-11,10175353877
2004-03-12,10417466991
2004-03-15,10133534339
2004-03-16,10366843340
2004-03-17,10569337944
2004-03-18,10424070076
2004-03-19,10316219688
2004-03-22,10107121999
2004-03-23,10043292178
2004-03-24,9950848989
2004-03-25,10100518914
2004-03-26,10054297320
2004-03-29,10107121999
2004-03-30,10159946678
2004-03-31,10241728189
2004-04-01,10316469283
2004-04-02,10252719526
2004-04-05,10384615575
2004-04-06,10503322019
2004-04-07,10417589587
2004-04-08,10296684876
2004-04-12,10375822505
2004-04-13,10149400955
2004-04-14,9674575179
2004-04-15,9626213294
2004-04-16,9819660833
2004-04-19,9722937064
