,CVX
2003-04-24,68069364480
2003-04-25,67347030400
2003-04-28,67771932800
2003-04-29,67134579200
2003-04-30,66730921920
2003-05-01,66922128000
2003-05-02,69407807040
2003-05-05,71362358080
2003-05-06,71362358080
2003-05-07,70809984960
2003-05-08,71532319040
2003-05-09,71766015360
2003-05-12,72509594560
2003-05-13,72934496960
2003-05-14,72042201920
2003-05-15,71298622720
2003-05-16,71489828800
2003-05-19,70427572800
2003-05-20,70809984960
2003-05-21,71914731200
2003-05-22,71638544640
2003-05-23,72700800640
2003-05-27,75059008960
2003-05-28,75016518720
2003-05-29,74527880960
2003-05-30,75356440640
2003-06-02,76567412480
2003-06-03,77514650920
2003-06-04,78407334040
2003-06-05,78917438680
2003-06-06,78917438680
2003-06-09,78237299160
2003-06-10,78896184320
2003-06-11,80362735160
2003-06-12,80362735160
2003-06-13,79767613080
2003-06-16,79640086920
2003-06-17,78959947400
2003-06-18,78853675600
2003-06-19,78364825320
2003-06-20,78428588400
2003-06-23,78237299160
2003-06-24,78428588400
2003-06-25,78003501200
2003-06-26,77769703240
2003-06-27,76919528840
2003-06-30,76728239600
2003-07-01,76983291920
2003-07-02,77217089880
2003-07-03,76451932920
2003-07-07,77897229400
2003-07-08,78088518640
2003-07-09,77365870400
2003-07-10,76579459080
2003-07-11,77578414000
2003-07-14,76728239600
2003-07-15,75835556480
2003-07-16,75941828280
2003-07-17,75984337000
2003-07-18,77302107320
2003-07-21,76621967800
2003-07-22,77110818080
2003-07-23,76536950360
2003-07-24,76303152400
2003-07-25,77302107320
2003-07-28,77132072440
2003-07-29,76303152400
2003-07-30,76303152400
2003-07-31,76643222160
2003-08-01,75516741080
2003-08-04,75091653880
2003-08-05,75240434400
2003-08-06,75325451840
2003-08-07,76792002680
2003-08-08,77365870400
2003-08-11,77790957600
2003-08-12,78556114560
2003-08-13,77833466320
2003-08-14,78896184320
2003-08-15,77387124760
2003-08-18,77132072440
2003-08-19,76621967800
2003-08-20,77153326800
2003-08-21,77344616040
2003-08-22,76303152400
2003-08-25,76877020120
2003-08-26,76728239600
2003-08-27,76834511400
2003-08-28,77748448880
2003-08-29,77450887840
2003-09-02,78322316600
2003-09-03,78577368920
2003-09-04,78322316600
2003-09-05,77599668360
2003-09-08,78662386360
2003-09-09,78024755560
2003-09-10,77557159640
2003-09-11,78109773000
2003-09-12,77514650920
2003-09-15,77323361680
2003-09-16,77578414000
2003-09-17,76792002680
2003-09-18,76792002680
2003-09-19,76898274480
2003-09-22,76728239600
2003-09-23,77068309360
2003-09-24,76877020120
2003-09-25,76260643680
2003-09-26,75963082640
2003-09-29,76196880600
2003-09-30,75920573920
2003-10-01,77705940160
2003-10-02,77365870400
2003-10-03,77663431440
2003-10-06,78322316600
2003-10-07,78619877640
2003-10-08,77960992480
2003-10-09,78131027360
2003-10-10,78428588400
2003-10-13,79108727920
2003-10-14,79682595640
2003-10-15,78641132000
2003-10-16,78896184320
2003-10-17,78364825320
2003-10-20,78959947400
2003-10-21,78917438680
2003-10-22,78088518640
2003-10-23,78428588400
2003-10-24,77705940160
2003-10-27,77408379120
2003-10-28,78003501200
2003-10-29,77684685800
2003-10-30,76260643680
2003-10-31,78959947400
2003-11-03,78577368920
2003-11-04,78556114560
2003-11-05,78279807880
2003-11-06,78811166880
2003-11-07,79236254080
2003-11-10,78428588400
2003-11-11,78811166880
2003-11-12,79385034600
2003-11-13,80511515680
2003-11-14,78917438680
2003-11-17,78216044800
2003-11-18,78386079680
2003-11-19,78853675600
2003-11-20,78641132000
2003-11-21,78088518640
2003-11-24,78662386360
2003-11-25,79236254080
2003-11-26,79980156680
2003-11-28,79810121800
2003-12-01,80447752600
2003-12-02,80383989520
2003-12-03,80872839800
2003-12-04,82488171160
2003-12-05,82892004000
2003-12-08,83550889160
2003-12-09,83827195840
2003-12-10,83614652240
2003-12-11,84486081000
2003-12-12,85293746680
2003-12-15,83890958920
2003-12-16,85761342600
2003-12-17,86930332400
2003-12-18,88800716080
2003-12-19,88481900680
2003-12-22,88566918120
2003-12-23,88396883240
2003-12-24,88566918120
2003-12-26,89098277120
2003-12-29,90862389000
2003-12-30,91457511080
2003-12-31,91874952000
2004-01-02,91343268250
2004-01-05,93108458300
2004-01-06,92598041900
2004-01-07,91407070300
2004-01-08,91513407050
2004-01-09,90513841600
2004-01-12,90067227250
2004-01-13,90067227250
2004-01-14,91024258000
2004-01-15,89790751700
2004-01-16,90088494600
2004-01-20,91470872350
2004-01-21,92279031650
2004-01-22,92683111300
2004-01-23,92406635750
2004-01-26,93150993000
2004-01-27,93257329750
2004-01-28,92236496950
2004-01-29,92831982750
2004-01-30,91811149950
2004-02-02,91662278500
2004-02-03,91279466200
2004-02-04,90556376300
2004-02-05,90407504850
2004-02-06,90832851850
2004-02-09,91215664150
2004-02-10,92023823450
2004-02-11,93129725650
2004-02-12,92959586850
2004-02-13,92002556100
2004-02-17,92853250100
2004-02-18,92108892850
2004-02-19,92066358150
2004-02-20,92108892850
2004-02-23,93937884950
2004-02-24,93767746150
2004-02-25,93406201200
2004-02-26,93703944100
2004-02-27,93937884950
2004-03-01,95979550550
2004-03-02,94937450400
2004-03-03,95532936200
2004-03-04,95001252450
2004-03-05,95937015850
2004-03-08,96447432250
2004-03-09,95724342350
2004-03-10,94363231950
2004-03-11,92449170450
2004-03-12,94044221700
2004-03-15,93214795050
2004-03-16,93236062400
2004-03-17,94554638100
2004-03-18,95447866800
2004-03-19,93789013500
2004-03-22,92831982750
2004-03-23,93023388900
2004-03-24,91322000900
2004-03-25,90045959900
2004-03-26,90747782450
2004-03-29,90790317150
2004-03-30,92598041900
2004-03-31,93165961350
2004-04-01,93357005700
2004-04-02,93420687150
2004-04-05,94524498950
2004-04-06,94524498950
2004-04-07,95267449200
2004-04-08,95458493550
2004-04-12,97092984100
2004-04-13,96328806700
2004-04-14,96583532500
2004-04-15,97114211250
2004-04-16,97368937050
2004-04-19,97517527100
2004-04-20,95543402150
2004-04-21,95394812100
2004-04-22,97432618500
2004-04-23,97326482750
2004-04-26,97920842950
2004-04-27,98600111750
2004-04-28,97368937050
2004-04-29,95883036550
2004-04-30,97114211250
2004-05-03,98918519000
2004-05-04,98791156100
2004-05-05,100192148000
2004-05-06,99258153400
2004-05-07,97284028450
2004-05-10,94630634700
2004-05-11,96541078200
2004-05-12,97475072800
2004-05-13,97517527100
2004-05-14,98387840250
2004-05-17,97177892700
2004-05-18,95734446500
2004-05-19,95437266400
2004-05-20,94991496250
2004-05-21,95118859150
2004-05-24,95691992200
2004-05-25,97284028450
2004-05-26,96562305350
2004-05-27,95755673650
2004-05-28,95946718000
