,CZR
2018-09-10,763598240
2018-09-11,779102773
2018-09-12,802359572
2018-09-13,810111838
2018-09-14,825616371
2018-09-17,821740238
2018-09-18,837244771
2018-09-19,848873170
2018-09-20,848873170
2018-09-21,837244771
2018-09-24,806235705
2018-09-25,802359572
2018-09-26,790731172
2018-09-27,786855039
2018-09-28,794607306
2018-10-01,786662879
2018-10-02,800613551
2018-10-03,799838514
2018-10-04,788212954
2018-10-05,751786200
2018-10-08,740160640
2018-10-09,752561237
2018-10-10,705283961
2018-10-11,689008177
2018-10-12,699858699
2018-10-15,685520509
2018-10-16,704508923
2018-10-17,790538066
2018-10-18,794413253
2018-10-19,790538066
2018-10-22,735510416
2018-10-23,699858699
2018-10-24,656456610
2018-10-25,700633737
2018-10-26,682032841
2018-10-29,636305639
2018-10-30,630105341
2018-10-31,665757057
2018-11-01,685908028
2018-11-02,738610565
2018-11-05,736285454
2018-11-06,729310118
2018-11-07,737835528
2018-11-08,698308625
2018-11-09,659556759
2018-11-12,633980527
2018-11-13,630880378
2018-11-14,632430453
2018-11-15,658781722
2018-11-16,659556759
2018-11-19,639405789
2018-11-20,607629258
2018-11-21,634755565
2018-11-23,637080677
2018-11-26,663431945
2018-11-27,665757057
2018-11-28,671957356
2018-11-29,671182319
2018-11-30,660331796
2018-12-03,648706236
2018-12-04,616929706
2018-12-06,616154669
2018-12-07,587478288
2018-12-10,560351982
2018-12-11,555701758
2018-12-12,579727915
2018-12-13,575077691
2018-12-14,577402803
2018-12-17,551826571
2018-12-18,542526124
2018-12-19,507649444
2018-12-20,494473810
2018-12-21,467347503
2018-12-24,457272018
2018-12-26,511524631
2018-12-27,520050041
2018-12-28,513849743
2018-12-31,526680928
2019-01-02,536764657
2019-01-03,522802570
2019-01-04,546072714
2019-01-07,555380772
2019-01-08,580977931
2019-01-09,603472403
2019-01-10,619761504
2019-01-11,675609850
2019-01-14,678712536
2019-01-15,678712536
2019-01-16,677161193
2019-01-17,683366565
2019-01-18,694225965
2019-01-22,671731493
2019-01-23,671731493
2019-01-24,670955821
2019-01-25,688020593
2019-01-28,678712536
2019-01-29,667853135
2019-01-30,695001637
2019-01-31,708963723
2019-02-01,718271781
2019-02-04,715169095
2019-02-05,721374467
2019-02-06,717496109
2019-02-07,717496109
2019-02-08,722925810
2019-02-11,729131181
2019-02-12,729906853
2019-02-13,729131181
2019-02-14,729131181
2019-02-15,709739395
2019-02-19,746195954
2019-02-20,746195954
2019-02-21,731458196
2019-02-22,701982680
2019-02-25,695001637
2019-02-26,676385521
2019-02-27,655442392
2019-02-28,668628807
2019-03-01,695777308
2019-03-04,678712536
2019-03-05,688020593
2019-03-06,674058507
2019-03-07,665526121
2019-03-08,655442392
2019-03-11,672507164
2019-03-12,659320749
2019-03-13,647685677
2019-03-14,632947919
2019-03-15,626742547
2019-03-18,655442392
2019-03-19,660872092
2019-03-20,649237020
2019-03-21,689571936
