,TRGP
2014-11-14,4867800000
2014-11-17,4876620000
2014-11-18,4945920000
2014-11-19,4974060000
2014-11-20,5102580000
2014-11-21,5146260000
2014-11-24,5098380000
2014-11-25,5141220000
2014-11-26,5265540000
2014-11-28,4793880000
2014-12-01,4200000000
2014-12-02,4344900000
2014-12-03,4465020000
2014-12-04,4563720000
2014-12-05,4542300000
2014-12-08,4108020000
2014-12-09,4126500000
2014-12-10,3752699999
2014-12-11,3906420000
2014-12-12,3887520000
2014-12-15,3816120000
2014-12-16,3833760000
2014-12-17,4223100000
2014-12-18,4276020000
2014-12-19,4316340000
2014-12-22,4268460000
2014-12-23,4313820000
2014-12-24,4381020000
2014-12-26,4376820000
2014-12-29,4501560000
2014-12-30,4486440000
2014-12-31,4857090000
2015-01-02,4903348000
2015-01-05,4542902000
2015-01-06,4401838000
2015-01-07,4360160000
2015-01-08,4483362000
2015-01-09,4251155999
2015-01-12,4088566000
2015-01-13,3932846000
2015-01-14,3915442000
2015-01-15,3967654000
2015-01-16,4073452000
2015-01-20,4107802000
2015-01-21,4214516000
2015-01-22,4178792000
2015-01-23,4173296000
2015-01-26,4194822000
2015-01-27,4227798000
2015-01-28,4006126000
2015-01-29,3913152000
2015-01-30,3976814000
2015-02-02,4195738000
2015-02-03,4411456000
2015-02-04,4243828000
2015-02-05,4426570000
2015-02-06,4324436000
2015-02-09,4296956000
2015-02-10,4321688000
2015-02-11,4148564000
2015-02-12,4270392000
2015-02-13,4301994000
2015-02-17,4536948000
2015-02-18,4515880000
2015-02-19,4385350000
2015-02-20,4408250000
2015-02-23,4437104000
2015-02-24,4430692000
2015-02-25,4499392000
2015-02-26,4466416000
2015-02-27,4560764000
2015-03-02,4527330000
2015-03-03,4485652000
2015-03-04,4540154000
2015-03-05,4604732000
2015-03-06,4524124000
2015-03-09,4455424000
2015-03-10,4399548000
2015-03-11,4323978000
2015-03-12,4175128000
2015-03-13,4081238000
2015-03-16,4079405999
2015-03-17,4114672000
2015-03-18,4213600000
2015-03-19,4123832000
2015-03-20,4154976000
2015-03-23,4195738000
2015-03-24,4161388000
2015-03-25,4220928000
2015-03-26,4328558000
2015-03-27,4349626000
2015-03-30,4449928000
2015-03-31,5354661000
2015-04-01,5309941000
2015-04-02,5302115000
2015-04-06,5458076000
2015-04-07,5520125000
2015-04-08,5475964000
2015-04-09,5622422000
2015-04-10,5621304000
2015-04-13,5559255000
2015-04-14,5719688000
2015-04-15,5979064000
2015-04-16,5889624000
2015-04-17,5829811000
2015-04-20,5884034000
2015-04-21,5847699000
2015-04-22,5894096000
2015-04-23,5993598000
2015-04-24,5972356000
2015-04-27,5963412000
2015-04-28,5915897000
2015-04-29,5964530000
2015-04-30,5867823000
2015-05-01,5870059000
2015-05-04,5902481000
2015-05-05,5827575000
2015-05-06,5692297000
2015-05-07,5696210000
2015-05-08,5775029000
2015-05-11,5686148000
2015-05-12,5624099000
2015-05-13,5679440000
2015-05-14,5603975000
2015-05-15,5658757000
