,FE
2004-04-12,12590615480
2004-04-13,12440064840
2004-04-14,12525158680
2004-04-15,12633162400
2004-04-16,12633162400
2004-04-19,12616798200
2004-04-20,12597161160
2004-04-21,12685527840
2004-04-22,12845897000
2004-04-23,12845897000
2004-04-26,12862261200
2004-04-27,12822987120
2004-04-28,12822987120
2004-04-29,12770621680
2004-04-30,12796804400
2004-05-03,12878625400
2004-05-04,12842624160
2004-05-05,12629889560
2004-05-06,12610252520
2004-05-07,12305878400
2004-05-10,12224057400
2004-05-11,12119326520
2004-05-12,12135690720
2004-05-13,12076779600
2004-05-14,12197874680
2004-05-17,12070233920
2004-05-18,12174964800
2004-05-19,12109508000
2004-05-20,12194601840
2004-05-21,12116053680
2004-05-24,12250240120
2004-05-25,12436792000
2004-05-26,12580796960
2004-05-27,12685527840
2004-05-28,12764076000
2004-06-01,12672436480
2004-06-02,12760803160
2004-06-03,12737893280
2004-06-04,12862261200
2004-06-07,12875352560
2004-06-08,12760803160
2004-06-09,12266604319
2004-06-10,12404063600
2004-06-14,12361516680
2004-06-15,12387699400
2004-06-16,12456429040
2004-06-17,12436792000
2004-06-18,12404063600
2004-06-21,12462974720
2004-06-22,12436792000
2004-06-23,12436792000
2004-06-24,12322242600
2004-06-25,12240421600
2004-06-28,12296059880
2004-06-29,12191329000
2004-06-30,12251737589
2004-07-01,12205887730
2004-07-02,12218987690
2004-07-06,12304137430
2004-07-07,12418762080
2004-07-08,12399112140
2004-07-09,12425312060
2004-07-12,12313962400
2004-07-13,12379462200
2004-07-14,12523561760
2004-07-15,12530111740
2004-07-16,12621811460
2004-07-19,12765911019
2004-07-20,12811760880
2004-07-21,12602161519
2004-07-22,12575961600
2004-07-23,12448236990
2004-07-26,12389287170
2004-07-27,12418762080
2004-07-28,12510461800
2004-07-29,12742986089
2004-07-30,12805210900
2004-08-02,12946035470
2004-08-03,12939485490
2004-08-04,13050835150
2004-08-05,13103234990
2004-08-06,13067210100
2004-08-09,12923110540
2004-08-10,12831410820
2004-08-11,12851060760
2004-08-12,12873985690
2004-08-13,12792110940
2004-08-16,12864160720
2004-08-17,12831410820
2004-08-18,13008260280
2004-08-19,12926385530
2004-08-20,12946035470
