,REGN
2004-04-14,698379642
2004-04-15,686749212
2004-04-16,688964532
2004-04-19,719425182
2004-04-20,703917942
2004-04-21,707240922
2004-04-22,749332003
2004-04-23,752654983
2004-04-26,847359915
2004-04-27,778684994
2004-04-28,761516263
2004-04-29,721086673
2004-04-30,693949002
2004-05-03,732717103
2004-05-04,728840293
2004-05-05,735486253
2004-05-06,703917942
2004-05-07,691733682
2004-05-10,671241972
2004-05-11,703917942
2004-05-12,699487302
2004-05-13,682872402
2004-05-14,661826861
2004-05-17,623612591
2004-05-18,617520461
2004-05-19,606997690
2004-05-20,612535991
2004-05-21,615858971
2004-05-24,615305141
2004-05-25,642442811
2004-05-26,650750261
2004-05-27,652411751
2004-05-28,621951101
2004-06-01,629150891
2004-06-02,629704721
2004-06-03,601459390
2004-06-04,621397271
2004-06-07,538876599
2004-06-08,549953199
2004-06-09,543307239
2004-06-10,479062958
2004-06-14,494016368
2004-06-15,510631269
2004-06-16,522815529
2004-06-17,517277229
2004-06-18,522261699
2004-06-21,519492549
2004-06-22,526138509
2004-06-23,553276179
2004-06-24,559922140
2004-06-25,559368310
2004-06-28,566568100
2004-06-29,566568100
2004-06-30,584078050
2004-07-01,563554890
2004-07-02,561336170
2004-07-06,541367689
2004-07-07,527500689
2004-07-08,506977529
2004-07-09,509750929
2004-07-12,499212009
2004-07-13,492555848
2004-07-14,482571608
2004-07-15,482016928
2004-07-16,458720368
2004-07-19,458720368
2004-07-20,480907568
2004-07-21,439306567
2004-07-22,446794748
2004-07-23,422666167
2004-07-26,416564687
2004-07-27,442634647
2004-07-28,457611008
2004-07-29,468149928
2004-07-30,474806088
2004-08-02,452618888
2004-08-03,452618888
2004-08-04,438751887
2004-08-05,408799167
2004-08-06,386057286
2004-08-09,382729206
2004-08-10,394377487
2004-08-11,414345967
2004-08-12,398260247
2004-08-13,391049407
2004-08-16,414900647
2004-08-17,405471087
2004-08-18,453173568
2004-08-19,454282928
2004-08-20,481462248
2004-08-23,473696728
2004-08-24,479243528
2004-08-25,498102648
2004-08-26,498102648
2004-08-27,509196249
2004-08-30,491446488
2004-08-31,494219888
2004-09-01,492001168
2004-09-02,514188369
2004-09-03,496993288
2004-09-07,505868169
2004-09-08,484235648
2004-09-09,498657328
2004-09-10,511414969
2004-09-13,515852409
2004-09-14,510305609
2004-09-15,505868169
2004-09-16,509196249
2004-09-17,499212009
2004-09-20,513079009
2004-09-21,516961769
2004-09-22,480352888
2004-09-23,480907568
2004-09-24,479798208
2004-09-27,454837608
2004-09-28,484235648
2004-09-29,493665208
2004-09-30,482104568
2004-10-01,487658768
2004-10-04,499878009
2004-10-05,472107008
2004-10-06,470996168
2004-10-07,457110668
2004-10-08,438226387
2004-10-11,446002268
2004-10-12,444336008
2004-10-13,425451727
2004-10-14,411566227
2004-10-15,412121647
2004-10-18,428784247
2004-10-19,405456607
2004-10-20,386016906
2004-10-21,384350646
2004-10-22,381018126
2004-10-25,380462706
2004-10-26,393237367
2004-10-27,398236147
2004-10-28,400457827
2004-10-29,403790347
2004-11-01,418786687
2004-11-02,417675847
2004-11-03,437670967
2004-11-04,439892647
2004-11-05,445446848
2004-11-08,447668528
2004-11-09,463220288
2004-11-10,472662428
2004-11-11,483770828
2004-11-12,484326248
2004-11-15,495990068
2004-11-16,476550368
2004-11-17,479882888
2004-11-18,477105788
2004-11-19,462664868
2004-11-22,485992508
2004-11-23,490991288
2004-11-24,477661208
2004-11-26,474884108
2004-11-29,501544269
