,EQR
2003-06-06,7530795000
2003-06-09,7462950000
2003-06-10,7528081200
2003-06-11,7511798400
2003-06-12,7395105000
2003-06-13,7256701200
2003-06-16,7354398000
2003-06-17,7340829000
2003-06-18,7083018000
2003-06-19,7072162800
2003-06-20,7069449000
2003-06-23,6928331400
2003-06-24,6988035000
2003-06-25,6988035000
2003-06-26,7050452400
2003-06-27,7096587000
2003-06-30,7078822650
2003-07-01,7157930880
2003-07-02,7305235860
2003-07-03,7288868640
2003-07-07,7387071960
2003-07-08,7414350660
2003-07-09,7346153910
2003-07-10,7196121060
2003-07-11,7324330950
2003-07-14,7318875210
2003-07-15,7283412900
2003-07-16,7228855500
2003-07-17,7174298100
2003-07-18,7201576800
2003-07-21,7201576800
2003-07-22,7310691600
2003-07-23,7237039110
2003-07-24,7269773550
2003-07-25,7392527700
2003-07-28,7419806400
2003-07-29,7447085100
2003-07-30,7542560550
2003-07-31,7610757300
2003-08-01,7665314700
2003-08-04,7733511450
2003-08-05,7763518020
2003-08-06,7768973760
2003-08-07,7839898380
2003-08-08,7826259030
2003-08-11,7831714770
2003-08-12,7812619680
2003-08-13,7722599970
2003-08-14,7826259030
2003-08-15,7771701630
2003-08-18,7828986900
2003-08-19,7886272170
2003-08-20,7946285310
2003-08-21,7940829570
2003-08-22,7777157370
2003-08-25,7733511450
2003-08-26,7839898380
2003-08-27,7899911520
2003-08-28,7883544300
2003-08-29,7932645960
2003-09-02,8006298450
2003-09-03,8074495200
2003-09-04,8077223070
2003-09-05,8019937800
2003-09-08,8019937800
2003-09-09,8006298450
2003-09-10,7905367260
2003-09-11,8019937800
2003-09-12,8047216500
2003-09-15,8006298450
2003-09-16,8071767330
2003-09-17,7902639390
2003-09-18,7979019750
2003-09-19,8025393540
2003-09-22,7992659100
2003-09-23,8041760760
2003-09-24,7938101700
2003-09-25,7940829570
2003-09-26,7924462350
2003-09-29,7987203360
2003-09-30,7987203360
2003-10-01,8047216500
2003-10-02,8060855850
2003-10-03,8071767330
2003-10-06,8183610000
2003-10-07,8120868990
2003-10-08,8148147690
2003-10-09,8145419820
2003-10-10,8169970650
2003-10-13,8197249350
2003-10-14,8101773900
2003-10-15,8088134550
2003-10-16,8129052600
2003-10-17,7959924660
