,FITB
2004-05-27,30722591250
2004-05-28,30370165312
2004-06-01,30196749375
2004-06-02,30224719687
2004-06-03,30185561250
2004-06-04,30347789062
2004-06-07,30901601250
2004-06-08,30778531875
2004-06-09,31058235000
2004-06-10,31058235000
2004-06-14,30442888125
2004-06-15,30616304062
2004-06-16,30515610937
2004-06-17,30247095937
2004-06-18,30319818750
2004-06-21,30062491875
2004-06-22,29928234375
2004-06-23,30017739374
2004-06-24,29945016562
2004-06-25,29961798750
2004-06-28,30056897812
2004-06-29,30017739374
2004-06-30,30091190501
2004-07-01,29671547644
2004-07-02,29861785739
2004-07-06,29610000025
2004-07-07,29632380977
2004-07-08,29632380977
2004-07-09,29380595263
2004-07-12,29783452406
2004-07-13,29845000025
2004-07-14,30203095263
2004-07-15,28255952405
2004-07-16,28076904785
2004-07-19,28267142881
2004-07-20,28373452405
2004-07-21,28323095262
2004-07-22,28345476214
2004-07-23,27976190500
2004-07-26,27897857166
2004-07-27,28104880976
2004-07-28,27897857166
2004-07-29,27920238119
2004-07-30,27618095261
2004-08-02,27506190499
2004-08-03,27310357166
2004-08-04,27226428594
2004-08-05,27052976213
2004-08-06,26778809546
2004-08-09,26543809546
2004-08-10,26661309546
2004-08-11,26840357165
2004-08-12,26515833355
2004-08-13,26219285736
2004-08-16,26717261927
2004-08-17,26924285737
2004-08-18,27511785737
2004-08-19,27618095261
2004-08-20,27903452404
