,TRMB
2004-08-06,1318203680
2004-08-09,1304836560
2004-08-10,1369615680
2004-08-11,1362418000
2004-08-12,1323098102
2004-08-13,1315118960
2004-08-16,1362418000
2004-08-17,1346480280
2004-08-18,1407146440
2004-08-19,1408688800
2004-08-20,1439536000
2004-08-23,1431824200
2004-08-24,1427197120
2004-08-25,1439536000
2004-08-26,1389666360
2004-08-27,1422055920
2004-08-30,1387095760
2004-08-31,1415886480
2004-09-01,1393779320
2004-09-02,1407660560
2004-09-03,1400462880
2004-09-07,1409717040
2004-09-08,1386067520
2004-09-09,1411259400
2004-09-10,1438507760
2004-09-13,1551614160
2004-09-14,1537732920
2004-09-15,1531049360
2004-09-16,1552642400
2004-09-17,1561896560
2004-09-20,1546987080
2004-09-21,1550071800
2004-09-22,1487863280
2004-09-23,1483236200
2004-09-24,1469869080
2004-09-27,1447761920
2004-09-28,1502772760
2004-09-29,1579376640
2004-09-30,1624619200
2004-10-01,1684757090
2004-10-04,1674781900
2004-10-05,1596030400
2004-10-06,1594455370
2004-10-07,1562954770
2004-10-08,1515178860
2004-10-11,1516228880
2004-10-12,1539329320
2004-10-13,1565054810
2004-10-14,1567679860
2004-10-15,1570304910
2004-10-18,1556129640
2004-10-19,1591305310
2004-10-20,1566629840
2004-10-21,1559279700
2004-10-22,1525427055
2004-10-25,1491028400
2004-10-26,1359250890
2004-10-27,1532504190
2004-10-28,1517803910
2004-10-29,1506253690
2004-11-01,1515703870
2004-11-02,1496278500
2004-11-03,1538804310
2004-11-04,1577130040
2004-11-05,1595505390
2004-11-08,1592355330
2004-11-09,1598655450
2004-11-10,1597080420
2004-11-11,1650631440
2004-11-12,1673206870
2004-11-15,1654831520
2004-11-16,1625430960
2004-11-17,1654306510
2004-11-18,1653781500
2004-11-19,1636981180
2004-11-22,1637506190
2004-11-23,1648006390
2004-11-24,1622280900
2004-11-26,1603380540
2004-11-29,1656406550
2004-11-30,1657456570
2004-12-01,1724657850
2004-12-02,1739358130
2004-12-03,1770333720
2004-12-06,1793959170
2004-12-07,1735683060
2004-12-08,1756158450
2004-12-09,1744608229
2004-12-10,1712057610
