,SCI
2003-02-12,985635250
2003-02-13,967768750
2003-02-14,976702000
2003-02-18,973724250
2003-02-19,952880000
2003-02-20,937991250
2003-02-21,970746499
2003-02-24,908213750
2003-02-25,937991250
2003-02-26,967768750
2003-02-27,952880000
2003-02-28,914169250
2003-03-03,943946750
2003-03-04,911191500
2003-03-05,884391750
2003-03-06,881414000
2003-03-07,884391750
2003-03-10,875458500
2003-03-11,887369500
2003-03-12,887369500
2003-03-13,869503000
2003-03-14,863547500
2003-03-17,926080250
2003-03-18,923102500
2003-03-19,902258250
2003-03-20,887369500
2003-03-21,830792250
2003-03-24,833770000
2003-03-25,854614250
2003-03-26,863547500
2003-03-27,869503000
2003-03-28,848658750
2003-03-31,832195780
2003-04-01,838182800
2003-04-02,847163330
2003-04-03,820221740
2003-04-04,799267170
2003-04-07,823215250
2003-04-08,844169820
2003-04-09,859137370
2003-04-10,924994590
2003-04-11,913020550
2003-04-14,939962140
2003-04-15,907033530
2003-04-16,898053000
2003-04-17,916014060
2003-04-21,927988100
2003-04-22,927988100
2003-04-23,924994590
2003-04-24,924994590
2003-04-25,922001080
2003-04-28,922001080
2003-04-29,948942670
2003-04-30,1011806380
2003-05-01,1002825850
2003-05-02,1065689560
2003-05-05,1065689560
2003-05-06,1050722009
2003-05-07,1032760950
2003-05-08,1086644130
2003-05-09,1107598700
2003-05-12,1122566250
2003-05-13,1155494860
2003-05-14,1152501350
2003-05-15,1182436450
2003-05-16,1143520820
2003-05-19,1095624660
2003-05-20,1131546780
2003-05-21,1149507840
2003-05-22,1227339100
2003-05-23,1158488370
2003-05-27,1191416980
2003-05-28,1194410490
2003-05-29,1239313140
2003-05-30,1245300160
2003-06-02,1269248240
2003-06-03,1251287180
2003-06-04,1221352080
2003-06-05,1209378040
2003-06-06,1173455920
2003-06-09,1155494860
2003-06-10,1212371550
2003-06-11,1170462410
2003-06-12,1152501350
2003-06-13,1098618170
2003-06-16,1131546780
2003-06-17,1170462410
2003-06-18,1197404000
2003-06-19,1158488370
2003-06-20,1143520820
2003-06-23,1137533800
2003-06-24,1125559760
2003-06-25,1137533800
2003-06-26,1149507840
2003-06-27,1128553270
2003-06-30,1162962090
2003-07-01,1141926600
2003-07-02,1208038139
2003-07-03,1199022930
2003-07-07,1226068560
2003-07-08,1262129400
2003-07-09,1271144610
2003-07-10,1274149680
2003-07-11,1274149680
2003-07-14,1280159820
2003-07-15,1244098980
2003-07-16,1277154750
2003-07-17,1247104050
2003-07-18,1229073630
2003-07-21,1187002650
2003-07-22,1241093910
2003-07-23,1217053350
2003-07-24,1232078700
2003-07-25,1223063490
2003-07-28,1208038139
2003-07-29,1205033070
2003-07-30,1205033070
2003-07-31,1211043210
2003-08-01,1217053350
2003-08-04,1241093910
2003-08-05,1241093910
2003-08-06,1259124330
2003-08-07,1211043210
2003-08-08,1171977300
2003-08-11,1193012790
2003-08-12,1183997580
2003-08-13,1193012790
2003-08-14,1208038139
2003-08-15,1126901250
2003-08-18,1159957020
2003-08-19,1165967160
2003-08-20,1153946880
2003-08-21,1147936740
2003-08-22,1129906320
2003-08-25,1138921530
2003-08-26,1162962090
2003-08-27,1168972230
2003-08-28,1183997580
2003-08-29,1202028000
2003-09-02,1205033070
2003-09-03,1220058420
2003-09-04,1244098980
2003-09-05,1229073630
2003-09-08,1235083770
2003-09-09,1247104050
2003-09-10,1232078700
2003-09-11,1217053350
2003-09-12,1259124330
2003-09-15,1250109120
2003-09-16,1334251080
2003-09-17,1361296710
2003-09-18,1346271360
2003-09-19,1382332200
2003-09-22,1361296710
2003-09-23,1487509650
2003-09-24,1472484300
2003-09-25,1433418389
2003-09-26,1406372760
2003-09-29,1406372760
2003-09-30,1384792260
2003-10-01,1409033700
2003-10-02,1475697660
2003-10-03,1509029640
2003-10-06,1509029640
2003-10-07,1554482340
2003-10-08,1548421980
2003-10-09,1530240900
2003-10-10,1515090000
2003-10-13,1518120180
2003-10-14,1527210720
2003-10-15,1527210720
2003-10-16,1539331440
2003-10-17,1545391800
2003-10-20,1509029640
2003-10-21,1509029640
2003-10-22,1448426040
2003-10-23,1430244960
2003-10-24,1415094060
2003-10-27,1436305320
2003-10-28,1421154420
2003-10-29,1454486400
2003-10-30,1469637300
2003-10-31,1469637300
2003-11-03,1512059820
2003-11-04,1463576940
2003-11-05,1515090000
2003-11-06,1463576940
2003-11-07,1454486400
2003-11-10,1424184600
2003-11-11,1424184600
2003-11-12,1421154420
2003-11-13,1378731900
2003-11-14,1412063880
2003-11-17,1378731900
2003-11-18,1348430100
2003-11-19,1381762080
2003-11-20,1427214780
2003-11-21,1409033700
2003-11-24,1424184600
2003-11-25,1430244960
2003-11-26,1454486400
2003-11-28,1499939100
2003-12-01,1502969280
2003-12-02,1469637300
2003-12-03,1618116120
2003-12-04,1645387740
2003-12-05,1681749900
2003-12-08,1690840440
2003-12-09,1660538640
2003-12-10,1636297200
2003-12-11,1605995400
2003-12-12,1590844500
2003-12-15,1578723780
2003-12-16,1581753960
2003-12-17,1560542700
2003-12-18,1572663420
2003-12-19,1602965220
2003-12-22,1609025580
2003-12-23,1575693600
2003-12-24,1596904859
2003-12-26,1578723780
2003-12-29,1636297200
2003-12-30,1627206660
2003-12-31,1633267020
2004-01-02,1660538640
2004-01-05,1681749900
2004-01-06,1727202600
2004-01-07,1739323320
2004-01-08,1772655300
2004-01-09,1893862500
2004-01-12,1893862500
2004-01-13,1848409800
2004-01-14,1878711600
2004-01-15,1863560700
2004-01-16,1875681420
2004-01-20,1930224660
2004-01-21,1981737720
2004-01-22,2145367440
2004-01-23,2127186359
2004-01-26,2154457980
2004-01-27,2093854380
2004-01-28,2021130060
2004-01-29,1987798080
2004-01-30,2081733660
2004-02-02,1966586820
2004-02-03,2018099880
2004-02-04,1975677359
2004-02-05,1996888620
2004-02-06,2060522400
2004-02-09,2075673300
2004-02-10,2057492220
2004-02-11,2090824200
