,EP
2003-03-04,424472.83
2003-03-05,424472.83
2003-03-06,424472.83
2003-03-07,663238.8
2003-03-10,663238.8
2003-03-11,928534.32
2003-03-12,663238.8
2003-03-13,663238.8
2003-03-14,663238.8
2003-03-17,663238.8
2003-03-18,663238.8
2003-03-19,663238.8
2003-03-20,663238.8
2003-03-21,663238.8
2003-03-24,663238.8
2003-03-25,663238.8
2003-03-26,928534.32
2003-03-27,1857068.64
2003-03-28,1857068.64
2003-03-31,3583003.2
2003-04-01,3583003.2
2003-04-02,2866402.56
2003-04-03,2866402.56
2003-04-04,2866402.56
2003-04-07,2687252.4
2003-04-08,2687252.4
2003-04-09,2687252.4
2003-04-10,2687252.4
2003-04-11,2687252.4
2003-04-14,2687252.4
2003-04-15,2687252.4
2003-04-16,2687252.4
2003-04-17,2687252.4
2003-04-21,2687252.4
2003-04-22,2687252.4
2003-04-23,2508102.24
2003-04-24,2508102.24
2003-04-25,2508102.24
2003-04-28,2149801.92
2003-04-29,2149801.92
2003-04-30,2149801.92
2003-05-01,2149801.92
2003-05-02,2149801.92
2003-05-05,2149801.92
2003-05-06,2149801.92
2003-05-07,2149801.92
2003-05-08,2866402.56
2003-05-09,2866402.56
2003-05-12,2866402.56
2003-05-13,2866402.56
2003-05-14,3224702.88
2003-05-15,3583003.2
2003-05-16,3583003.2
2003-05-19,3583003.2
2003-05-20,3583003.2
2003-05-21,3583003.2
2003-05-22,5374504.8
2003-05-23,7166006.4
2003-05-27,8599207.68
2003-05-28,10749009.0
2003-05-29,6449405.76
2003-05-30,7882607.04
2003-06-02,7882607.04
2003-06-03,7882607.04
2003-06-04,7882607.04
2003-06-05,7882607.04
2003-06-06,7882607.04
2003-06-09,7166006.4
2003-06-10,6807706.08
2003-06-11,5732805.12
2003-06-12,5732805.12
2003-06-13,5732805.12
2003-06-16,5732805.12
2003-06-17,5016204.48
2003-06-18,4657904.16
2003-06-19,4120453.68
2003-06-20,4120453.68
2003-06-23,3583003.2
2003-06-24,3583003.2
2003-06-25,3583003.2
2003-06-26,3941303.52
2003-06-27,3583003.2
2003-06-30,3754113.6
2003-07-01,3754113.6
2003-07-02,3754113.6
2003-07-03,3754113.6
2003-07-07,3566407.92
2003-07-08,3566407.92
2003-07-09,3566407.92
2003-07-10,4504936.32
2003-07-11,4504936.32
2003-07-14,4504936.32
2003-07-15,4129524.96
2003-07-16,3754113.6
2003-07-17,3754113.6
2003-07-18,3754113.6
2003-07-21,3003290.88
2003-07-22,3003290.88
2003-07-23,3754113.6
2003-07-24,3754113.6
2003-07-25,3754113.6
2003-07-28,3378702.24
2003-07-29,3378702.24
2003-07-30,3754113.6
2003-07-31,3754113.6
2003-08-01,7508227.2
2003-08-04,5631170.4
2003-08-05,6757404.48
2003-08-06,6757404.48
2003-08-07,5631170.4
2003-08-08,5631170.4
2003-08-11,6381993.12
2003-08-12,6381993.12
2003-08-13,7508227.2
2003-08-14,7508227.2
2003-08-15,7508227.2
2003-08-18,5631170.4
2003-08-19,5631170.4
2003-08-20,6757404.48
2003-08-21,6757404.48
2003-08-22,6381993.12
2003-08-25,6006581.76
2003-08-26,5631170.4
2003-08-27,5443464.72
2003-08-28,5631170.4
2003-08-29,5631170.4
2003-09-02,5631170.4
2003-09-03,5818876.08
2003-09-04,5631170.4
2003-09-05,5631170.4
2003-09-08,5631170.4
2003-09-09,5631170.4
2003-09-10,5631170.4
2003-09-11,5631170.4
2003-09-12,4880347.68
2003-09-15,3754113.6
2003-09-16,5255759.04
2003-09-17,6757404.48
2003-09-18,6381993.12
2003-09-19,6757404.48
2003-09-22,6006581.76
2003-09-23,5255759.04
2003-09-24,5631170.4
2003-09-25,5068053.36
2003-09-26,5068053.36
2003-09-29,6757404.48
2003-09-30,5674500.0
2003-10-01,6431100.0
2003-10-02,6052800.0
2003-10-03,5296200.0
2003-10-06,5296200.0
2003-10-07,6431100.0
2003-10-08,5674500.0
2003-10-09,6052800.0
2003-10-10,6052800.0
2003-10-13,5674500.0
2003-10-14,6052800.0
2003-10-15,6052800.0
2003-10-16,6052800.0
2003-10-17,5674500.0
2003-10-20,6052800.0
2003-10-21,6809400.0
2003-10-22,6431100.0
2003-10-23,6431100.0
2003-10-24,6052800.0
2003-10-27,5674500.0
2003-10-28,6431100.0
2003-10-29,6052800.0
2003-10-30,6052800.0
2003-10-31,5674500.0
2003-11-03,6052800.0
2003-11-04,5863650.0
2003-11-05,6052800.0
2003-11-06,6052800.0
2003-11-07,6809400.0
2003-11-10,6052800.0
2003-11-11,6052800.0
2003-11-12,6052800.0
2003-11-13,6431100.0
2003-11-14,6809400.0
2003-11-17,6809400.0
2003-11-18,6809400.0
2003-11-19,6620250.0
2003-11-20,6809400.0
2003-11-21,7187700.0
2003-11-24,6620250.0
2003-11-25,6620250.0
2003-11-26,6620250.0
2003-11-28,6998550.0
2003-12-01,6809400.0
2003-12-02,6431100.0
2003-12-03,6809400.0
2003-12-04,6809400.0
2003-12-05,6431100.0
2003-12-08,6431100.0
2003-12-09,6809400.0
2003-12-10,6809400.0
2003-12-11,6431100.0
2003-12-12,6431100.0
2003-12-15,7187700.0
2003-12-16,9457500.0
2003-12-17,9457500.0
2003-12-18,6809400.0
2003-12-19,6431100.0
2003-12-22,6809400.0
2003-12-23,6809400.0
2003-12-24,6809400.0
2003-12-26,7566000.0
2003-12-29,7566000.0
2003-12-30,6052800.0
2003-12-31,6431100.0
2004-01-02,7944300.0
2004-01-05,7944300.0
2004-01-06,6052800.0
2004-01-07,6431100.0
2004-01-08,7566000.0
2004-01-09,7566000.0
2004-01-12,7566000.0
2004-01-13,6431100.0
2004-01-14,6431100.0
2004-01-15,7187700.0
2004-01-16,7187700.0
2004-01-20,6809400.0
2004-01-21,7187700.0
2004-01-22,7566000.0
2004-01-23,9079200.0
2004-01-26,9079200.0
2004-01-27,8322600.0
2004-01-28,8322600.0
2004-01-29,7566000.0
2004-01-30,9079200.0
2004-02-02,9457500.0
2004-02-03,7187700.0
2004-02-04,7187700.0
2004-02-05,7187700.0
2004-02-06,7187700.0
2004-02-09,7187700.0
2004-02-10,7187700.0
2004-02-11,7187700.0
2004-02-12,7944300.0
2004-02-13,7944300.0
2004-02-17,7566000.0
2004-02-18,10214100.0
2004-02-19,9079200.0
2004-02-20,7566000.0
2004-02-23,7566000.0
2004-02-24,9457500.0
2004-02-25,9457500.0
2004-02-26,8322600.0
2004-02-27,8322600.0
2004-03-01,8322600.0
