,ATVI
2003-08-07,991772907
2003-08-08,987365028
2003-08-11,1000588667
2003-08-12,1004114970
2003-08-13,1000588667
2003-08-14,1018220185
2003-08-15,1025272792
2003-08-18,1075522620
2003-08-19,1101088321
2003-08-20,1085219955
2003-08-21,1084338379
2003-08-22,1101969897
2003-08-25,1109022505
2003-08-26,1112548808
2003-08-27,1118719840
2003-08-28,1115193536
2003-08-29,1138114510
2003-09-02,1168088091
2003-09-03,1190127489
2003-09-04,1168969667
2003-09-05,1153101300
2003-09-08,1201587976
2003-09-09,1227153678
2003-09-10,1183944703
2003-09-11,1169839489
2003-09-12,1104579362
2003-09-15,1114311960
2003-09-16,1115205290
2003-09-17,1128323140
2003-09-18,1101946388
2003-09-19,1065837039
2003-09-22,1049098851
2003-09-23,1057891101
2003-09-24,1064943709
2003-09-25,1010262493
2003-09-26,1010262493
2003-09-29,1051731824
2003-09-30,1062451818
2003-10-01,1105008590
2003-10-02,1108606270
2003-10-03,1121908220
2003-10-06,1157411645
2003-10-07,1182264042
2003-10-08,1160961987
2003-10-09,1171613015
2003-10-10,1180465202
2003-10-13,1205364937
2003-10-14,1242619864
2003-10-15,1220418389
2003-10-16,1238170101
2003-10-17,1208867942
2003-10-20,1215968627
2003-10-21,1247969047
2003-10-22,1200015754
2003-10-23,1197364832
2003-10-24,1191163567
2003-10-27,1187565887
2003-10-28,1225767572
2003-10-29,1251472051
2003-10-30,1315378216
2003-10-31,1339331193
2003-11-03,1359781166
2003-11-04,1359781166
2003-11-05,1342928873
2003-11-06,1327828083
2003-11-07,1381982640
2003-11-10,1380231138
2003-11-11,1385532983
2003-11-12,1467190860
2003-11-13,1428989175
2003-11-14,1383734143
2003-11-17,1358929083
2003-11-18,1292324659
2003-11-19,1318975896
2003-11-20,1346479216
2003-11-21,1353579901
2003-11-24,1370432193
2003-11-25,1357130243
2003-11-26,1357982325
2003-11-28,1364230928
2003-12-01,1389083325
2003-12-02,1340277951
2003-12-03,1327828083
2003-12-04,1390834828
2003-12-05,1385532983
2003-12-08,1375781376
2003-12-09,1302123604
2003-12-10,1326076581
2003-12-11,1342928873
2003-12-12,1390834828
2003-12-15,1334928768
2003-12-16,1462741097
2003-12-17,1456539832
2003-12-18,1686412673
2003-12-19,1636707878
2003-12-22,1624305348
2003-12-23,1652708088
2003-12-24,1661560275
2003-12-26,1655359011
2003-12-29,1664258536
2003-12-30,1635855796
2003-12-31,1617573819
2004-01-02,1669070502
2004-01-05,1659311241
2004-01-06,1667317625
2004-01-07,1634439338
2004-01-08,1641545596
2004-01-09,1625580203
2004-01-12,1602461177
2004-01-13,1544758362
2004-01-14,1672671006
2004-01-15,1636192215
2004-01-16,1651352232
2004-01-20,1656658238
2004-01-21,1658458490
2004-01-22,1660211367
2004-01-23,1655758112
2004-01-26,1626432954
2004-01-27,1595354919
2004-01-28,1598908048
2004-01-29,1642445722
2004-01-30,1678829763
2004-02-02,1684183144
2004-02-03,1680630015
2004-02-04,1629085957
2004-02-05,1666417499
2004-02-06,1744586337
2004-02-09,1753492847
2004-02-10,1776564498
2004-02-11,1821902424
2004-02-12,1789024137
2004-02-13,1813848665
2004-02-17,1863592471
2004-02-18,1886711497
2004-02-19,1862739720
2004-02-20,1854733336
2004-02-23,1789876888
2004-02-24,1817449169
2004-02-25,1847627078
2004-02-26,1855633462
2004-02-27,1866292849
2004-03-01,1881405491
2004-03-02,1871646230
2004-03-03,1909830523
2004-03-04,1900924013
2004-03-05,1903577016
2004-03-08,1857433714
2004-03-09,1868045726
2004-03-10,1844974075
2004-03-11,1777464624
2004-03-12,1812095788
2004-03-15,1787223885
2004-03-16,1788124011
2004-03-17,1866766600
2004-03-18,1832088061
2004-03-19,1877378612
2004-03-22,1832088061
2004-03-23,1841420946
2004-03-24,1814748791
2004-03-25,2017277144
2004-03-26,2038595918
2004-03-29,2074600959
2004-03-30,2098572736
2004-03-31,2180717029
2004-04-01,2206872702
2004-04-02,2250955298
2004-04-05,2272996596
2004-04-06,2310221899
2004-04-07,2281274327
2004-04-08,2293666435
2004-04-12,2312964816
2004-04-13,2217893351
2004-04-14,2209615619
2004-04-15,2164210546
2004-04-16,2180717029
2004-04-19,2206872702
2004-04-20,2154561355
2004-04-21,2162790106
2004-04-22,2209615619
2004-04-23,2209615619
2004-04-26,2149026540
2004-04-27,2155932814
2004-04-28,2129728160
2004-04-29,1974116597
2004-04-30,2076045354
2004-05-03,2093923296
2004-05-04,2133891516
2004-05-05,2128356701
2004-05-06,2160047189
2004-05-07,2109107301
2004-05-10,2126985243
2004-05-11,2059489890
2004-05-12,2020942109
2004-05-13,2038820051
2004-05-14,1978230972
2004-05-17,1990574099
2004-05-18,1963046967
2004-05-19,1990574099
2004-05-20,2033334217
2004-05-21,2049840700
2004-05-24,2073302437
2004-05-25,2131148599
2004-05-26,2187623302
2004-05-27,2188994760
2004-05-28,2179345570
2004-06-01,2188994760
2004-06-02,2220636268
2004-06-03,2168324921
2004-06-04,2222056707
2004-06-07,2303315625
2004-06-08,2304687084
2004-06-09,2249583839
2004-06-10,2223428166
2004-06-14,2161467628
2004-06-15,2211036058
2004-06-16,2197223512
2004-06-17,2173810755
2004-06-18,2118707511
2004-06-21,2073302437
2004-06-22,2051261139
2004-06-23,2058118432
2004-06-24,2085645564
2004-06-25,2122870867
2004-06-28,2171067838
2004-06-29,2183508926
2004-06-30,2202131698
2004-07-01,2159191140
2004-07-02,2155054664
2004-07-06,2095518958
2004-07-07,2105170735
2004-07-08,2034555184
2004-07-09,2058093701
2004-07-12,2091333239
2004-07-13,2084439112
2004-07-14,2155054664
2004-07-15,2192430678
2004-07-16,2173077880
2004-07-19,2142595993
2004-07-20,2188294202
2004-07-21,2065037071
2004-07-22,2071931197
2004-07-23,1943109521
2004-07-26,1915434528
2004-07-27,1983292429
2004-07-28,1987478149
2004-07-29,2004073296
2004-07-30,2029039882
2004-08-02,2042877379
2004-08-03,2011016666
2004-08-04,1987478149
2004-08-05,1991614625
2004-08-06,1936215395
2004-08-09,1923756724
2004-08-10,1854519997
2004-08-11,1771396531
2004-08-12,1765881230
2004-08-13,1817094740
2004-08-16,1853091928
2004-08-17,1904354682
2004-08-18,1940401115
2004-08-19,1930650850
2004-08-20,1969454933
2004-08-23,1932029675
2004-08-24,1916813354
2004-08-25,1994372275
2004-08-26,2008209772
2004-08-27,2009637841
2004-08-30,1983292429
2004-08-31,1992993450
2004-09-01,1926514374
2004-09-02,1923756724
2004-09-03,1889138361
2004-09-07,1814337089
2004-09-08,1792177397
2004-09-09,1814337089
2004-09-10,1948674066
2004-09-13,1930650850
2004-09-14,1862792949
2004-09-15,1857277648
2004-09-16,1862792949
2004-09-17,1837875606
2004-09-20,1876679689
2004-09-21,1886331466
2004-09-22,1821280459
2004-09-23,1815715915
2004-09-24,1848955452
2004-09-27,1826795761
2004-09-28,1860035298
2004-09-29,1868357494
2004-09-30,1939237504
2004-10-01,1887488049
2004-10-04,1837130510
2004-10-05,1825945470
2004-10-06,1852541011
2004-10-07,1828779013
2004-10-08,1796615807
2004-10-11,1789606515
2004-10-12,1782646934
2004-10-13,1775637642
2004-10-14,1786822683
2004-10-15,1768678061
