,AM
2020-12-07,3574747500
2020-12-08,3732036390
2020-12-09,3755868040
2020-12-10,4018016190
2020-12-11,4013249860
2020-12-14,3760634370
2020-12-15,3917923260
2020-12-16,3793998680
2020-12-17,3875026290
2020-12-18,3946521239
2020-12-21,3927455920
2020-12-22,4008483530
2020-12-23,4022782520
2020-12-24,3994184540
2020-12-28,3665307770
2020-12-29,3660541440
2020-12-30,3665307770
2020-12-31,3676513500
2021-01-04,3638365500
2021-01-05,3943549500
2021-01-06,4005540000
2021-01-07,4019845500
2021-01-08,3852948000
2021-01-11,3862485000
2021-01-12,4038919500
2021-01-13,3981697500
2021-01-14,4067530499
2021-01-15,4053225000
2021-01-19,4105678499
2021-01-20,3867253499
2021-01-21,3862485000
2021-01-22,3876790500
2021-01-25,4034151000
2021-01-26,4062762000
2021-01-27,3914938500
2021-01-28,3924475500
2021-01-29,3862485000
2021-02-01,3814800000
2021-02-02,3676513500
2021-02-03,3862485000
2021-02-04,3776652000
2021-02-05,3833873999
2021-02-08,3934012500
2021-02-09,3981697500
2021-02-10,4100910000
2021-02-11,4162900500
2021-02-12,4320261000
2021-02-16,4372714500
2021-02-17,4363177500
2021-02-18,3824337000
2021-02-19,3829105499
2021-02-22,3829105499
2021-02-23,3962623500
2021-02-24,4334566500
2021-02-25,4325029500
2021-02-26,4205817000
2021-03-01,4429936500
2021-03-02,4387020000
2021-03-03,4420399500
2021-03-04,4534843500
2021-03-05,4511001000
2021-03-08,4425168000
2021-03-09,4263039000
2021-03-10,4568223000
2021-03-11,4501464000
2021-03-12,4301187000
2021-03-15,4267807499
2021-03-16,4181974500
2021-03-17,4263039000
2021-03-18,4067530499
2021-03-19,4234428000
2021-03-22,4220122500
2021-03-23,4077067500
2021-03-24,4115215500
2021-03-25,4229659499
2021-03-26,4396557000
2021-03-29,4272576000
2021-03-30,4205817000
2021-03-31,4309928700
2021-04-01,4352884800
2021-04-05,4295610000
2021-04-06,4252653900
2021-04-07,4271745499
2021-04-08,4257426800
2021-04-09,4071283699
2021-04-12,3966279900
2021-04-13,4133331400
2021-04-14,4128558500
2021-04-15,4157195900
2021-04-16,4152422999
2021-04-19,4181060400
2021-04-20,4128558500
2021-04-21,4228789399
2021-04-22,4276518400
2021-04-23,4286064200
2021-04-26,4348111900
2021-04-27,4290837100
2021-04-28,4333793200
2021-04-29,4195379099
2021-04-30,4123785600
2021-05-03,4190606199
2021-05-04,4314701600
2021-05-05,4381522200
2021-05-06,4357657700
2021-05-07,4429251200
2021-05-10,4443569900
2021-05-11,4453115700
2021-05-12,4376749300
2021-05-13,4400613800
2021-05-14,4624940100
2021-05-17,4734716800
2021-05-18,4768127100
2021-05-19,4725171000
2021-05-20,4772900000
2021-05-21,4763354200
2021-05-24,4658350400
2021-05-25,4629713000
2021-05-26,4605848500
2021-05-27,4701306500
2021-05-28,4581984000
2021-06-01,4834947700
2021-06-02,4806310300
2021-06-03,4749035500
2021-06-04,4744262600
2021-06-07,4892222500
2021-06-08,5011545000
2021-06-09,4916087000
2021-06-10,4944724400
2021-06-11,5021090800
2021-06-14,4892222500
2021-06-15,4920859900
2021-06-16,5006772100
2021-06-17,4815856100
2021-06-18,4758581300
2021-06-21,4916087000
2021-06-22,4854039300
2021-06-23,4882676700
2021-06-24,4939951500
2021-06-25,5030636600
2021-06-28,4844493500
2021-06-29,4930405700
2021-06-30,4960622380
2021-07-01,5051336360
2021-07-02,4989268900
2021-07-06,4908103760
2021-07-07,4865133980
2021-07-08,4922427020
2021-07-09,5046561940
2021-07-12,4951073540
2021-07-13,4822164200
2021-07-14,4788743260
2021-07-15,4760096740
2021-07-16,4621638560
2021-07-19,4492729220
2021-07-20,4683706020
2021-07-21,4793517680
2021-07-22,4826938620
2021-07-23,4764871160
2021-07-26,4927201440
2021-07-27,4597766460
2021-07-28,4635961820
2021-07-29,4631187400
2021-07-30,4535699000
2021-08-02,4416338500
2021-08-03,4468857120
2021-08-04,4392466400
2021-08-05,4382917560
2021-08-06,4392466400
2021-08-09,4382917560
2021-08-10,4430661760
2021-08-11,4464082700
2021-08-12,4459308280
2021-08-13,4382917560
2021-08-16,4320850100
2021-08-17,4344722200
2021-08-18,4153745399
2021-08-19,4158519820
2021-08-20,4249233800
2021-08-23,4320850100
2021-08-24,4344722200
2021-08-25,4497503640
2021-08-26,4411564080
2021-08-27,4640736240
2021-08-30,4573894360
2021-08-31,4588217620
2021-09-01,4640736240
2021-09-02,4788743260
2021-09-03,4826938620
2021-09-07,4826938620
2021-09-08,4841261880
2021-09-09,4774420000
2021-09-10,4798292100
2021-09-13,4898554920
2021-09-14,4826938620
2021-09-15,5008366580
2021-09-16,4974945640
2021-09-17,4826938620
2021-09-20,4750547900
2021-09-21,4698029280
2021-09-22,4760096740
2021-09-23,4893780500
2021-09-24,4889006080
2021-09-27,5056110780
2021-09-28,5013141000
2021-09-29,5084757300
2021-09-30,4974945640
2021-10-01,5113403820
2021-10-04,5180245700
2021-10-05,5218441060
2021-10-06,5132501500
2021-10-07,5208892220
2021-10-08,5237538740
2021-10-11,5242313160
2021-10-12,5251862000
2021-10-13,5204117800
2021-10-14,5285282940
2021-10-15,5418966700
2021-10-18,5418966700
2021-10-19,5433289960
2021-10-20,5528778360
2021-10-21,5428515540
2021-10-22,5466710900
2021-10-25,5576522560
2021-10-26,5275734100
2021-10-27,5165922440
2021-10-28,5185020120
2021-10-29,5079982880
2021-11-01,5113403820
2021-11-02,5108629400
2021-11-03,5137275920
2021-11-04,5056110780
2021-11-05,5146824760
2021-11-08,5194568960
2021-11-09,5165922440
2021-11-10,5051336360
2021-11-11,5156373600
2021-11-12,5065659620
2021-11-15,5027464260
2021-11-16,5037013100
2021-11-17,4998817740
2021-11-18,4984494480
2021-11-19,4850810720
2021-11-22,4822164200
2021-11-23,4974945640
2021-11-24,4994043320
2021-11-26,4893780500
2021-11-29,4807840940
2021-11-30,4635961820
2021-12-01,4545247840
2021-12-02,4621638560
2021-12-03,4573894360
2021-12-06,4535699000
2021-12-07,4664608340
2021-12-08,4736224640
2021-12-09,4621638560
2021-12-10,4559571100
2021-12-13,4421112920
2021-12-14,4421112920
2021-12-15,4483180380
