,FLT
2014-02-07,9637205760
2014-02-10,9394786350
2014-02-11,9519719220
2014-02-12,9609902550
2014-02-13,9641342610
2014-02-14,9659544750
2014-02-18,9875488320
2014-02-19,9824191380
2014-02-20,9872178840
2014-02-21,10002075930
2014-02-24,10295792280
2014-02-25,10530765360
2014-02-26,10534902210
2014-02-27,10802970090
2014-02-28,10750018410
2014-03-03,10538211690
2014-03-04,10752500520
2014-03-05,10412451450
2014-03-06,10468712610
2014-03-07,10414933560
2014-03-10,10265179590
2014-03-11,10170032040
2014-03-12,10002075930
2014-03-13,9756347040
2014-03-14,9767102850
2014-03-17,9820054530
2014-03-18,9968153760
2014-03-19,9789441840
2014-03-20,9911065230
2014-03-21,9967326390
2014-03-24,9729043830
2014-03-25,9546195060
2014-03-26,9454356990
2014-03-27,9360036810
2014-03-28,9379066320
2014-03-31,9552839600
2014-04-01,9766969280
2014-04-02,9726301240
2014-04-03,9530430680
2014-04-04,9380207920
2014-04-07,9121260400
2014-04-08,9316301000
2014-04-09,9591847720
2014-04-10,9410916440
2014-04-11,9093871720
2014-04-14,9135369720
2014-04-15,9147819120
2014-04-16,9344519640
2014-04-17,9541220160
2014-04-21,9413406320
2014-04-22,9581888200
2014-04-23,9408426560
2014-04-24,9425025760
2014-04-25,9154458800
2014-04-28,9025815000
2014-04-29,9288082360
2014-04-30,9472333480
2014-05-01,9539560240
2014-05-02,9996868200
2014-05-05,10191908800
2014-05-06,10142111200
2014-05-07,9969479520
2014-05-08,10009317600
2014-05-09,10126341960
2014-05-12,10315572840
2014-05-13,10312253000
2014-05-14,10163690160
2014-05-15,9976119200
2014-05-16,10069904680
2014-05-19,10098123320
2014-05-20,9955370200
2014-05-21,10135471520
2014-05-22,10257475640
2014-05-23,10402718640
2014-05-27,10511443400
2014-05-28,10595269360
2014-05-29,10578670160
2014-05-30,10491524360
2014-06-02,10522232880
2014-06-03,10507293600
2014-06-04,10552111440
2014-06-05,10596099320
2014-06-06,10869986120
2014-06-09,10871646040
2014-06-10,10839277600
2014-06-11,10892395040
2014-06-12,10936382920
2014-06-13,10984520600
2014-06-16,11048427520
2014-06-17,11085775720
2014-06-18,11099055080
2014-06-19,10916463880
2014-06-20,10897374800
2014-06-23,11001119800
2014-06-24,10880775600
2014-06-25,11011909280
2014-06-26,10919783720
2014-06-27,11093245360
2014-06-30,11019929800
2014-07-01,11107721350
2014-07-02,10952204890
2014-07-03,11094343590
2014-07-07,10954713220
2014-07-08,10845182810
2014-07-09,10848527250
2014-07-10,10772441240
2014-07-11,10842674480
2014-07-14,11075949170
2014-07-15,11056718640
2014-07-16,11032471450
2014-07-17,10755719039
2014-07-18,10831805050
2014-07-21,10892004970
2014-07-22,11090163039
2014-07-23,11101032470
2014-07-24,11076785280
2014-07-25,11013240920
2014-07-28,11046685320
2014-07-29,11223940640
2014-07-30,11414573720
2014-07-31,11102704690
2014-08-01,10942171570
2014-08-04,11148690740
2014-08-05,11052538090
2014-08-06,10873610550
2014-08-07,10863577230
2014-08-08,10959729880
2014-08-11,10998190940
2014-08-12,10822607840
2014-08-13,11881123100
2014-08-14,11905370289
2014-08-15,12078445060
2014-08-18,12303358650
2014-08-19,12424594600
2014-08-20,12419577940
2014-08-21,12381116880
2014-08-22,12383625210
2014-08-25,12362722460
2014-08-26,12302522539
2014-08-27,12123595000
2014-08-28,11937142470
2014-08-29,12014064590
2014-09-02,12055033980
2014-09-03,11859384240
2014-09-04,11835973160
2014-09-05,11892828640
2014-09-08,11776609350
2014-09-09,11678784480
2014-09-10,11991489619
2014-09-11,11840153710
2014-09-12,11848514810
2014-09-15,11810053750
2014-09-16,11963897990
2014-09-17,12098511700
2014-09-18,12085133940
2014-09-19,11876942550
2014-09-22,11576779060
2014-09-23,11559220750
2014-09-24,11779117680
2014-09-25,11536645780
2014-09-26,11716409430
2014-09-29,11861056460
2014-09-30,12489079240
2014-10-01,12223690700
2014-10-02,12214903000
2014-10-03,12332658180
