,FICO
2003-04-03,2445157214
2003-04-04,2419513623
2003-04-07,2460353351
2003-04-08,2374399905
2003-04-09,2333560177
2003-04-10,2374399905
2003-04-11,2372025528
2003-04-14,2405267152
2003-04-15,2418563958
2003-04-16,2386272000
2003-04-17,2445631905
2003-04-21,2444207265
2003-04-22,2443257528
2003-04-23,2469850785
2003-04-24,2509740847
2003-04-25,2469376094
2003-04-28,2452755247
2003-04-29,2475074512
2003-04-30,2473175111
2003-05-01,2464627057
2003-05-02,2520188231
2003-05-05,2526836313
2003-05-06,2544881801
2003-05-07,2516389214
2003-05-08,2461777991
2003-05-09,2491220313
2003-05-12,2478873528
2003-05-13,2528261025
2003-05-14,2557703632
2003-05-15,2578598471
2003-05-16,2583822198
2003-05-19,2533959727
2003-05-20,2519238566
2003-05-21,2533959727
2003-05-22,2551055265
2003-05-23,2531585351
2003-05-27,2592844942
2003-05-28,2571950103
2003-05-29,2600442974
2003-05-30,2647456094
2003-06-02,2635584000
2003-06-03,2607566103
2003-06-04,2566726376
2003-06-05,2530635686
2003-06-06,2504992094
2003-06-09,2483622566
2003-06-10,2553429854
2003-06-11,2575274145
2003-06-12,2573849433
2003-06-13,2567676041
2003-06-16,2540608094
2003-06-17,2451805297
2003-06-18,2495494376
2003-06-19,2482672616
2003-06-20,2478873528
2003-06-23,2426161991
2003-06-24,2409541214
2003-06-25,2430910743
2003-06-26,2404317487
2003-06-27,2412865256
2003-06-30,2394945980
2003-07-01,2420548093
2003-07-02,2438702063
2003-07-03,2406583323
2003-07-07,2411238176
2003-07-08,2434512862
2003-07-09,2506663789
2003-07-10,2465235063
2003-07-11,2465700436
2003-07-14,2492233436
2003-07-15,2458718156
2003-07-16,2456390730
2003-07-17,2362361656
2003-07-18,2372602530
2003-07-21,2294865862
2003-07-22,2322795053
2003-07-23,2340949372
2003-07-24,2579745603
2003-07-25,2658879019
2003-07-28,2692859603
2003-07-29,2687739166
2003-07-30,2739408696
2003-07-31,2515508122
2003-08-01,2560195093
2003-08-04,2555539960
2003-08-05,2583469500
2003-08-06,2602089053
2003-08-07,2597434269
2003-08-08,2592313833
2003-08-11,2576487289
2003-08-12,2629087426
2003-08-13,2636069916
2003-08-14,2632346019
2003-08-15,2632811602
2003-08-18,2648172563
2003-08-19,2653758583
2003-08-20,2673774397
2003-08-21,2694256073
2003-08-22,2677032990
2003-08-25,2627690887
2003-08-26,2599296043
2003-08-27,2626294696
2003-08-28,2713806862
2003-08-29,2727771353
2003-09-02,2747322073
2003-09-03,2792009113
2003-09-04,2805042646
2003-09-05,2792474416
2003-09-08,2823196896
2003-09-09,2837161387
2003-09-10,2775251333
2003-09-11,2731495250
2003-09-12,2748253029
2003-09-15,2754769936
2003-09-16,2792940000
2003-09-17,2731960833
2003-09-18,2755700823
2003-09-19,2789216103
2003-09-22,2806904769
2003-09-23,2812025206
2003-09-24,2765010460
2003-09-25,2744063480
2003-09-26,2707289956
2003-09-29,2732891720
2003-09-30,2744529063
2003-10-01,2755700823
2003-10-02,2780371770
2003-10-03,2771527436
2003-10-06,2792940000
2003-10-07,2839489093
2003-10-08,2810628666
2003-10-09,2851591740
2003-10-10,2886037906
2003-10-13,2905123113
2003-10-14,2912105602
2003-10-15,2900002676
2003-10-16,2896278780
2003-10-17,2843212989
2003-10-20,2862297916
2003-10-21,2871142250
2003-10-22,2867418353
2003-10-23,2862297916
2003-10-24,2850195270
2003-10-27,2861832613
2003-10-28,2927932146
2003-10-29,2970291759
2003-10-30,2954930520
2003-10-31,2968895220
2003-11-03,2978204926
2003-11-04,2629087426
2003-11-05,2603950897
2003-11-06,2556936500
2003-11-07,2502008656
2003-11-10,2467562490
2003-11-11,2467096906
2003-11-12,2536455103
2003-11-13,2561125980
2003-11-14,2515508122
2003-11-17,2478734250
2003-11-18,2434512862
2003-11-19,2420548093
2003-11-20,2421013396
2003-11-21,2420082510
2003-11-24,2447546396
2003-11-25,2450339406
2003-11-26,2572297740
2003-11-28,2567642956
2003-12-01,2575556053
2003-12-02,2529472543
2003-12-03,2490371593
2003-12-04,2449873823
2003-12-05,2396342520
2003-12-08,2370275103
2003-12-09,2320467696
2003-12-10,2252971553
2003-12-11,2248316769
2003-12-12,2214801350
2003-12-15,2114721093
2003-12-16,2136599100
2003-12-17,2169648936
2003-12-18,2281366396
2003-12-19,2336759823
2003-12-22,2318140269
2003-12-23,2317209313
2003-12-24,2306037622
2003-12-26,2283228519
2003-12-29,2288348956
2003-12-30,2320467696
2003-12-31,2304227637
2004-01-02,2277510456
2004-01-05,2344068720
2004-01-06,2390940813
2004-01-07,2466404780
2004-01-08,2466404780
2004-01-09,2437344093
2004-01-12,2409689637
2004-01-13,2529212955
2004-01-14,2542806093
2004-01-15,2535775153
2004-01-16,2533431576
2004-01-20,2538118659
2004-01-21,2516088983
2004-01-22,2542806093
2004-01-23,2559679873
2004-01-26,2577960093
2004-01-27,2760760753
2004-01-28,2754198626
2004-01-29,2743887044
2004-01-30,2782790780
2004-02-02,2786540235
2004-02-03,2812320000
2004-02-04,2838099764
2004-02-05,2891533703
2004-02-06,2896689670
2004-02-09,2899033246
2004-02-10,2889190126
2004-02-11,2906063906
2004-02-12,2891064889
2004-02-13,2885440390
2004-02-17,2859192093
2004-02-18,2866222753
2004-02-19,2787477863
2004-02-20,2762166983
2004-02-23,2764041746
2004-02-24,2746230550
2004-02-25,2728887746
2004-02-26,2769197642
2004-02-27,2795445939
2004-03-01,2836693533
2004-03-02,2835755906
2004-03-03,2825444253
2004-03-04,2856848235
2004-03-05,2847942813
2004-03-08,2808570263
2004-03-09,2788884093
2004-03-10,2732637764
2004-03-11,2732871889
2004-03-12,2732168950
2004-03-15,2685765670
2004-03-16,2649205440
2004-03-17,2653424060
2004-03-18,2630222279
2004-03-19,2628816049
2004-03-22,2573272659
2004-03-23,2572569720
2004-03-24,2538118659
2004-03-25,2580303670
2004-03-26,2538118659
2004-03-29,2512104840
2004-03-30,2540228110
2004-03-31,2525888780
2004-04-01,2562292659
2004-04-02,2553891840
2004-04-05,2590296000
2004-04-06,2562292659
2004-04-07,2557392169
2004-04-08,2538489939
2004-04-12,2541290329
2004-04-13,2516087449
2004-04-14,2460081049
2004-04-15,2464281670
2004-04-16,2532889440
2004-04-19,2533589449
2004-04-20,2548291340
2004-04-21,2558092390
2004-04-22,2582595049
2004-04-23,2581194889
2004-04-26,2502786000
2004-04-27,2535689830
2004-04-28,2541990550
2004-04-29,2534289670
2004-04-30,2360669830
2004-05-03,2385172560
2004-05-04,2386572720
2004-05-05,2414576060
2004-05-06,2390773340
2004-05-07,2379572060
2004-05-10,2341067449
2004-05-11,2357869440
2004-05-12,2345268000
2004-05-13,2387972950
2004-05-14,2384472550
2004-05-17,2348068390
2004-05-18,2345268000
2004-05-19,2376071449
2004-05-20,2338267340
2004-05-21,2379572060
2004-05-24,2380272000
2004-05-25,2434878169
2004-05-26,2457280659
2004-05-27,2432778000
2004-05-28,2432778000
2004-06-01,2427877440
2004-06-02,2457280659
2004-06-03,2355769340
2004-06-04,2389373110
2004-06-07,2399174160
2004-06-08,2366270329
2004-06-09,2308163830
2004-06-10,2334066720
2004-06-14,2317264659
2004-06-15,2345268000
2004-06-16,2341067449
2004-06-17,2346668160
2004-06-18,2352268659
2004-06-21,2313064390
2004-06-22,2315864780
2004-06-23,2352268659
2004-06-24,2359269670
2004-06-25,2386572720
2004-06-28,2328465939
2004-06-29,2320065049
2004-06-30,2288866668
2004-07-01,2274466762
2004-07-02,2230582031
2004-07-06,2203839731
2004-07-07,2194925562
2004-07-08,2159955000
2004-07-09,2147612400
2004-07-12,2150355268
2004-07-13,1645680000
2004-07-14,1719049900
2004-07-15,1765677500
2004-07-16,1745792131
2004-07-19,1821904900
2004-07-20,1852761400
2004-07-21,1842475968
2004-07-22,1818476400
2004-07-23,1804076631
2004-07-26,1808190968
2004-07-27,1834247500
2004-07-28,1841104500
2004-07-29,1950130868
2004-07-30,1959730600
2004-08-02,1971387500
2004-08-03,1962473468
2004-08-04,1954930700
2004-08-05,1886360700
2004-08-06,1878818000
2004-08-09,1851390000
2004-08-10,1869903900
2004-08-11,1874018100
2004-08-12,1832190331
2004-08-13,1783505700
2004-08-16,1839047400
2004-08-17,1812990868
2004-08-18,1850704300
2004-08-19,1866475331
2004-08-20,1885675000
2004-08-23,1860989731
2004-08-24,1837675931
2004-08-25,1867846800
2004-08-26,1809562231
2004-08-27,1835618900
2004-08-30,1839733100
2004-08-31,1846590100
2004-09-01,1859618468
2004-09-02,1877446531
2004-09-03,1852761400
2004-09-07,1884989300
2004-09-08,1860304031
2004-09-09,1895274731
2004-09-10,1933674068
2004-09-13,1946702231
2004-09-14,1949445100
2004-09-15,1940530931
2004-09-16,1930931200
2004-09-17,1919960000
2004-09-20,1895274731
2004-09-21,1991958431
2004-09-22,2044757400
2004-09-23,2057100000
2004-09-24,2029672000
2004-09-27,2005672500
2004-09-28,1993329900
2004-09-29,1988530000
2004-09-30,2002244068
