,KIM
2004-03-10,5348067101
2004-03-11,5266332907
2004-03-12,5330394843
2004-03-15,5275169036
2004-03-16,5255287746
2004-03-17,5440846456
2004-03-18,5493863230
2004-03-19,5467354843
2004-03-22,5462936778
2004-03-23,5467354843
2004-03-24,5427592262
2004-03-25,5538043875
2004-03-26,5438637424
2004-03-29,5520371617
2004-03-30,5593269682
2004-03-31,5634194487
2004-04-01,5658508390
2004-04-02,5532518164
2004-04-05,5249592745
2004-04-06,5039609035
2004-04-07,5200964938
2004-04-08,5059502228
2004-04-12,4690372970
2004-04-13,4663848712
2004-04-14,4688162615
2004-04-15,4798680357
2004-04-16,4756683615
2004-04-19,4822994260
2004-04-20,4679321196
2004-04-21,4661638357
2004-04-22,4739000776
2004-04-23,4708055809
2004-04-26,4734580067
2004-04-27,4816363196
2004-04-28,4827414970
2004-04-29,4723528293
2004-04-30,4723528293
2004-05-03,4822994260
2004-05-04,4834046035
2004-05-05,4747842196
2004-05-06,4730159357
2004-05-07,4562172389
2004-05-10,4506913518
2004-05-11,4502492809
2004-05-12,4487020325
2004-05-13,4480389260
2004-05-14,4529017067
2004-05-17,4590907002
2004-05-18,4708055809
2004-05-19,4610800196
2004-05-20,4703635099
2004-05-21,4716897228
2004-05-24,4780997518
2004-05-25,4862780648
2004-05-26,4977719099
2004-05-27,5013084777
2004-05-28,5079395422
2004-06-01,5028557261
2004-06-02,5110340390
2004-06-03,5099288615
2004-06-04,5105919680
2004-06-07,5103709325
2004-06-08,5114761099
2004-06-09,5105919680
2004-06-10,5052871164
2004-06-14,4942353422
2004-06-15,5006453712
2004-06-16,5019715841
2004-06-17,5013084777
2004-06-18,4995401938
2004-06-21,5050660809
2004-06-22,5021926196
2004-06-23,5059502228
2004-06-24,5030767615
2004-06-25,5070554002
2004-06-28,5112550744
2004-06-29,4942353422
2004-06-30,5058663246
2004-07-01,5054216069
2004-07-02,5192078540
2004-07-06,5165395481
2004-07-07,5278798481
2004-07-08,5214314422
2004-07-09,5154277540
2004-07-12,5254339011
2004-07-13,5212090834
2004-07-14,5278798481
2004-07-15,5309928717
2004-07-16,5305481540
2004-07-19,5418884540
2004-07-20,5412213776
2004-07-21,5385530717
2004-07-22,5265456952
2004-07-23,5167619069
2004-07-26,5125370893
2004-07-27,5212090834
2004-07-28,5269904128
2004-07-29,5292140011
2004-07-30,5347729717
2004-08-02,5352176893
2004-08-03,5356624070
2004-08-04,5392201482
2004-08-05,5347729717
2004-08-06,5341058952
2004-08-09,5341058952
2004-08-10,5318823070
2004-08-11,5285469246
2004-08-12,5196525716
2004-08-13,5176513422
2004-08-16,5218761599
2004-08-17,5267680540
2004-08-18,5376636364
2004-08-19,5358847658
2004-08-20,5443344011
