,ETR
2003-10-21,12472809013
2003-10-22,12431750022
2003-10-23,12447717407
2003-10-24,12522992224
2003-10-27,12529835389
2003-10-28,12431750022
2003-10-29,12338226765
2003-10-30,12390691031
2003-10-31,12294886719
2003-11-03,12518430114
2003-11-04,12527554334
2003-11-05,12472809013
2003-11-06,12390691031
2003-11-07,12219611902
2003-11-10,12356475205
2003-11-11,12226455068
2003-11-12,12162585526
2003-11-13,12260670893
2003-11-14,12062219104
2003-11-17,11932198966
2003-11-18,11647067085
2003-11-19,11989225342
2003-11-20,11961852682
2003-11-21,11916231581
2003-11-24,12009754838
2003-11-25,11980101122
2003-11-26,12107840205
2003-11-28,12057656994
2003-12-01,12169428691
2003-12-02,12363318371
2003-12-03,12365599426
2003-12-04,12440874242
2003-12-05,12484214288
2003-12-08,12488776398
2003-12-09,12349632040
2003-12-10,12272076169
2003-12-11,12340507820
2003-12-12,12500181674
2003-12-15,12527554334
2003-12-16,12580018600
2003-12-17,12705476628
2003-12-18,12755659839
2003-12-19,12865150482
2003-12-22,12986046399
2003-12-23,12913052638
2003-12-24,12881117867
2003-12-26,12853745206
2003-12-29,13015700115
2003-12-30,13033948555
2003-12-31,13155018768
2004-01-02,13182650525
2004-01-05,13042189096
2004-01-06,13028373218
2004-01-07,13113571134
2004-01-08,13189558464
2004-01-09,13069820852
2004-01-12,12945477948
2004-01-13,12952385887
2004-01-14,13125084366
2004-01-15,13074426145
2004-01-16,13125084366
2004-01-20,13164229354
2004-01-21,13433638980
2004-01-22,13348441064
2004-01-23,13438244273
2004-01-26,13323111954
2004-01-27,13148110829
2004-01-28,13316204015
2004-01-29,13435941627
2004-01-30,13465876030
2004-02-02,13516534250
2004-02-03,13815878280
2004-02-04,13712259192
2004-02-05,13553376592
2004-02-06,13712259192
2004-02-09,13723772424
2004-02-10,13677719497
2004-02-11,13689232729
2004-02-12,13523442189
2004-02-13,13353046357
2004-02-17,13433638980
2004-02-18,13693838021
2004-02-19,13521139543
2004-02-20,13332322540
2004-02-23,13274756380
2004-02-24,13207979635
2004-02-25,13263243148
2004-02-26,13445152212
2004-02-27,13652390387
2004-03-01,13677719497
2004-03-02,13493507786
2004-03-03,13472783969
2004-03-04,13456665444
2004-03-05,13488902494
2004-03-08,13530350128
2004-03-09,13578705702
2004-03-10,13569495117
2004-03-11,13293177551
