,HPE
2019-02-11,21653280000
2019-02-12,21872000000
2019-02-13,21940350000
2019-02-14,21858330000
2019-02-15,21995030000
2019-02-19,21995030000
2019-02-20,21940350000
2019-02-21,22186410000
2019-02-22,22309440000
2019-02-25,22910920000
2019-02-26,22965600000
2019-02-27,22828900000
2019-02-28,22391460000
2019-03-01,22391460000
2019-03-04,22090720000
2019-03-05,22063380000
2019-03-06,21817320000
2019-03-07,21420890000
2019-03-08,21338870000
2019-03-11,21721630000
2019-03-12,20928770000
2019-03-13,21215840000
2019-03-14,21407220000
2019-03-15,21967690000
2019-03-18,21653280000
2019-03-19,21707960000
2019-03-20,21694290000
2019-03-21,21899340000
2019-03-22,20901430000
2019-03-25,20710050000
2019-03-26,20928770000
2019-03-27,20860420000
2019-03-28,20860420000
2019-03-29,21092810000
2019-04-01,21735300000
2019-04-02,21625940000
2019-04-03,21666950000
2019-04-04,21967690000
2019-04-05,22077049999
2019-04-08,22131730000
2019-04-09,21803650000
2019-04-10,22241090000
2019-04-11,22241090000
2019-04-12,22418799999
2019-04-15,22541829999
2019-04-16,22692200000
2019-04-17,22651190000
2019-04-18,22774220000
2019-04-22,22678530000
2019-04-23,22596510000
2019-04-24,22241090000
2019-04-25,21885670000
2019-04-26,21557590000
2019-04-29,21475570000
2019-04-30,21090540000
2019-05-01,21063860000
2019-05-02,20997160000
2019-05-03,21250620000
2019-05-06,20890440000
2019-05-07,20583620000
2019-05-08,20476900000
2019-05-09,20303480000
2019-05-10,19729860000
2019-05-13,18889440000
2019-05-14,18996160000
2019-05-15,19236280000
2019-05-16,19383020000
2019-05-17,19503080000
2019-05-20,19676500000
2019-05-21,20343500000
2019-05-22,19623140000
2019-05-23,19102880000
2019-05-24,19196260000
2019-05-28,18902780000
2019-05-29,18849420000
2019-05-30,18969480000
2019-05-31,18302480000
2019-06-03,18262460000
2019-06-04,18849420000
2019-06-05,18796060000
2019-06-06,18662660000
2019-06-07,18796060000
2019-06-10,19022840000
2019-06-11,19022840000
2019-06-12,18862760000
2019-06-13,19142900000
2019-06-14,18876100000
2019-06-17,19076200000
2019-06-18,19463060000
2019-06-19,19623140000
2019-06-20,20010000000
2019-06-21,19929960000
2019-06-24,20023340000
2019-06-25,19689840000
2019-06-26,19956640000
2019-06-27,19969980000
2019-06-28,19943300000
2019-07-01,20196760000
2019-07-02,20116720000
2019-07-03,20396860000
2019-07-05,20236780000
2019-07-08,20050020000
2019-07-09,19836580000
2019-07-10,19703180000
2019-07-11,19476400000
2019-07-12,19889940000
2019-07-15,19956640000
2019-07-16,19756540000
2019-07-17,19596460000
2019-07-18,19676500000
2019-07-19,19796560000
2019-07-22,19076200000
2019-07-23,19489740000
2019-07-24,19663160000
2019-07-25,19356340000
2019-07-26,19516420000
2019-07-29,19556440000
2019-07-30,19489740000
2019-07-31,18795960000
2019-08-01,18495120000
2019-08-02,17357160000
2019-08-05,16873200000
2019-08-06,17095560000
2019-08-07,17082480000
2019-08-08,17723400000
2019-08-09,17514120000
2019-08-12,17108640000
2019-08-13,17527200000
2019-08-14,16820880000
2019-08-15,16585440000
2019-08-16,16742400000
2019-08-19,17147880000
2019-08-20,16925520000
2019-08-21,17095560000
2019-08-22,17331000000
2019-08-23,16677000000
2019-08-26,16925520000
2019-08-27,16912440000
2019-08-28,17487960000
2019-08-29,17893440000
2019-08-30,18076560000
2019-09-03,17644920000
2019-09-04,17985000000
2019-09-05,18835200000
2019-09-06,19057560000
2019-09-09,19554600000
2019-09-10,19737720000
2019-09-11,20103960000
2019-09-12,20090880000
2019-09-13,20038560000
2019-09-16,19776960000
2019-09-17,19606920000
2019-09-18,19279920000
2019-09-19,19423800000
2019-09-20,18874440000
2019-09-23,18835200000
2019-09-24,18639000000
2019-09-25,19083720000
2019-09-26,19136040000
2019-09-27,19620000000
2019-09-30,19842360000
2019-10-01,19162200000
2019-10-02,18887520000
2019-10-03,18966000000
2019-10-04,18835200000
2019-10-07,18769800000
2019-10-08,18115800000
2019-10-09,18403560000
2019-10-10,18455880000
2019-10-11,18769800000
2019-10-14,19554600000
2019-10-15,19803120000
2019-10-16,19737720000
2019-10-17,19894680000
2019-10-18,20077800000
2019-10-21,20888760000
2019-10-22,20862600000
2019-10-23,20954160000
2019-10-24,20784120000
2019-10-25,21137280000
2019-10-28,21490440000
2019-10-29,21529680000
2019-10-30,21333480000
2019-10-31,21333000000
2019-11-01,21450000000
2019-11-04,21645000000
2019-11-05,21878999999
2019-11-06,22022000000
2019-11-07,22334000000
2019-11-08,22659000000
2019-11-11,22698000000
2019-11-12,22542000000
2019-11-13,22399000000
2019-11-14,22139000000
2019-11-15,22399000000
2019-11-18,22464000000
2019-11-19,22672000000
2019-11-20,22256000000
2019-11-21,22203999999
2019-11-22,22256000000
2019-11-25,22685000000
2019-11-26,20761000000
2019-11-27,20722000000
2019-11-29,20579000000
2019-12-02,20488000000
2019-12-03,20293000000
2019-12-04,20462000000
2019-12-05,20709000000
2019-12-06,20683000000
2019-12-09,20657000000
2019-12-10,20592000000
2019-12-11,20631000000
2019-12-12,21320000000
2019-12-13,20839000000
2019-12-16,20903999999
2019-12-17,20592000000
2019-12-18,20683000000
2019-12-19,20462000000
2019-12-20,20254000000
2019-12-23,20592000000
2019-12-24,20696000000
2019-12-26,20748000000
2019-12-27,20670000000
2019-12-30,20514000000
2019-12-31,20618000000
2020-01-02,21021000000
2020-01-03,20501000000
2020-01-06,20436000000
2020-01-07,20332000000
2020-01-08,20488000000
2020-01-09,20371000000
2020-01-10,20111000000
2020-01-13,20215000000
2020-01-14,20202000000
2020-01-15,20137000000
2020-01-16,20501000000
2020-01-17,19630000000
2020-01-21,19370000000
2020-01-22,19539000000
2020-01-23,19708000000
2020-01-24,19188000000
2020-01-27,18876000000
