,HSY
2003-06-30,9101218320
2003-07-01,9218805120
2003-07-02,9265839840
2003-07-03,9263226800
2003-07-07,9250161600
2003-07-08,9318100640
2003-07-09,9244935520
2003-07-10,9294583280
2003-07-11,9299809360
2003-07-14,9263226800
2003-07-15,9310261520
2003-07-16,9380813600
2003-07-17,9553274240
2003-07-18,9618600240
2003-07-21,9490561280
2003-07-22,9644730640
2003-07-23,9602922000
2003-07-24,9587243760
2003-07-25,9681313200
2003-07-28,9592469840
2003-07-29,9589856800
2003-07-30,9584630720
2003-07-31,9514078640
2003-08-01,9414783120
2003-08-04,9357296240
2003-08-05,9320713680
2003-08-06,9320713680
2003-08-07,9370361440
2003-08-08,9401717920
2003-08-11,9548048160
2003-08-12,9592469840
2003-08-13,9521917760
2003-08-14,9501013440
2003-08-15,9532369920
2003-08-18,9508852560
2003-08-19,9459204800
2003-08-20,9383426640
2003-08-21,9258000720
2003-08-22,9098605280
2003-08-25,9252774640
2003-08-26,9252774640
2003-08-27,9171770400
2003-08-28,9182222560
2003-08-29,9132574800
2003-09-02,9244935520
2003-09-03,9289357200
2003-09-04,9323326720
2003-09-05,9265839840
2003-09-08,9247548560
2003-09-09,9278905040
2003-09-10,9414783120
2003-09-11,9425235280
2003-09-12,9467043920
2003-09-15,9482722160
2003-09-16,9480109120
2003-09-17,9485335200
2003-09-18,9548048160
2003-09-19,9545435120
2003-09-22,9563726400
2003-09-23,9600308960
2003-09-24,9610761120
2003-09-25,9647343680
2003-09-26,9592469840
2003-09-29,9524530800
2003-09-30,9495787360
2003-10-01,9665634960
2003-10-02,9668248000
2003-10-03,9715282720
2003-10-06,9788447840
2003-10-07,9817191280
2003-10-08,9744026160
2003-10-09,9694378400
2003-10-10,9676087120
2003-10-13,9835482560
2003-10-14,9874678160
2003-10-15,9835482560
2003-10-16,9898195520
2003-10-17,9819804320
2003-10-20,9908647680
2003-10-21,9877291200
2003-10-22,9840708640
2003-10-23,9887743360
2003-10-24,9979199760
2003-10-27,9979199760
2003-10-28,10002717120
2003-10-29,9942617200
2003-10-30,9848547760
2003-10-31,10073269200
2003-11-03,10122916960
2003-11-04,10138595200
2003-11-05,10091560480
2003-11-06,10096786560
2003-11-07,10052364880
2003-11-10,10036686640
2003-11-11,10086334400
2003-11-12,10177790800
2003-11-13,10190856000
2003-11-14,10086334400
2003-11-17,10112464800
2003-11-18,10094173520
2003-11-19,10112464800
2003-11-20,10060204000
2003-11-21,10083721360
2003-11-24,10198695120
