,CPRI
2015-07-02,8134088131
2015-07-06,7899904958
2015-07-07,8011330823
2015-07-08,7871576348
2015-07-09,7930122142
2015-07-10,8024550841
2015-07-13,8321056955
2015-07-14,8211519665
2015-07-15,8111425244
2015-07-16,7790367667
2015-07-17,7652501766
2015-07-20,7539187328
2015-07-21,7663833210
2015-07-22,7578847381
2015-07-23,7518413014
2015-07-24,7427761463
2015-07-27,7378658539
2015-07-28,7444758629
2015-07-29,7575070233
2015-07-30,7954673603
2015-07-31,7930122142
2015-08-03,7310669876
2015-08-04,7278564118
2015-08-05,7457978647
2015-08-06,8266288310
2015-08-07,8279508328
2015-08-10,8553351555
2015-08-11,8568460147
2015-08-12,8392822767
2015-08-13,8236071126
2015-08-14,8190745351
2015-08-17,8219073960
2015-08-18,8098205226
2015-08-19,8154862445
2015-08-20,7962227899
2015-08-21,7569404511
2015-08-24,7187912567
2015-08-25,7439092907
2015-08-26,7756373335
2015-08-27,8173748185
2015-08-28,8152973871
2015-08-31,8207742517
2015-09-01,8081208060
2015-09-02,8406042784
2015-09-03,8483474318
2015-09-04,8298394068
2015-09-08,8404154211
2015-09-09,8294616920
2015-09-10,8251179718
2015-09-11,8338054121
2015-09-14,8149196723
2015-09-15,8283285476
2015-09-16,8521245797
2015-09-17,8375825601
2015-09-18,8141642427
2015-09-21,8228516830
2015-09-22,8134088131
2015-09-23,7966005047
2015-09-24,8067988042
2015-09-25,8007553675
2015-09-28,7387255128
2015-09-29,7414581596
2015-09-30,7695133332
2015-10-01,7589470990
2015-10-02,7930140955
2015-10-05,7995724478
2015-10-06,7900992723
2015-10-07,7782578029
2015-10-08,7926497426
2015-10-09,7758895090
2015-10-12,7636836867
2015-10-13,7569431580
2015-10-14,7607688635
2015-10-15,7605866871
2015-10-16,7338067486
2015-10-19,7245157496
2015-10-20,7268840434
2015-10-21,7214187499
2015-10-22,7188682795
2015-10-23,7019258695
2015-10-26,7061159279
2015-10-27,7046585163
2015-10-28,7021080460
2015-10-29,7048406927
2015-10-30,7039298105
2015-11-02,7097594569
