,CCU
2003-10-20,1325223508
2003-10-21,1310853615
2003-10-22,1328416818
2003-10-23,1363543224
2003-10-24,1347576676
2003-10-27,1373123153
2003-10-28,1355559950
2003-10-29,1366736534
2003-10-30,1360349915
2003-10-31,1350769986
2003-11-03,1341190057
2003-11-04,1301273686
2003-11-05,1291693757
2003-11-06,1283710483
2003-11-07,1283710483
2003-11-10,1264550625
2003-11-11,1219844290
2003-11-12,1243794112
2003-11-13,1251777386
2003-11-14,1307660305
2003-11-17,1296483721
2003-11-18,1270937244
2003-11-19,1261357315
2003-11-20,1261357315
2003-11-21,1266147280
2003-11-24,1296483721
2003-11-25,1302870341
2003-11-26,1302870341
2003-11-28,1334803437
2003-12-01,1342786712
2003-12-02,1376316463
2003-12-03,1369929844
2003-12-04,1385896392
2003-12-05,1384299737
2003-12-08,1429006072
2003-12-09,1411442869
2003-12-10,1398669631
2003-12-11,1417829489
2003-12-12,1409846214
2003-12-15,1413039524
2003-12-16,1390686356
2003-12-17,1382703082
2003-12-18,1365139879
2003-12-19,1363543224
2003-12-22,1349173331
2003-12-23,1360349915
2003-12-24,1376316463
2003-12-26,1374719808
2003-12-29,1398669631
2003-12-30,1400266285
2003-12-31,1373123153
2004-01-02,1389089702
2004-01-05,1401862940
2004-01-06,1398669631
2004-01-07,1405056250
2004-01-08,1430602727
2004-01-09,1464132479
2004-01-12,1496065575
2004-01-13,1521612052
2004-01-14,1502452195
2004-01-15,1454552550
2004-01-16,1462535824
2004-01-20,1464132479
2004-01-21,1462535824
2004-01-22,1478502372
2004-01-23,1476905717
2004-01-26,1444972621
2004-01-27,1443375966
2004-01-28,1430602727
2004-01-29,1398669631
2004-01-30,1387493047
2004-02-02,1389089702
2004-02-03,1374719808
2004-02-04,1381106427
2004-02-05,1361946569
2004-02-06,1373123153
2004-02-09,1400266285
2004-02-10,1379509773
2004-02-11,1393879666
2004-02-12,1400266285
2004-02-13,1413039524
2004-02-17,1468922443
2004-02-18,1500855540
2004-02-19,1521612052
2004-02-20,1494468920
2004-02-23,1489678956
2004-02-24,1504048849
2004-02-25,1537578601
2004-02-26,1543965220
2004-02-27,1555141804
2004-03-01,1591864865
2004-03-02,1625394616
2004-03-03,1601444794
2004-03-04,1571108352
2004-03-05,1574301662
2004-03-08,1582284936
2004-03-09,1603041449
2004-03-10,1603041449
2004-03-11,1580688281
2004-03-12,1564721733
2004-03-15,1535981946
2004-03-16,1539175256
2004-03-17,1406652905
2004-03-18,1389089702
2004-03-19,1421022798
2004-03-22,1387493047
2004-03-23,1397072976
2004-03-24,1369929844
2004-03-25,1369929844
2004-03-26,1365139879
2004-03-29,1382703082
2004-03-30,1417829489
2004-03-31,1459342514
2004-04-01,1488082301
2004-04-02,1527998672
2004-04-05,1513628778
2004-04-06,1499258885
2004-04-07,1494468920
2004-04-08,1491275611
2004-04-12,1478502372
2004-04-13,1459342514
2004-04-14,1424216108
2004-04-15,1405056250
2004-04-16,1421022798
2004-04-19,1430602727
2004-04-20,1429006072
2004-04-21,1363543224
2004-04-22,1353963295
2004-04-23,1384299737
2004-04-26,1366736534
2004-04-27,1357156605
2004-04-28,1334803437
2004-04-29,1334803437
2004-04-30,1331610128
2004-05-03,1312450270
2004-05-04,1310853615
2004-05-05,1286903792
2004-05-06,1270937244
2004-05-07,1227827564
2004-05-10,1143204858
2004-05-11,1200684432
2004-05-12,1203877741
2004-05-13,1207071051
2004-05-14,1226230909
2004-05-17,1181524574
2004-05-18,1192701158
2004-05-19,1211861015
2004-05-20,1210264361
2004-05-21,1232617528
2004-05-24,1234214183
2004-05-25,1235810838
2004-05-26,1243794112
2004-05-27,1277323864
2004-05-28,1280517173
2004-06-01,1242197457
2004-06-02,1251777386
2004-06-03,1235810838
2004-06-04,1213457670
2004-06-07,1239004148
2004-06-08,1234214183
2004-06-09,1223037599
2004-06-10,1223037599
2004-06-14,1219844290
2004-06-15,1221440944
2004-06-16,1232617528
2004-06-17,1243794112
2004-06-18,1258164006
2004-06-21,1248584077
2004-06-22,1248584077
2004-06-23,1261357315
2004-06-24,1290097102
2004-06-25,1309256960
2004-06-28,1314046925
2004-06-29,1358753260
2004-06-30,1365139879
2004-07-01,1366749408
2004-07-02,1369942748
2004-07-06,1352379379
2004-07-07,1355572719
2004-07-08,1361959399
2004-07-09,1368346078
2004-07-12,1401876145
2004-07-13,1401876145
2004-07-14,1398682806
2004-07-15,1401876145
2004-07-16,1401876145
2004-07-19,1405069485
2004-07-20,1405069485
2004-07-21,1405069485
2004-07-22,1397086136
2004-07-23,1376329427
2004-07-26,1341202690
2004-07-27,1347589370
2004-07-28,1328429331
2004-07-29,1322042652
2004-07-30,1326832661
2004-08-02,1322042652
2004-08-03,1322042652
2004-08-04,1330026001
2004-08-05,1323639322
2004-08-06,1347589370
2004-08-09,1363556068
2004-08-10,1341202690
2004-08-11,1331622671
2004-08-12,1353976049
2004-08-13,1331622671
2004-08-16,1334816011
2004-08-17,1345992700
2004-08-18,1379522767
2004-08-19,1382716107
2004-08-20,1432212873
2004-08-23,1419439514
2004-08-24,1419439514
2004-08-25,1437002883
2004-08-26,1446582902
2004-08-27,1459356261
2004-08-30,1468936280
2004-08-31,1507256357
2004-09-01,1543979764
2004-09-02,1513643036
2004-09-03,1494482998
2004-09-07,1472129620
2004-09-08,1451372911
2004-09-09,1443389562
2004-09-10,1456162921
2004-09-13,1492886328
2004-09-14,1494482998
