,BUD
2013-10-03,159967800000
2013-10-04,161205840000
2013-10-07,159185880000
2013-10-08,157622040000
2013-10-09,156123360000
2013-10-10,158729760000
2013-10-11,160309890000
2013-10-14,160896330000
2013-10-15,159756030000
2013-10-16,161042940000
2013-10-17,164529000000
2013-10-18,167298300000
2013-10-21,167184270000
2013-10-22,168911010000
2013-10-23,167884740000
2013-10-24,168080220000
2013-10-25,170572590000
2013-10-28,169872120000
2013-10-29,169969860000
2013-10-30,168177960000
2013-10-31,168976170000
2013-11-01,167102820000
2013-11-04,166760730000
2013-11-05,166565250000
2013-11-06,169090200000
2013-11-07,165392370000
2013-11-08,167461200000
2013-11-11,169986150000
2013-11-12,169171650000
2013-11-13,169025040000
2013-11-14,170572590000
2013-11-15,170425980000
2013-11-18,170768070000
2013-11-19,170214210000
2013-11-20,168666660000
2013-11-21,168682950000
2013-11-22,168373440000
2013-11-25,166809600000
2013-11-26,167330880000
2013-11-27,167330880000
2013-11-29,166337190000
2013-12-02,166288320000
2013-12-03,165734460000
2013-12-04,165343500000
2013-12-05,164072880000
2013-12-06,167184270000
2013-12-09,166956210000
2013-12-10,166272030000
2013-12-11,165196890000
2013-12-12,163600470000
2013-12-13,163242090000
2013-12-16,166320900000
2013-12-17,165327210000
2013-12-18,168422310000
2013-12-19,168080220000
2013-12-20,168389730000
2013-12-23,168862140000
2013-12-24,169008750000
2013-12-26,171142740000
2013-12-27,172739160000
2013-12-30,171631440000
2013-12-31,173423340000
2014-01-02,168890050000
2014-01-03,169199940000
2014-01-06,167242740000
2014-01-07,170406880000
2014-01-08,171140830000
2014-01-09,171140830000
2014-01-10,171581200000
2014-01-13,167226430000
2014-01-14,167878830000
2014-01-15,168172410000
2014-01-16,168726950000
2014-01-17,165497570000
2014-01-21,169216250000
2014-01-22,168906360000
2014-01-23,167047020000
2014-01-24,159919550000
2014-01-27,160213130000
2014-01-28,160783980000
2014-01-29,157750320000
2014-01-30,157538290000
2014-01-31,156396590000
2014-02-03,153819610000
2014-02-04,153738060000
2014-02-05,153591270000
2014-02-06,157016370000
2014-02-07,158875710000
2014-02-10,159104050000
2014-02-11,162398670000
2014-02-12,162578080000
2014-02-13,163507750000
