,CSX
2002-12-10,5988677760
2002-12-11,6065455680
2002-12-12,5873510880
2002-12-13,5950288800
2002-12-16,6219011520
2002-12-17,6257400480
2002-12-18,6180622560
2002-12-19,6103844640
2002-12-20,6142233600
2002-12-23,6065455680
2002-12-24,6142233600
2002-12-26,6103844640
2002-12-27,6043853160
2002-12-30,6043853160
2002-12-31,6043853160
2003-01-02,6274828440
2003-01-03,6236332560
2003-01-06,6351820200
2003-01-07,6274828440
2003-01-08,6274828440
2003-01-09,6467307840
2003-01-10,6505803720
2003-01-13,6467307840
2003-01-14,6544299600
2003-01-15,6505803720
2003-01-16,6236332560
2003-01-17,6197836680
2003-01-21,6159340800
2003-01-22,5735886120
2003-01-23,5851373760
2003-01-24,5658894360
2003-01-27,5543406720
2003-01-28,5543406720
2003-01-29,5735886120
2003-01-30,5928365520
2003-01-31,6005357280
2003-02-03,6005357280
2003-02-04,5928365520
2003-02-05,5889869640
2003-02-06,5889869640
2003-02-07,5812877880
2003-02-10,5812877880
2003-02-11,5697390240
2003-02-12,5735886120
2003-02-13,5620398480
2003-02-14,5658894360
2003-02-18,5812877880
2003-02-19,5774382000
2003-02-20,5735886120
2003-02-21,5774382000
2003-02-24,5620398480
2003-02-25,5697390240
2003-02-26,5697390240
2003-02-27,5543406720
2003-02-28,5735886120
2003-03-03,5774382000
2003-03-04,5620398480
2003-03-05,5735886120
2003-03-06,5735886120
2003-03-07,5774382000
2003-03-10,5658894360
2003-03-11,5620398480
2003-03-12,5658894360
2003-03-13,5889869640
2003-03-14,5774382000
2003-03-17,5966861400
2003-03-18,5966861400
2003-03-19,5966861400
2003-03-20,6043853160
2003-03-21,6428811960
2003-03-24,6197836680
2003-03-25,6120844920
2003-03-26,6236332560
2003-03-27,6120844920
2003-03-28,6235836840
2003-03-31,6081865560
2003-04-01,6120358380
2003-04-02,6389808120
2003-04-03,6235836840
2003-04-04,6312822480
2003-04-07,6389808120
2003-04-08,6351315300
2003-04-09,6274329660
2003-04-10,6235836840
2003-04-11,6274329660
2003-04-14,6466793760
2003-04-15,6582272220
2003-04-16,6582272220
2003-04-17,6659257860
2003-04-21,6543779400
2003-04-22,6620765040
2003-04-23,6582272220
2003-04-24,6620765040
2003-04-25,6659257860
2003-04-28,6736243500
2003-04-29,6736243500
2003-04-30,6851721960
2003-05-01,6774736320
2003-05-02,6851721960
2003-05-05,6813229140
2003-05-06,6890214780
2003-05-07,6813229140
2003-05-08,6774736320
2003-05-09,6890214780
2003-05-12,6967200420
2003-05-13,7005693240
2003-05-14,6967200420
2003-05-15,6928707600
2003-05-16,6967200420
2003-05-19,6774736320
2003-05-20,6774736320
2003-05-21,6736243500
2003-05-22,6620765040
2003-05-23,6659257860
2003-05-27,6736243500
2003-05-28,6774736320
2003-05-29,6813229140
2003-05-30,7005693240
2003-06-02,6967200420
2003-06-03,6928707600
2003-06-04,6967200420
2003-06-05,6928707600
2003-06-06,6774736320
2003-06-09,6736243500
2003-06-10,6697750680
2003-06-11,6620765040
2003-06-12,6697750680
2003-06-13,6543779400
2003-06-16,6620765040
2003-06-17,6543779400
2003-06-18,6543779400
2003-06-19,6505286580
2003-06-20,6466793760
2003-06-23,6351315300
2003-06-24,6351315300
2003-06-25,6274329660
2003-06-26,6312822480
2003-06-27,6431487300
2003-06-30,6431487300
2003-07-01,6547023000
2003-07-02,6624046800
2003-07-03,6508511100
2003-07-07,6701070600
2003-07-08,6739582500
2003-07-09,6624046800
2003-07-10,6547023000
2003-07-11,6624046800
2003-07-14,6739582500
2003-07-15,6701070600
2003-07-16,6701070600
2003-07-17,6624046800
2003-07-18,6739582500
2003-07-21,6624046800
2003-07-22,6778094400
2003-07-23,6662558700
2003-07-24,6816606300
2003-07-25,6970653900
2003-07-28,6855118200
2003-07-29,6739582500
2003-07-30,6624046800
2003-07-31,6701070600
2003-08-01,6624046800
2003-08-04,6701070600
2003-08-05,6547023000
2003-08-06,6547023000
2003-08-07,6585534900
2003-08-08,6585534900
2003-08-11,6547023000
2003-08-12,6624046800
2003-08-13,6547023000
2003-08-14,6624046800
2003-08-15,6624046800
2003-08-18,6585534900
2003-08-19,6662558700
2003-08-20,6624046800
2003-08-21,6739582500
2003-08-22,6662558700
2003-08-25,6624046800
2003-08-26,6778094400
2003-08-27,6739582500
2003-08-28,6855118200
2003-08-29,6893630100
2003-09-02,7009165800
2003-09-03,6970653900
2003-09-04,6855118200
2003-09-05,6778094400
2003-09-08,6855118200
2003-09-09,6701070600
2003-09-10,6739582500
2003-09-11,6855118200
2003-09-12,6816606300
2003-09-15,6624046800
2003-09-16,6816606300
2003-09-17,6662558700
2003-09-18,6778094400
2003-09-19,6701070600
2003-09-22,6624046800
2003-09-23,6662558700
2003-09-24,6508511100
2003-09-25,6431487300
2003-09-26,6284217240
2003-09-29,6361324200
2003-09-30,6245663760
2003-10-01,6399877680
2003-10-02,6476984640
2003-10-03,6399877680
2003-10-06,6361324200
2003-10-07,6284217240
2003-10-08,6284217240
2003-10-09,6361324200
2003-10-10,6361324200
2003-10-13,6476984640
2003-10-14,6476984640
2003-10-15,6361324200
2003-10-16,6476984640
2003-10-17,6554091600
2003-10-20,6438431160
2003-10-21,6361324200
2003-10-22,6284217240
2003-10-23,6322770720
2003-10-24,6361324200
2003-10-27,6284217240
2003-10-28,6554091600
2003-10-29,6515538120
2003-10-30,6746859000
2003-10-31,6823965960
2003-11-03,7016733360
2003-11-04,6939626400
2003-11-05,6939626400
2003-11-06,7248054240
2003-11-07,7248054240
2003-11-10,7132393800
2003-11-11,7170947280
2003-11-12,7248054240
2003-11-13,7209500760
2003-11-14,7286607720
2003-11-17,7248054240
2003-11-18,7093840320
2003-11-19,7093840320
2003-11-20,7093840320
2003-11-21,7093840320
2003-11-24,7170947280
2003-11-25,7170947280
2003-11-26,7248054240
2003-11-28,7248054240
2003-12-01,7363714680
2003-12-02,7286607720
2003-12-03,7248054240
2003-12-04,7325161200
2003-12-05,7325161200
2003-12-08,7209500760
2003-12-09,7209500760
2003-12-10,7248054240
2003-12-11,7286607720
2003-12-12,7363714680
2003-12-15,7325161200
2003-12-16,7440821640
2003-12-17,7556482080
2003-12-18,7556482080
2003-12-19,7556482080
2003-12-22,7710696000
2003-12-23,7556482080
2003-12-24,7633589040
2003-12-26,7650838800
2003-12-29,7728120000
2003-12-30,7689479400
2003-12-31,7728120000
2004-01-02,7689479400
2004-01-05,7766760599
2004-01-06,7612198200
2004-01-07,7573557600
2004-01-08,7573557600
2004-01-09,7496276400
2004-01-12,7457635800
2004-01-13,7457635800
2004-01-14,7380354600
2004-01-15,7303073400
2004-01-16,7264432800
2004-01-20,7341714000
2004-01-21,7534917000
2004-01-22,7573557600
2004-01-23,7573557600
2004-01-26,7689479400
2004-01-27,7380354600
2004-01-28,7109870400
2004-01-29,6916667400
2004-01-30,6762105000
2004-02-02,6723464400
2004-02-03,6762105000
2004-02-04,6646183200
2004-02-05,6684823800
2004-02-06,6723464400
2004-02-09,6878026800
2004-02-10,6916667400
2004-02-11,6993948600
2004-02-12,6878026800
2004-02-13,6800745600
2004-02-17,6723464400
2004-02-18,6723464400
2004-02-19,6723464400
2004-02-20,6723464400
2004-02-23,6646183200
2004-02-24,6646183200
2004-02-25,6646183200
2004-02-26,6607542600
2004-02-27,6762105000
2004-03-01,6607542600
2004-03-02,6607542600
2004-03-03,6568902000
2004-03-04,6530261400
2004-03-05,6684823800
2004-03-08,6684823800
2004-03-09,6607542600
2004-03-10,6452980200
2004-03-11,6491620800
2004-03-12,6568902000
2004-03-15,6530261400
2004-03-16,6452980200
2004-03-17,6491620800
2004-03-18,6491620800
2004-03-19,6452980200
2004-03-22,6259777200
2004-03-23,6298417800
2004-03-24,6259777200
2004-03-25,6414339600
2004-03-26,6416251920
2004-03-29,6493556160
2004-03-30,6416251920
2004-03-31,6493556160
2004-04-01,6493556160
2004-04-02,6532208280
2004-04-05,6493556160
2004-04-06,6532208280
2004-04-07,6454904040
2004-04-08,6454904040
2004-04-12,6416251920
2004-04-13,6377599800
2004-04-14,6338947680
2004-04-15,6300295560
2004-04-16,6377599800
2004-04-19,6377599800
2004-04-20,6416251920
2004-04-21,6454904040
2004-04-22,6648164640
2004-04-23,6725468880
2004-04-26,6570860400
2004-04-27,6532208280
2004-04-28,6802773120
2004-04-29,6648164640
2004-04-30,6609512520
2004-05-03,6686816760
2004-05-04,6648164640
2004-05-05,6609512520
2004-05-06,6609512520
2004-05-07,6493556160
2004-05-10,6493556160
2004-05-11,6648164640
2004-05-12,6648164640
2004-05-13,6725468880
2004-05-14,6648164640
2004-05-17,6648164640
2004-05-18,6609512520
2004-05-19,6609512520
2004-05-20,6609512520
2004-05-21,6532208280
2004-05-24,6648164640
2004-05-25,6725468880
2004-05-26,6686816760
2004-05-27,6802773120
2004-05-28,6802773120
2004-06-01,6764121000
2004-06-02,6880077360
2004-06-03,6802773120
2004-06-04,6918729480
2004-06-07,7034685840
2004-06-08,7073337960
2004-06-09,6957381600
2004-06-10,6880077360
2004-06-14,6725468880
2004-06-15,6802773120
2004-06-16,6841425240
2004-06-17,6764121000
2004-06-18,6802773120
2004-06-21,6841425240
2004-06-22,6841425240
2004-06-23,7034685840
2004-06-24,7034685840
2004-06-25,7037535960
2004-06-28,7037535960
2004-06-29,7076203740
2004-06-30,7037535960
2004-07-01,6960200400
2004-07-02,6844197060
2004-07-06,6805529280
2004-07-07,6766861500
2004-07-08,6612190380
2004-07-09,6728193720
2004-07-12,6650858160
2004-07-13,6612190380
2004-07-14,6650858160
2004-07-15,6728193720
2004-07-16,6612190380
2004-07-19,6650858160
2004-07-20,6766861500
2004-07-21,6689525940
2004-07-22,6496187040
2004-07-23,6496187040
2004-07-26,6457519260
2004-07-27,6496187040
2004-07-28,6766861500
2004-07-29,6844197060
2004-07-30,6728193720
2004-08-02,6728193720
2004-08-03,6766861500
2004-08-04,6766861500
2004-08-05,6650858160
2004-08-06,6496187040
2004-08-09,6496187040
2004-08-10,6612190380
