,FISV
2004-06-17,7411938000
2004-06-18,7466552280
2004-06-21,7497760440
2004-06-22,7536770640
2004-06-23,7528968600
2004-06-24,7638197159
2004-06-25,7614791040
2004-06-28,7583582880
2004-06-29,7622593080
2004-06-30,7583582880
2004-07-01,7399251920
2004-07-02,7367998480
2004-07-06,7321118319
2004-07-07,7297678240
2004-07-08,7172664480
2004-07-09,7282051520
2004-07-12,7250798079
2004-07-13,7063277439
2004-07-14,7000770560
2004-07-15,6992957199
2004-07-16,7032024000
2004-07-19,7071090800
2004-07-20,7203917920
2004-07-21,6992957199
2004-07-22,6742929680
2004-07-23,6633542640
2004-07-26,6633542640
2004-07-27,6719489600
2004-07-28,6688236160
2004-07-29,6680422800
2004-07-30,6696049520
2004-08-02,6805436560
2004-08-03,6672609439
2004-08-04,6649169360
2004-08-05,6477275439
2004-08-06,6336634960
2004-08-09,6399141840
2004-08-10,6555409040
2004-08-11,6516342240
2004-08-12,6586662480
2004-08-13,6555409040
2004-08-16,6617915920
2004-08-17,6571035760
2004-08-18,6688236160
2004-08-19,6649169360
2004-08-20,6735116319
