,XYL
2015-06-01,6642900000
2015-06-02,6659235000
2015-06-03,6708240000
2015-06-04,6610230000
2015-06-05,6602970000
2015-06-08,6559410000
2015-06-09,6552150000
2015-06-10,6628380000
2015-06-11,6699164999
2015-06-12,6632010000
2015-06-15,6555780000
2015-06-16,6615675000
2015-06-17,6602970000
2015-06-18,6697350000
2015-06-19,6613860000
2015-06-22,6715500000
2015-06-23,6769949999
2015-06-24,6760875000
2015-06-25,6708240000
2015-06-26,6704610000
2015-06-29,6581190000
2015-06-30,6702256000
2015-07-01,6655248000
2015-07-02,6640783999
2015-07-06,6554000000
2015-07-07,6577504000
2015-07-08,6431056000
2015-07-09,6425632000
2015-07-10,6398512000
2015-07-13,6519648000
2015-07-14,6597392000
2015-07-15,6499760000
2015-07-16,6512416000
2015-07-17,6474448000
2015-07-20,6467216000
2015-07-21,6362352000
2015-07-22,6324383999
2015-07-23,6268336000
2015-07-24,6261104000
2015-07-27,6219520000
2015-07-28,6288224000
2015-07-29,6369583999
2015-07-30,6367776000
2015-07-31,6243024000
2015-08-03,6120080000
2015-08-04,6100192000
2015-08-05,6127312000
2015-08-06,6089344000
2015-08-07,6056800000
2015-08-10,6163472000
2015-08-11,6071264000
2015-08-12,6085727999
2015-08-13,6054992000
2015-08-14,6092960000
2015-08-17,6105616000
2015-08-18,6040527999
2015-08-19,5993520000
2015-08-20,5904927999
2015-08-21,5798256000
2015-08-24,5588528000
2015-08-25,5507168000
2015-08-26,5673504000
2015-08-27,5852496000
2015-08-28,5912160000
2015-08-31,5866960000
2015-09-01,5628304000
2015-09-02,5673504000
2015-09-03,5848880000
2015-09-04,5727744000
2015-09-08,5865152000
2015-09-09,5805488000
2015-09-10,5809104000
2015-09-11,5874192000
2015-09-14,5825376000
2015-09-15,5971824000
2015-09-16,6033296000
2015-09-17,5980864000
2015-09-18,5830800000
2015-09-21,5899504000
2015-09-22,5857920000
2015-09-23,5745824000
2015-09-24,5879616000
2015-09-25,5870576000
2015-09-28,5798256000
2015-09-29,5783792000
2015-09-30,5867010000
2015-10-01,5838434000
2015-10-02,5984886000
2015-10-05,5993816000
2015-10-06,5963454000
2015-10-07,6079544000
2015-10-08,6249214000
2015-10-09,6231354000
2015-10-12,6186704000
2015-10-13,6131338000
2015-10-14,6049182000
2015-10-15,6204564000
2015-10-16,6204564000
2015-10-19,6186704000
2015-10-20,6229568000
2015-10-21,6200992000
2015-10-22,6361732000
2015-10-23,6463534000
2015-10-26,6413525999
2015-10-27,6402810000
2015-10-28,6497468000
2015-10-29,6490324000
2015-10-30,6502825999
2015-11-02,6545690000
2015-11-03,6533188000
2015-11-04,6545690000
2015-11-05,6570694000
2015-11-06,6593912000
2015-11-09,6509970000
2015-11-10,6595698000
2015-11-11,6602842000
2015-11-12,6393879999
2015-11-13,6409954000
2015-11-16,6536760000
2015-11-17,6608200000
2015-11-18,6690356000
2015-11-19,6727862000
2015-11-20,6697500000
2015-11-23,6706429999
2015-11-24,6693927999
2015-11-25,6726075999
2015-11-27,6711788000
2015-11-30,6665352000
2015-12-01,6722504000
2015-12-02,6599270000
2015-12-03,6561764000
2015-12-04,6724290000
2015-12-07,6592125999
2015-12-08,6479608000
2015-12-09,6476036000
2015-12-10,6554620000
2015-12-11,6468892000
2015-12-14,6543904000
2015-12-15,6554620000
2015-12-16,6690356000
2015-12-17,6511756000
2015-12-18,6401024000
2015-12-21,6454604000
2015-12-22,6518900000
2015-12-23,6631418000
2015-12-24,6620702000
2015-12-28,6597484000
2015-12-29,6626060000
2015-12-30,6584982000
2015-12-31,6518900000
2016-01-04,6443888000
2016-01-05,6442102000
2016-01-06,6361732000
2016-01-07,6197420000
2016-01-08,6138482000
2016-01-11,6086688000
2016-01-12,6120622000
2016-01-13,5961668000
2016-01-14,5995602000
2016-01-15,5890227999
2016-01-19,5886656000
2016-01-20,5858079999
2016-01-21,5934877999
2016-01-22,6077758000
2016-01-25,6025964000
2016-01-26,6170629999
2016-01-27,6231354000
2016-01-28,6242070000
