,MET
2003-08-01,18651173325
2003-08-04,18658826658
2003-08-05,19087413325
2003-08-06,19477733324
2003-08-07,19776213324
2003-08-08,19967546657
2003-08-11,19378239991
2003-08-12,19745599991
2003-08-13,19607839991
2003-08-14,19883359991
2003-08-15,19845093324
2003-08-18,19929279991
2003-08-19,19822133324
2003-08-20,19776213324
2003-08-21,19760906658
2003-08-22,19431813324
2003-08-25,19538959991
2003-08-26,19454773324
2003-08-27,19148639991
2003-08-28,19225173324
2003-08-29,19385893324
2003-09-02,19929279991
2003-09-03,19913973324
2003-09-04,19783866658
2003-09-05,19745599991
2003-09-08,19868053324
2003-09-09,19822133324
2003-09-10,19707333324
2003-09-11,19561919991
2003-09-12,19393546658
2003-09-15,19255786658
2003-09-16,19385893324
2003-09-17,19309359991
2003-09-18,19768559991
2003-09-19,19538959991
2003-09-22,19347626658
2003-09-23,19431813324
2003-09-24,19255786658
2003-09-25,19140986658
2003-09-26,19148639991
2003-09-29,19431813324
2003-09-30,18475979300
2003-10-01,19089381812
2003-10-02,19074601029
2003-10-03,19340655131
2003-10-06,19488462965
2003-10-07,19614099624
2003-10-08,19384997481
2003-10-09,19554976491
2003-10-10,19547586099
2003-10-13,19902324901
2003-10-14,19835811376
2003-10-15,20057523128
2003-10-16,20190550179
2003-10-17,20404871538
2003-10-20,20138817437
2003-10-21,20419652322
2003-10-22,19887544118
2003-10-23,20057523128
2003-10-24,20035351952
2003-10-27,20020571169
2003-10-28,20367919580
2003-10-29,20271844487
2003-10-30,20286625271
2003-10-31,20678316032
2003-11-03,20752219949
2003-11-04,20427042714
2003-11-05,20463994672
2003-11-06,20560069765
2003-11-07,20353138796
2003-11-10,20271844487
2003-11-11,20153598220
2003-11-12,20168379003
2003-11-13,20035351952
2003-11-14,19902324901
2003-11-17,19968838427
2003-11-18,20183159787
2003-11-19,20463994672
2003-11-20,20449213889
2003-11-21,20597021723
2003-11-24,21010883659
2003-11-25,21276937761
2003-11-26,21661238131
2003-11-28,21528211080
2003-12-01,21979024975
2003-12-02,21919901841
2003-12-03,21639066956
2003-12-04,21513430296
2003-12-05,21446916771
2003-12-08,21875559491
2003-12-09,21735142048
2003-12-10,21971634583
2003-12-11,22341154169
2003-12-12,22126832809
2003-12-15,21868169099
2003-12-16,21794265182
2003-12-17,21801655574
2003-12-18,21816436357
2003-12-19,21838607532
2003-12-22,21809045965
2003-12-23,21934682624
2003-12-24,21912511449
2003-12-26,21801655574
2003-12-29,22200736726
2003-12-30,22222907902
2003-12-31,22708860750
2004-01-02,22640734167
2004-01-05,22867822775
2004-01-06,22678582269
2004-01-07,22466632902
2004-01-08,22315240497
2004-01-09,22209265813
2004-01-12,22012455687
2004-01-13,22163848092
2004-01-14,22451493661
2004-01-15,22307670876
2004-01-16,22421215180
2004-01-20,22466632902
2004-01-21,22905670876
2004-01-22,23011645560
2004-01-23,22867822775
2004-01-26,22837544294
2004-01-27,22655873408
2004-01-28,22587746826
2004-01-29,22587746826
2004-01-30,22633164547
2004-02-02,23049493661
2004-02-03,23420405053
2004-02-04,23170607585
2004-02-05,23253873408
2004-02-06,23586936699
2004-02-09,23526379737
2004-02-10,23950278471
2004-02-11,23851873407
2004-02-12,23238734167
2004-02-13,23374987332
2004-02-17,23783746825
2004-02-18,23851873407
2004-02-19,23791316445
2004-02-20,23526379737
2004-02-23,23518810116
2004-02-24,23458253154
2004-02-25,23443113914
2004-02-26,23480962015
2004-02-27,23708050623
2004-03-01,23791316445
2004-03-02,23617215180
2004-03-03,23882151888
2004-03-04,24063822774
2004-03-05,23889721509
2004-03-08,23700481002
2004-03-09,23647493661
2004-03-10,23117620243
2004-03-11,22580177205
2004-03-12,23140329104
2004-03-15,22943518977
2004-03-16,23041924041
2004-03-17,23579367078
2004-03-18,24048683534
2004-03-19,23647493661
2004-03-22,23458253154
2004-03-23,23465822775
2004-03-24,23284151889
2004-03-25,23670202521
2004-03-26,23798886066
2004-03-29,24147088597
2004-03-30,24200075939
2004-03-31,24077142852
2004-04-01,24213428566
2004-04-02,24470857138
2004-04-05,24735857138
2004-04-06,24697999995
2004-04-07,24243714281
2004-04-08,24258857138
2004-04-12,24478428566
2004-04-13,23955999995
2004-04-14,23865142852
2004-04-15,23675857138
2004-04-16,23751571424
2004-04-19,23584999995
2004-04-20,23123142852
2004-04-21,23062571424
2004-04-22,23463857138
2004-04-23,23312428567
2004-04-26,23176142852
2004-04-27,23524428566
2004-04-28,23062571424
2004-04-29,23123142852
2004-04-30,23274571424
2004-05-03,23531999995
2004-05-04,23335142852
2004-05-05,22986857138
2004-05-06,23115571424
2004-05-07,22562857138
2004-05-10,22403857138
2004-05-11,22653714281
2004-05-12,22964142852
2004-05-13,23039857138
2004-05-14,23032285709
2004-05-17,22668857138
2004-05-18,22812714281
2004-05-19,22767285709
2004-05-20,22714285710
2004-05-21,22933857138
2004-05-24,23176142852
2004-05-25,23494142852
2004-05-26,23955999995
2004-05-27,23910571424
2004-05-28,23986285709
2004-06-01,24099857138
2004-06-02,24167999995
2004-06-03,24008999995
2004-06-04,24107428566
2004-06-07,24561714281
2004-06-08,24387571423
2004-06-09,24130142852
2004-06-10,24326999995
2004-06-14,24236142852
2004-06-15,24190714281
2004-06-16,23940857138
2004-06-17,24137714281
2004-06-18,23789428566
2004-06-21,23615285709
2004-06-22,23940857138
2004-06-23,23902999995
2004-06-24,23948428566
2004-06-25,23963571424
2004-06-28,23955999995
2004-06-29,24016571424
2004-06-30,23876612904
