,CTLT
2018-03-20,5394171473
2018-03-21,5532620099
2018-03-22,5411477551
2018-03-23,5245072952
2018-03-26,5392840236
2018-03-27,5283678819
2018-03-28,5395502709
2018-03-29,5466058259
2018-04-02,5229432000
2018-04-03,5262732000
2018-04-04,5293368000
2018-04-05,5293368000
2018-04-06,5194800000
2018-04-09,5261400000
2018-04-10,5362632000
2018-04-11,5328000000
2018-04-12,5395932000
2018-04-13,5358636000
2018-04-16,5470524000
2018-04-17,5579748000
2018-04-18,5637024000
2018-04-19,5579748000
2018-04-20,5578416000
2018-04-23,5618376000
2018-04-24,5494500000
2018-04-25,5514480000
2018-04-26,5503824000
2018-04-27,5575752000
2018-04-30,5475852000
2018-05-01,5514480000
2018-05-02,5431896000
2018-05-03,5341320000
2018-05-04,5415912000
2018-05-07,5321340000
2018-05-08,5232096000
2018-05-09,5201460000
2018-05-10,5218776000
2018-05-11,5354640000
2018-05-14,5284044000
2018-05-15,5228100000
2018-05-16,5245416000
2018-05-17,5260068000
2018-05-18,5357304000
2018-05-21,5378616000
2018-05-22,5338656000
2018-05-23,5206788000
2018-05-24,5169492000
2018-05-25,5176152000
2018-05-29,5157504000
2018-05-30,5328000000
2018-05-31,5229432000
2018-06-01,5280048000
2018-06-04,5233428000
2018-06-05,5237424000
2018-06-06,5274720000
2018-06-07,5245416000
2018-06-08,5346648000
2018-06-11,5284044000
2018-06-12,5355972000
2018-06-13,5362632000
2018-06-14,5533128000
2018-06-15,5523804000
2018-06-18,5477184000
2018-06-19,5573088000
2018-06-20,5663664000
2018-06-21,5570424000
2018-06-22,5533128000
2018-06-25,5391936000
2018-06-26,5553108000
2018-06-27,5473188000
2018-06-28,5495832000
2018-06-29,5579748000
2018-07-02,5944684353
2018-07-03,5971692723
2018-07-05,6021444983
2018-07-06,6145114887
2018-07-09,6237511942
2018-07-10,6228982983
2018-07-11,6142271901
2018-07-12,6163594298
2018-07-13,6167858777
2018-07-16,6092519640
2018-07-17,6153643846
2018-07-18,6138007421
2018-07-19,6160751312
2018-07-20,6251726873
2018-07-23,6237511942
2018-07-24,5720088435
2018-07-25,6020023490
2018-07-26,6061246791
2018-07-27,6059825298
2018-07-30,5877874175
2018-07-31,5927626435
2018-08-01,5842336846
2018-08-02,6044188873
2018-08-03,5920518969
2018-08-06,5857973271
2018-08-07,5835229380
2018-08-08,5730038887
2018-08-09,5717245449
2018-08-10,5703030517
2018-08-13,5722931421
2018-08-14,5742832326
2018-08-15,5744253819
2018-08-16,5796849065
2018-08-17,5818171462
2018-08-20,5869345216
2018-08-21,5909147024
2018-08-22,5963163764
2018-08-23,5946105846
2018-08-24,5990172134
2018-08-27,6206239092
2018-08-28,6186338188
2018-08-29,6029973942
2018-08-30,5906304038
2018-08-31,5941841367
2018-09-04,5903461051
2018-09-05,5926204942
2018-09-06,5771262189
2018-09-07,5842336846
2018-09-10,5848022819
2018-09-11,5865080736
2018-09-12,5956056298
2018-09-13,6078304709
2018-09-14,6112420545
2018-09-17,6051296339
2018-09-18,6095362627
2018-09-19,6075461723
2018-09-20,6110999051
2018-09-21,6062668284
2018-09-24,6116685024
2018-09-25,6166437284
2018-09-26,6274470764
2018-09-27,6439363969
2018-09-28,6474901298
2018-10-01,6572588401
2018-10-02,6607402376
2018-10-03,6721998378
2018-10-04,6465245311
2018-10-05,6447838323
2018-10-08,6407222019
2018-10-09,6382562120
2018-10-10,6212843990
2018-10-11,6018465962
2018-10-12,6015564798
2018-10-15,6030070621
2018-10-16,6220096902
2018-10-17,6292626017
2018-10-18,6112753812
2018-10-19,6001058975
2018-10-22,5995256645
2018-10-23,5947387430
2018-10-24,5673227375
2018-10-25,5661622716
2018-10-26,5539773803
2018-10-29,5516564486
2018-10-30,5606500589
2018-10-31,5851648998
2018-11-01,6067785760
2018-11-02,6099698571
2018-11-05,6011213051
2018-11-06,5238052685
2018-11-07,5470145853
2018-11-08,5461442359
2018-11-09,5441134207
2018-11-12,5503509246
2018-11-13,5544125550
2018-11-14,5497706917
2018-11-15,5664523881
2018-11-16,5713843679
2018-11-19,5471596435
2018-11-20,5454189448
2018-11-21,5516564486
2018-11-23,5612302918
2018-11-26,5716744844
2018-11-27,5692084945
2018-11-28,5771866971
2018-11-29,5747207072
2018-11-30,5751558819
2018-12-03,5844396086
2018-12-04,5522366816
2018-12-06,5412122561
2018-12-07,5268514913
2018-12-10,5178578811
2018-12-11,5261262002
2018-12-12,5296075977
2018-12-13,5229349191
2018-12-14,5024817087
2018-12-17,4966793795
2018-12-18,4820284982
2018-12-19,4747755867
2018-12-20,4514212117
2018-12-21,4415572521
2018-12-24,4344493988
2018-12-26,4502607459
2018-12-27,4464892319
2018-12-28,4459089990
2018-12-31,4525630765
2019-01-02,4486441532
2019-01-03,4331136050
2019-01-04,4511116234
2019-01-07,4644649920
2019-01-08,4759314714
2019-01-09,4844950447
2019-01-10,4917523102
2019-01-11,4898654212
2019-01-14,4875430962
2019-01-15,4945100711
2019-01-16,5026382085
2019-01-17,5110566365
2019-01-18,5168624489
2019-01-22,5136692520
2019-01-23,5125080896
2019-01-24,5167173036
2019-01-25,5225231160
2019-01-28,5296352361
2019-01-29,5264420393
2019-01-30,5300706721
2019-01-31,5360216298
2019-02-01,5411017156
2019-02-04,5419725875
2019-02-05,5694050511
2019-02-06,5730336838
2019-02-07,5736142651
2019-02-08,5763720260
2019-02-11,5807263853
2019-02-12,5929185913
2019-02-13,5969826600
2019-02-14,6035141989
2019-02-15,6100457379
2019-02-19,6130937894
2019-02-20,6210767814
2019-02-21,6174481487
2019-02-22,6325432609
2019-02-25,6302209360
2019-02-26,6220927986
2019-02-27,6252859954
2019-02-28,6273180298
2019-03-01,6374782015
2019-03-04,6344301500
2019-03-05,6345752953
2019-03-06,6188996018
2019-03-07,6178835846
2019-03-08,6128034988
2019-03-11,6069976864
2019-03-12,6067073958
2019-03-13,6103360285
2019-03-14,6080137035
2019-03-15,6125132082
