,ALK
2003-11-14,736116660
2003-11-17,719010100
2003-11-18,708318500
2003-11-19,705645600
2003-11-20,712595140
2003-11-21,733443760
2003-11-24,761509210
2003-11-25,772200810
2003-11-26,770329780
2003-11-28,768726040
2003-12-01,776477450
2003-12-02,745739100
2003-12-03,717673650
2003-12-04,705645600
2003-12-05,680787630
2003-12-08,685064270
2003-12-09,681589500
2003-12-10,666888550
2003-12-11,707783920
2003-12-12,712327850
2003-12-15,693082970
2003-12-16,713664300
2003-12-17,708051210
2003-12-18,727028800
2003-12-19,727830670
2003-12-22,728097960
2003-12-23,736116660
2003-12-24,742531620
2003-12-26,739056850
2003-12-29,746808260
2003-12-30,736918530
2003-12-31,730771620
2004-01-02,744428400
2004-01-05,742821720
2004-01-06,776026440
2004-01-07,764511900
2004-01-08,757817400
2004-01-09,740947260
2004-01-12,738537240
2004-01-13,740411700
2004-01-14,755675160
2004-01-15,742553940
2004-01-16,754336260
2004-01-20,744963960
2004-01-21,767993040
2004-01-22,774151980
2004-01-23,771741960
2004-01-26,769599720
2004-01-27,768796380
2004-01-28,712562580
2004-01-29,766386360
2004-01-30,744428400
2004-02-02,733984980
2004-02-03,728361600
2004-02-04,713098140
2004-02-05,716043720
2004-02-06,738537240
2004-02-09,725683800
2004-02-10,719524860
2004-02-11,729700500
2004-02-12,731039400
2004-02-13,721667100
2004-02-17,738269460
2004-02-18,724077120
2004-02-19,709884780
2004-02-20,712294800
2004-02-23,699709140
2004-02-24,698905800
2004-02-25,706939200
2004-02-26,696228000
2004-02-27,689265720
2004-03-01,698905800
2004-03-02,686052360
2004-03-03,684981240
2004-03-04,690872400
2004-03-05,689265720
2004-03-08,678018960
2004-03-09,651240960
2004-03-10,652847640
2004-03-11,620446260
2004-03-12,645885360
2004-03-15,631960800
2004-03-16,617768460
2004-03-17,653650980
2004-03-18,630621900
2004-03-19,629283000
2004-03-22,613216200
2004-03-23,613216200
2004-03-24,600630540
2004-03-25,621249600
2004-03-26,634906380
2004-03-29,648830940
2004-03-30,644010900
2004-03-31,661331880
2004-04-01,661868240
2004-04-02,679299940
2004-04-05,677154500
2004-04-06,724354180
2004-04-07,709872460
2004-04-08,705045220
2004-04-12,700486160
2004-04-13,679299940
2004-04-14,684127180
2004-04-15,678227220
2004-04-16,688418060
2004-04-19,681981740
2004-04-20,678227220
2004-04-21,698877080
2004-04-22,716308780
2004-04-23,673936340
2004-04-26,655431920
2004-04-27,639341120
2004-04-28,619495800
2004-04-29,609304960
2004-04-30,593482340
2004-05-03,586777840
2004-05-04,585436940
2004-05-05,592677800
2004-05-06,562909820
2004-05-07,548696280
2004-05-10,536360000
2004-05-11,538505440
2004-05-12,543332680
2004-05-13,542259960
2004-05-14,532873660
2004-05-17,524291900
2004-05-18,532069120
2004-05-19,543600860
2004-05-20,539578160
2004-05-21,544405400
2004-05-24,549500820
2004-05-25,559155300
2004-05-26,559155300
2004-05-27,559691660
2004-05-28,552450800
2004-06-01,547087200
2004-06-02,561837100
2004-06-03,544673580
2004-06-04,564518900
2004-06-07,584632400
2004-06-08,603136820
2004-06-09,603405000
2004-06-10,584900580
2004-06-14,585973300
2004-06-15,591068720
2004-06-16,593482340
2004-06-17,592409620
2004-06-18,604209540
2004-06-21,610645860
2004-06-22,601259560
2004-06-23,615204920
2004-06-24,610109500
2004-06-25,616814000
2004-06-28,631832080
2004-06-29,632904800
2004-06-30,641195940
2004-07-01,629108040
2004-07-02,620243580
2004-07-06,619437720
2004-07-07,611647740
2004-07-08,584248500
2004-07-09,582905400
2004-07-12,594993300
2004-07-13,567056820
2004-07-14,560878560
2004-07-15,565445100
2004-07-16,533210700
2004-07-19,541000680
2004-07-20,572966460
2004-07-21,546373080
2004-07-22,552014100
2004-07-23,544492740
2004-07-26,545298600
2004-07-27,547178940
2004-07-28,539657580
2004-07-29,567594060
2004-07-30,559535460
2004-08-02,546104460
2004-08-03,538583100
2004-08-04,556043400
2004-08-05,534822420
2004-08-06,518167980
2004-08-09,507154560
2004-08-10,531598980
2004-08-11,538045860
2004-08-12,531867600
2004-08-13,525957959
2004-08-16,546641700
2004-08-17,552551340
2004-08-18,573772320
2004-08-19,553625820
2004-08-20,575652660
2004-08-23,573772320
2004-08-24,589889520
2004-08-25,603589140
2004-08-26,625078740
2004-08-27,613259460
2004-08-30,633943200
2004-08-31,632331480
2004-09-01,615945660
2004-09-02,625884600
2004-09-03,628033560
2004-09-07,630988380
2004-09-08,632062860
2004-09-09,636898020
2004-09-10,661342440
2004-09-13,658119000
