,AIG
2003-12-16,148237560000
2003-12-17,147706425000
2003-12-18,149669145000
2003-12-19,149138010000
2003-12-22,149299830000
2003-12-23,149900130000
2003-12-24,149738310000
2003-12-26,149461650000
2003-12-29,151978995000
2003-12-30,152486640000
2003-12-31,153088245000
2004-01-02,154265355000
2004-01-05,156644370000
2004-01-06,156275055000
2004-01-07,158192100000
2004-01-08,159578010000
2004-01-09,159670665000
2004-01-12,162835290000
2004-01-13,160501950000
2004-01-14,160778610000
2004-01-15,160640280000
2004-01-16,161240580000
2004-01-20,159601500000
2004-01-21,161749530000
2004-01-22,160778610000
2004-01-23,159001200000
2004-01-26,160825590000
2004-01-27,158099445000
2004-01-28,157291650000
2004-01-29,159994305000
2004-01-30,160409295000
2004-02-02,163712250000
2004-02-03,163388610000
2004-02-04,162026190000
2004-02-05,164752335000
2004-02-06,166715055000
2004-02-09,165905955000
2004-02-10,169763535000
2004-02-11,171727560000
2004-02-12,173020815000
2004-02-13,172581030000
2004-02-17,173504970000
2004-02-18,171749745000
2004-02-19,169670880000
2004-02-20,170087175000
2004-02-23,170987625000
2004-02-24,170456490000
2004-02-25,171842400000
2004-02-26,171889380000
2004-02-27,170918460000
2004-03-01,171125955000
2004-03-02,170734455000
2004-03-03,172535355000
2004-03-04,173182635000
2004-03-05,171565740000
2004-03-08,170018010000
2004-03-09,168608610000
2004-03-10,166091265000
2004-03-11,163643085000
2004-03-12,165398310000
2004-03-15,161818695000
2004-03-16,164405205000
2004-03-17,168632100000
2004-03-18,169556040000
2004-03-19,166529745000
2004-03-22,163273770000
2004-03-23,161680365000
2004-03-24,160109145000
2004-03-25,162626490000
2004-03-26,162118845000
2004-03-29,165283470000
2004-03-30,165652785000
2004-03-31,164671728000
2004-04-01,169218776000
2004-04-02,171479912000
2004-04-05,175380176000
2004-04-06,174987672000
2004-04-07,175980016000
2004-04-08,176026960000
2004-04-12,177181000000
2004-04-13,173904048000
2004-04-14,173211624000
2004-04-15,172357504000
2004-04-16,173511544000
2004-04-19,173049928000
2004-04-20,168479408000
2004-04-21,168941024000
2004-04-22,170095064000
2004-04-23,170694904000
2004-04-26,168548520000
2004-04-27,167694400000
2004-04-28,165040760000
2004-04-29,165709712000
2004-04-30,165364152000
2004-05-03,165849240000
2004-05-04,165409792000
2004-05-05,165017288000
2004-05-06,164324864000
2004-05-07,162387120000
2004-05-10,160978800000
2004-05-11,162870904000
2004-05-12,164440920000
2004-05-13,163886720000
2004-05-14,163401632000
2004-05-17,160148152000
2004-05-18,160240736000
2004-05-19,160517184000
2004-05-20,161578640000
2004-05-21,161902032000
2004-05-24,161094856000
2004-05-25,166171328000
2004-05-26,166425608000
2004-05-27,168017792000
2004-05-28,169171832000
2004-06-01,168479408000
2004-06-02,170464096000
2004-06-03,169518696000
2004-06-04,171018296000
2004-06-07,172633952000
2004-06-08,171065240000
2004-06-09,169357000000
2004-06-10,169079248000
2004-06-14,167925208000
2004-06-15,166518192000
2004-06-16,166910696000
2004-06-17,166772472000
2004-06-18,166563832000
2004-06-21,165178984000
2004-06-22,166863752000
2004-06-23,166356496000
2004-06-24,164786480000
2004-06-25,165594960000
2004-06-28,165087704000
2004-06-29,164671728000
2004-06-30,164383874000
2004-07-01,164890741000
2004-07-02,165121372000
2004-07-06,163968217000
2004-07-07,163230719000
2004-07-08,161708815000
2004-07-09,161362217000
2004-07-12,162746003000
2004-07-13,162146623000
2004-07-14,161685361000
2004-07-15,160348483000
2004-07-16,159148420000
2004-07-19,158665007000
2004-07-20,158618099000
2004-07-21,155320206000
2004-07-22,155043970000
2004-07-23,157050590000
2004-07-26,159126269000
2004-07-27,163368837000
2004-07-28,163922612000
2004-07-29,162239136000
2004-07-30,162931029000
2004-08-02,162792911000
2004-08-03,164198848000
2004-08-04,163461350000
2004-08-05,159818162000
2004-08-06,157326826000
2004-08-09,157626516000
2004-08-10,158042173000
2004-08-11,157072741000
2004-08-12,154283018000
2004-08-13,153314889000
2004-08-16,156934623000
2004-08-17,157557457000
2004-08-18,161362217000
2004-08-19,160971317000
2004-08-20,162585734000
