,EBAY
2003-08-11,13780109760
2003-08-12,13985783040
2003-08-13,13702982280
2003-08-14,13895800980
2003-08-15,13934364720
2003-08-18,14641366620
2003-08-19,14911312800
2003-08-20,14924167380
2003-08-21,15232677300
2003-08-22,15014149440
2003-08-25,15078422340
2003-08-26,15168404400
2003-08-27,15078422340
2003-08-28,14808476160
2003-08-29,14988440280
2003-09-02,14808476160
2003-09-03,14204310900
2003-09-04,14499966240
2003-09-05,14294292959
2003-09-08,14152892580
2003-09-09,13767255180
2003-09-10,13908655560
2003-09-11,13985783040
2003-09-12,14230020060
2003-09-15,14577093720
2003-09-16,14847039900
2003-09-17,14872749060
2003-09-18,15039858600
2003-09-19,14859894480
2003-09-22,14641366620
2003-09-23,14975585700
2003-09-24,14821330740
2003-09-25,15001294860
2003-09-26,14667075780
2003-09-29,15052713180
2003-09-30,14602485999
2003-10-01,14887034000
2003-10-02,15003440000
2003-10-03,15611338000
2003-10-06,15688942000
2003-10-07,15624272000
2003-10-08,15908820000
2003-10-09,16400312000
2003-10-10,16452048000
2003-10-13,16051094000
2003-10-14,15934688000
2003-10-15,15676007999
2003-10-16,15650140000
2003-10-17,14925835999
2003-10-20,15404394000
2003-10-21,15365592000
2003-10-22,15132780000
2003-10-23,14770628000
2003-10-24,14951704000
2003-10-27,15210384000
2003-10-28,15663074000
2003-10-29,15572535999
2003-10-30,15494932000
2003-10-31,15223318000
2003-11-03,15650140000
2003-11-04,15714810000
2003-11-05,15598404000
2003-11-06,15223318000
2003-11-07,15275054000
2003-11-10,14899968000
2003-11-11,14731826000
2003-11-12,15106912000
2003-11-13,15300922000
2003-11-14,14796496000
2003-11-17,14499014000
2003-11-18,13916984000
2003-11-19,14434344000
2003-11-20,14162730000
2003-11-21,14110994000
2003-11-24,14848232000
2003-11-25,15042242000
2003-11-26,15132780000
2003-11-28,15210384000
2003-12-01,15481998000
2003-12-02,15365592000
2003-12-03,15029307999
2003-12-04,15223318000
2003-12-05,15210384000
2003-12-08,15171582000
2003-12-09,14925835999
2003-12-10,15081044000
2003-12-11,15624272000
2003-12-12,15701876000
2003-12-15,15585470000
2003-12-16,15676007999
2003-12-17,15598404000
2003-12-18,16335642000
2003-12-19,16697794000
2003-12-22,17059946000
2003-12-23,17344494000
2003-12-24,17422098000
2003-12-26,17253956000
2003-12-29,17460900000
2003-12-30,17499702000
2003-12-31,17748027200
2004-01-02,17304326520
2004-01-05,17748027200
2004-01-06,17891577420
2004-01-07,17904627440
2004-01-08,17695827120
2004-01-09,17408726680
2004-01-12,17604476980
2004-01-13,18009027600
2004-01-14,18113427760
2004-01-15,18296128040
2004-01-16,18374428160
2004-01-20,18048177660
2004-01-21,17682777100
2004-01-22,19039979180
2004-01-23,19039979180
2004-01-26,18831178860
2004-01-27,18531028400
2004-01-28,18296128040
2004-01-29,18426628240
2004-01-30,18374428160
2004-02-02,18022077620
2004-02-03,17865477380
2004-02-04,17982927560
2004-02-05,18465778300
2004-02-06,18609328520
2004-02-09,18544078420
2004-02-10,18504928360
2004-02-11,18987779100
2004-02-12,19000829120
2004-02-13,18844228880
2004-02-17,19000829120
2004-02-18,18818128840
2004-02-19,18792028800
2004-02-20,19026929160
2004-02-23,18596278500
2004-02-24,18452728280
2004-02-25,18452728280
2004-02-26,18818128840
2004-02-27,18870328920
2004-03-01,19013879140
2004-03-02,18661528600
2004-03-03,18557128440
2004-03-04,18635428560
2004-03-05,19039979180
2004-03-08,19170479380
2004-03-09,19248779500
2004-03-10,18805078820
2004-03-11,18517978380
2004-03-12,18987779100
2004-03-15,18622378540
2004-03-16,18648478580
2004-03-17,19118279300
2004-03-18,19039979180
2004-03-19,18752878740
2004-03-22,18139527800
2004-03-23,17995977580
2004-03-24,18191727880
2004-03-25,18570178460
2004-03-26,18348328120
2004-03-29,18792028800
2004-03-30,19183529400
2004-03-31,19189292040
2004-04-01,20005297600
2004-04-02,20426461760
2004-04-05,20531752800
2004-04-06,20518591420
2004-04-07,20465945900
2004-04-08,21031885240
2004-04-12,21110853520
2004-04-13,20689689360
2004-04-14,20794980400
2004-04-15,20873948680
2004-04-16,20729173500
2004-04-19,21045046620
2004-04-20,20492268660
2004-04-21,20716012120
2004-04-22,22874478440
2004-04-23,22756026020
2004-04-26,22598089460
2004-04-27,23256158460
2004-04-28,23071899140
2004-04-29,22716541880
2004-04-30,22163763920
2004-05-03,22663896360
2004-05-04,22913962580
2004-05-05,22953446720
2004-05-06,22426991520
2004-05-07,22111118400
2004-05-10,21479372160
2004-05-11,22124279780
2004-05-12,22374346000
2004-05-13,22005827360
2004-05-14,21861052180
2004-05-17,21703115619
2004-05-18,21900536320
2004-05-19,21966343220
2004-05-20,22176925300
2004-05-21,22255893580
2004-05-24,22742864640
2004-05-25,23637838480
2004-05-26,23940550220
2004-05-27,24388037140
2004-05-28,24598619220
2004-06-01,24848685440
2004-06-02,24624941980
2004-06-03,24256423340
2004-06-04,24401198520
2004-06-07,24506489560
2004-06-08,24651264740
2004-06-09,23901066080
2004-06-10,24203777820
2004-06-14,23716806760
2004-06-15,24216939200
2004-06-16,24335391619
2004-06-17,24059002640
2004-06-18,23953711600
2004-06-21,23769452280
2004-06-22,24151132300
2004-06-23,24467005420
2004-06-24,24572296460
2004-06-25,25125074420
2004-06-28,25704175140
2004-06-29,25427786160
2004-06-30,51205711500
2004-07-01,50438287400
2004-07-02,50835230900
2004-07-06,50041343900
2004-07-07,48374181200
2004-07-08,46574704000
2004-07-09,46654092700
2004-07-12,46865795900
2004-07-13,46442389500
2004-07-14,46654092700
2004-07-15,46468852400
2004-07-16,44748763900
2004-07-19,43716710800
2004-07-20,44510597800
2004-07-21,42658194800
2004-07-22,43108064100
2004-07-23,41784919100
2004-07-26,41361512700
2004-07-27,43690247900
2004-07-28,43875488199
2004-07-29,44245968800
2004-07-30,43610859200
2004-08-02,44087191400
2004-08-03,42922823800
2004-08-04,42208325500
2004-08-05,41096883700
2004-08-06,41070420800
2004-08-09,40647014400
2004-08-10,42181862600
2004-08-11,42525880300
2004-08-12,43160989900
2004-08-13,43081601200
2004-08-16,43849025300
2004-08-17,44298894599
2004-08-18,44510597800
2004-08-19,44378283300
2004-08-20,45304484800
