,CMA
2002-09-03,9879720000
2002-09-04,9938880000
2002-09-05,9951060000
2002-09-06,10071120000
2002-09-09,10132020000
2002-09-10,9865800000
2002-09-11,9709200000
2002-09-12,9361200000
2002-09-13,9309000000
2002-09-16,9399480000
2002-09-17,9484740000
2002-09-18,9373380000
2002-09-19,8882700000
2002-09-20,8853120000
2002-09-23,8677380000
2002-09-24,8252820000
2002-09-25,8501640000
2002-09-26,8837460000
2002-09-27,8491199999
2002-09-30,8372920800
2002-10-01,8714991600
2002-10-02,6945600000
2002-10-03,6523654800
2002-10-04,6426416400
2002-10-07,6171165600
2002-10-08,6504554400
2002-10-09,6169429200
2002-10-10,6732022800
2002-10-11,6905662800
2002-10-14,7108821600
2002-10-15,7329344400
2002-10-16,6909135600
2002-10-17,7173068400
2002-10-18,7266834000
2002-10-21,7310244000
2002-10-22,7308507600
2002-10-23,7377963600
2002-10-24,7270306800
2002-10-25,7414428000
2002-10-28,7450892399
2002-10-29,7383172800
2002-10-30,7466520000
2002-10-31,7581122399
2002-11-01,7779071999
2002-11-04,7786017600
2002-11-05,7667942399
2002-11-06,7567231200
2002-11-07,7350181200
2002-11-08,7331080800
2002-11-11,7400536800
2002-11-12,7598486400
2002-11-13,7654051200
2002-11-14,7864155600
2002-11-15,7865891999
2002-11-18,7751289600
2002-11-19,7813800000
2002-11-20,7999594800
2002-11-21,8230536000
2002-11-22,8253109200
2002-11-25,8372920800
2002-11-26,8214908400
2002-11-27,8331247199
2002-11-29,8218381200
2002-12-02,8201017199
2002-12-03,7952711999
2002-12-04,7865891999
2002-12-05,7831164000
2002-12-06,7822481999
2002-12-09,7596750000
2002-12-10,7641896400
2002-12-11,7565494800
2002-12-12,7475201999
2002-12-13,7357126800
2002-12-16,7563758400
2002-12-17,7516875600
2002-12-18,7430055600
2002-12-19,7532503200
2002-12-20,7638423600
2002-12-23,7657524000
2002-12-24,7596750000
2002-12-26,7641896400
2002-12-27,7459574400
2002-12-30,7501248000
2002-12-31,7534891100
2003-01-02,7825901001
2003-01-03,7796277239
2003-01-06,8101227734
2003-01-07,8036752487
2003-01-08,7968792090
2003-01-09,8132594071
2003-01-10,8043722784
2003-01-13,8008871298
2003-01-14,8125623774
2003-01-15,7911287140
2003-01-16,7616792090
2003-01-17,7513980209
2003-01-21,7446019812
2003-01-22,7261306941
2003-01-23,7339722783
2003-01-24,7109702980
2003-01-27,7071366347
2003-01-28,7057425753
2003-01-29,7128871297
2003-01-30,6944158426
2003-01-31,7057425753
2003-02-03,7048712881
2003-02-04,7006891099
2003-02-05,6999920802
2003-02-06,6998178228
2003-02-07,6970297040
2003-02-10,7100990109
2003-02-11,7033029713
2003-02-12,6954613871
2003-02-13,6968554465
2003-02-14,7102732683
2003-02-18,7186376248
2003-02-19,7165465357
2003-02-20,7097504960
2003-02-21,7170693079
2003-02-24,7031287139
2003-02-25,7029544564
2003-02-26,6959841594
2003-02-27,7026059416
2003-02-28,7141069317
2003-03-03,7130613871
2003-03-04,7013861396
2003-03-05,7057425753
2003-03-06,6989465356
2003-03-07,6982495059
2003-03-10,6742019811
2003-03-11,6686257435
2003-03-12,6564277237
2003-03-13,6674059415
2003-03-14,6553821791
2003-03-17,6750732683
2003-03-18,6637465356
2003-03-19,6613069316
2003-03-20,6755960406
2003-03-21,6970297040
2003-03-24,6769901000
2003-03-25,6804752485
2003-03-26,6761188128
2003-03-27,6694970306
2003-03-28,6665346544
2003-03-31,6571020417
2003-04-01,6685510213
2003-04-02,6798265315
2003-04-03,6739285723
2003-04-04,6793061234
2003-04-07,6739285723
2003-04-08,6728877560
2003-04-09,6567551029
2003-04-10,6730612254
2003-04-11,6834693887
2003-04-14,7013367356
2003-04-15,7197244908
2003-04-16,6949183683
2003-04-17,6994285724
2003-04-21,7001224499
2003-04-22,7280510214
2003-04-23,7320408173
2003-04-24,7247551030
2003-04-25,7211122459
2003-04-28,7355102051
2003-04-29,7476530622
2003-04-30,7547653071
2003-05-01,7606632663
2003-05-02,7665612255
2003-05-05,7620510214
2003-05-06,7667346949
2003-05-07,7655204092
2003-05-08,7549387765
2003-05-09,7594489806
2003-05-12,7769693888
2003-05-13,7882448990
2003-05-14,7858163276
2003-05-15,7797448990
2003-05-16,7783571439
2003-05-19,7589285725
2003-05-20,7568469398
2003-05-21,7597959194
2003-05-22,7681224500
2003-05-23,7766224500
2003-05-27,7887653072
2003-05-28,7955306133
2003-05-29,7868571439
2003-05-30,8026428582
2003-06-02,8172142868
2003-06-03,8395918379
2003-06-04,8715102053
2003-06-05,8947551033
2003-06-06,8985714298
2003-06-09,8661326542
2003-06-10,8706428583
2003-06-11,8588469399
2003-06-12,8506938787
2003-06-13,8324795930
2003-06-16,8470510216
2003-06-17,8338673481
2003-06-18,8277959195
2003-06-19,8213775521
2003-06-20,8160000011
2003-06-23,8019489807
2003-06-24,8095816337
2003-06-25,8191224501
2003-06-26,8205102052
2003-06-27,8153061236
2003-06-30,8111666646
2003-07-01,8235522201
2003-07-02,8303555534
2003-07-03,8226799979
2003-07-07,8324488867
2003-07-08,8385544423
2003-07-09,8373333312
2003-07-10,8314022201
2003-07-11,8308788867
2003-07-14,8565222200
2003-07-15,8411711089
2003-07-16,8094222201
2003-07-17,7966877757
2003-07-18,7968622201
2003-07-21,7933733313
2003-07-22,8033166646
2003-07-23,8146555534
2003-07-24,8151788868
2003-07-25,8376822200
2003-07-28,8347166645
2003-07-29,8380311089
2003-07-30,8369844423
2003-07-31,8457066645
2003-08-01,8366355534
2003-08-04,8394266645
2003-08-05,8198888868
2003-08-06,8172722201
2003-08-07,8174466645
2003-08-08,8198888868
2003-08-11,8174466645
2003-08-12,8232033312
2003-08-13,8155277757
2003-08-14,8158766645
2003-08-15,8191911090
2003-08-18,8251222201
2003-08-19,8329722201
2003-08-20,8399499978
2003-08-21,8432644422
2003-08-22,8340188867
2003-08-25,8368099978
2003-08-26,8375077756
2003-08-27,8430899978
2003-08-28,8519866644
2003-08-29,8607088866
2003-09-02,8626277755
2003-09-03,8528588867
2003-09-04,8511144422
2003-09-05,8497188867
2003-09-08,8526844422
2003-09-09,8474511089
2003-09-10,8279133312
2003-09-11,8216333312
2003-09-12,8170977756
2003-09-15,8245988867
2003-09-16,8256455534
2003-09-17,8251222201
2003-09-18,8434388867
2003-09-19,8526844422
2003-09-22,8408222200
2003-09-23,8413455534
2003-09-24,8284366645
2003-09-25,8233777756
2003-09-26,8252966645
2003-09-29,8207611090
2003-09-30,8178885575
2003-10-01,8249090602
2003-10-02,8205212460
2003-10-03,8326316131
2003-10-06,8452685178
2003-10-07,8466726183
2003-10-08,8389500654
2003-10-09,8464971058
2003-10-10,8342112261
2003-10-13,8435133921
2003-10-14,8447419801
2003-10-15,8242070099
2003-10-16,8305254623
2003-10-17,8315785377
2003-10-20,8317540502
2003-10-21,8271907235
2003-10-22,8305254623
2003-10-23,8275417486
2003-10-24,8235049596
2003-10-27,8805465436
2003-10-28,8865139708
2003-10-29,8930079358
2003-10-30,8963426745
2003-10-31,9035386897
2003-11-03,9151225191
2003-11-04,9109102175
2003-11-05,9093306044
2003-11-06,9093306044
2003-11-07,9260042982
2003-11-10,9182817453
2003-11-11,9154735442
2003-11-12,9240736599
2003-11-13,9346044139
2003-11-14,9181062327
2003-11-17,9109102175
2003-11-18,8965181871
2003-11-19,8968692122
2003-11-20,8896731970
2003-11-21,8921303729
2003-11-24,9012570264
2003-11-25,9124898306
2003-11-26,9172286699
2003-11-28,9198613584
2003-12-01,9410983788
2003-12-02,9477678564
2003-12-03,9418004291
2003-12-04,9439065799
2003-12-05,9382901778
2003-12-08,9530332333
2003-12-09,9491719569
2003-12-10,9433800422
2003-12-11,9414494040
2003-12-12,9412738914
2003-12-15,9265308359
2003-12-16,9289880118
2003-12-17,9314451877
2003-12-18,9398697909
2003-12-19,9470658061
2003-12-22,9425024794
2003-12-23,9567189972
2003-12-24,9565434847
2003-12-26,9574210475
2003-12-29,9777805051
2003-12-30,9883112591
2003-12-31,9765290300
2004-01-02,9683419333
2004-01-05,9613741914
2004-01-06,9608516107
2004-01-07,9538838688
2004-01-08,9578903204
2004-01-09,9474387075
2004-01-12,9599806430
2004-01-13,9423870946
2004-01-14,9296709656
2004-01-15,9807096752
2004-01-16,9861096752
2004-01-20,9855870945
2004-01-21,10037032235
2004-01-22,10091032235
2004-01-23,10050967719
2004-01-26,10146774171
2004-01-27,10094516106
2004-01-28,9967354816
2004-01-29,9946451590
2004-01-30,9948193526
2004-02-02,10007419332
2004-02-03,9986516106
2004-02-04,9894193526
2004-02-05,9789677397
2004-02-06,9911612881
2004-02-09,9857612881
2004-02-10,9876774171
2004-02-11,10099741913
2004-02-12,10040516106
2004-02-13,10030064493
2004-02-17,10030064493
2004-02-18,9965612881
2004-02-19,9995225784
2004-02-20,9894193526
2004-02-23,9894193526
2004-02-24,9845419332
2004-02-25,9881999978
2004-02-26,9826258042
2004-02-27,10023096751
2004-03-01,9991741913
2004-03-02,9953419332
2004-03-03,10012645139
2004-03-04,10010903203
2004-03-05,10099741913
2004-03-08,10070129009
2004-03-09,10003935461
2004-03-10,9702580623
2004-03-11,9312387076
2004-03-12,9516193527
2004-03-15,9401225785
2004-03-16,9486580624
2004-03-17,9486580624
2004-03-18,9467419333
2004-03-19,9329806430
2004-03-22,9274064495
2004-03-23,9246193527
2004-03-24,9166064495
2004-03-25,9247935463
2004-03-26,9246193527
2004-03-29,9458709656
2004-03-30,9460451591
2004-03-31,9395891893
2004-04-01,9452972974
2004-04-02,9309405406
2004-04-05,9337081082
2004-04-06,9323243244
2004-04-07,9276540541
2004-04-08,9195243244
2004-04-12,9105297298
2004-04-13,8944432433
2004-04-14,8866594595
2004-04-15,8825081082
2004-04-16,9081081082
2004-04-19,9013621623
2004-04-20,8911567568
2004-04-21,8911567568
2004-04-22,9093189190
2004-04-23,9094918920
2004-04-26,9068972974
2004-04-27,9091459460
2004-04-28,8901189190
2004-04-29,8960000001
2004-04-30,8930594595
2004-05-03,9003243244
2004-05-04,9079351352
2004-05-05,9257513514
2004-05-06,9176216217
2004-05-07,8961729731
2004-05-10,8837189190
2004-05-11,8894270271
2004-05-12,8870054055
