,CHIR
2022-03-17,16373857.0
2022-03-18,16989990.0
2022-03-21,16024897.0
2022-03-22,16635577.0
2022-03-23,16515622.0
2022-03-24,15948562.0
2022-03-25,16030350.0
2022-03-28,16030350.0
2022-03-29,15768630.0
2022-03-30,16439287.0
2022-03-31,16030350.0
2022-04-01,16553790.0
2022-04-04,17971440.0
2022-04-05,17453452.0
2022-04-06,17976892.0
2022-04-07,17518882.0
2022-04-08,18173182.0
2022-04-11,17306235.0
2022-04-12,16908202.0
2022-04-13,17191732.0
2022-04-14,17649742.0
2022-04-18,17322592.0
2022-04-19,17044515.0
2022-04-20,15981277.0
2022-04-21,15468742.0
2022-04-22,15637770.0
2022-04-25,15408765.0
2022-04-26,15179760.0
2022-04-27,15239737.0
2022-04-28,15332430.0
2022-04-29,15735915.0
2022-05-02,15654127.0
2022-05-03,16177567.0
2022-05-04,16275712.0
2022-05-05,15376050.0
2022-05-06,14836252.0
2022-05-09,14263740.0
2022-05-10,14394600.0
2022-05-11,14231025.0
2022-05-12,13920232.0
2022-05-13,14639962.0
2022-05-16,14808990.0
2022-05-17,14950755.0
2022-05-18,14819895.0
2022-05-19,15572340.0
2022-05-20,15310620.0
2022-05-23,15277905.0
2022-05-24,14934397.0
2022-05-25,14918040.0
2022-05-26,15310620.0
2022-05-27,14901682.0
2022-05-31,15179760.0
2022-06-01,15130687.0
2022-06-02,15326977.0
2022-06-03,15114330.0
2022-06-06,14918040.0
2022-06-07,15163402.0
2022-06-08,14885325.0
2022-06-09,15130687.0
2022-06-10,14438220.0
2022-06-13,13838445.0
2022-06-14,14280097.0
2022-06-15,15016185.0
2022-06-16,14334622.0
2022-06-17,14470935.0
2022-06-21,15703200.0
2022-06-22,15343335.0
2022-06-23,15675937.0
2022-06-24,15605055.0
2022-06-27,15817702.0
2022-06-28,16128495.0
2022-06-29,15997635.0
2022-06-30,16472002.0
2022-07-01,16439287.0
2022-07-05,15670485.0
2022-07-06,15359692.0
2022-07-07,15474195.0
2022-07-08,15654127.0
2022-07-11,14721750.0
2022-07-12,14705392.0
2022-07-13,14051092.0
2022-07-14,13658512.0
2022-07-15,13167787.0
2022-07-18,13691227.0
2022-07-19,13822087.0
2022-07-20,13413150.0
2022-07-21,13053285.0
2022-07-22,12824280.0
2022-07-25,13331362.0
2022-07-26,13838445.0
2022-07-27,13298647.0
2022-07-28,13249575.0
2022-07-29,12709777.0
2022-08-01,12120907.0
2022-08-02,12104550.0
2022-08-03,11957332.0
2022-08-04,12022762.0
2022-08-05,12317197.0
2022-08-08,12055477.0
2022-08-09,11990047.0
2022-08-10,11630182.0
2022-08-11,11810115.0
2022-08-12,12006405.0
2022-08-15,11826472.0
2022-08-16,12268125.0
2022-08-17,12279030.0
2022-08-18,12186337.0
2022-08-19,12317197.0
2022-08-22,12382627.0
2022-08-23,12497130.0
2022-08-24,12349912.0
2022-08-25,12955140.0
2022-08-26,13069642.0
2022-08-29,12497130.0
2022-08-30,12317197.0
2022-08-31,12480772.0
2022-09-01,12546202.0
2022-09-02,12235410.0
2022-09-06,12742492.0
2022-09-07,12780660.0
2022-09-08,12529845.0
2022-09-09,13282290.0
2022-09-12,13315005.0
2022-09-13,12906067.0
2022-09-14,13151430.0
2022-09-15,13462222.0
2022-09-16,13118715.0
