,NOV
2003-08-27,1519478160
2003-08-28,1553470960
2003-08-29,1544972760
2003-09-02,1512679600
2003-09-03,1505881040
2003-09-04,1512679600
2003-09-05,1522877440
2003-09-08,1543273120
2003-09-09,1500782120
2003-09-10,1439595080
2003-09-11,1436195799
2003-09-12,1431096880
2003-09-15,1439595080
2003-09-16,1456591480
2003-09-17,1424298320
2003-09-18,1434496160
2003-09-19,1453192200
2003-09-22,1448093280
2003-09-23,1446393640
2003-09-24,1485485360
2003-09-25,1475287520
2003-09-26,1414100480
2003-09-29,1431096880
2003-09-30,1438068640
2003-10-01,1458563679
2003-10-02,1467103280
2003-10-03,1497845840
2003-10-06,1502969600
2003-10-07,1514925039
2003-10-08,1511509200
2003-10-09,1506385440
2003-10-10,1514925039
2003-10-13,1506385440
2003-10-14,1467103280
2003-10-15,1443192399
2003-10-16,1475642880
2003-10-17,1475642880
2003-10-20,1472227039
2003-10-21,1504677520
2003-10-22,1450024080
2003-10-23,1460271600
2003-10-24,1444900320
2003-10-27,1427821120
2003-10-28,1458563679
2003-10-29,1479058720
2003-10-30,1456855760
2003-10-31,1511509200
2003-11-03,1480766640
2003-11-04,1482474560
2003-11-05,1502969600
2003-11-06,1521756720
2003-11-07,1533712160
2003-11-10,1521756720
2003-11-11,1521756720
2003-11-12,1526880480
2003-11-13,1550791360
2003-11-14,1549083440
2003-11-17,1513217120
2003-11-18,1502969600
2003-11-19,1509801280
2003-11-20,1508093360
2003-11-21,1480766640
2003-11-24,1497845840
2003-11-25,1520048800
2003-11-26,1516632960
2003-11-28,1525172560
2003-12-01,1549083440
2003-12-02,1555915120
2003-12-03,1542251760
2003-12-04,1620816080
2003-12-05,1648142800
2003-12-08,1685717039
2003-12-09,1661806160
2003-12-10,1663514080
2003-12-11,1646434880
2003-12-12,1697672480
2003-12-15,1661806160
2003-12-16,1663514080
2003-12-17,1673761600
2003-12-18,1784776399
2003-12-19,1771113039
2003-12-22,1795023920
2003-12-23,1765989280
2003-12-24,1793316000
2003-12-26,1788192240
2003-12-29,1822350640
2003-12-30,1818934800
2003-12-31,1772820960
2004-01-02,1764281360
2004-01-05,1789900160
2004-01-06,1759157600
2004-01-07,1726707120
2004-01-08,1789900160
2004-01-09,1822350640
2004-01-12,1824058560
2004-01-13,1795023920
2004-01-14,1777944720
2004-01-15,1779652640
2004-01-16,1810395200
2004-01-20,1902622880
2004-01-21,1900914960
2004-01-22,1868464480
2004-01-23,1989726800
2004-01-26,2027301039
2004-01-27,2064875280
2004-01-28,2061459440
2004-01-29,2051211920
2004-01-30,2039256480
2004-02-02,2081954480
2004-02-03,2052919840
2004-02-04,2037548560
2004-02-05,2015345600
2004-02-06,2003390160
2004-02-09,2112697039
2004-02-10,2129776240
2004-02-11,2136607920
2004-02-12,2140023760
2004-02-13,2140023760
2004-02-17,2298860320
2004-02-18,2254454400
2004-02-19,2262994000
2004-02-20,2235667280
2004-02-23,2215172240
2004-02-24,2292028640
2004-02-25,2338142480
2004-02-26,2368885040
2004-02-27,2355221680
2004-03-01,2426954320
2004-03-02,2418414720
2004-03-03,2454281040
2004-03-04,2416706800
2004-03-05,2399627600
2004-03-08,2382548400
2004-03-09,2331310800
2004-03-10,2249330640
2004-03-11,2237375200
2004-03-12,2262994000
2004-03-15,2292028640
2004-03-16,2280073200
2004-03-17,2329602880
2004-03-18,2336434560
2004-03-19,2257870240
2004-03-22,2213464320
2004-03-23,2213464320
2004-03-24,2129776240
2004-03-25,2140023760
2004-03-26,2140023760
2004-03-29,2165642560
2004-03-30,2239083120
2004-03-31,2252976700
2004-04-01,2194636100
2004-04-02,2239249500
2004-04-05,2232385900
2004-04-06,2237533600
2004-04-07,2228954100
2004-04-08,2249544900
2004-04-12,2299306000
2004-04-13,2290726500
2004-04-14,2283862900
2004-04-15,2354214800
2004-04-16,2393680500
2004-04-19,2386816900
2004-04-20,2316465000
2004-04-21,2319896800
2004-04-22,2390248700
2004-04-23,2371373800
2004-04-26,2381669200
2004-04-27,2453737000
2004-04-28,2343919400
2004-04-29,2220374600
2004-04-30,2223806400
2004-05-03,2244397200
2004-05-04,2223806400
2004-05-05,2167181700
2004-05-06,2196352000
2004-05-07,2131147800
2004-05-10,2052216400
2004-05-11,2076239000
2004-05-12,2065943599
2004-05-13,2107125200
2004-05-14,2103693400
2004-05-17,2163749900
2004-05-18,2101977500
2004-05-19,2105409300
2004-05-20,2098545700
2004-05-21,2062511800
2004-05-24,2179193000
2004-05-25,2228954100
2004-05-26,2196352000
2004-05-27,2153454500
2004-05-28,2204931500
2004-06-01,2220374600
2004-06-02,2191204300
2004-06-03,2138011400
2004-06-04,2151738600
2004-06-07,2180908900
2004-06-08,2201499700
2004-06-09,2191204300
2004-06-10,2208363300
2004-06-14,2206647400
2004-06-15,2292442400
2004-06-16,2409123600
2004-06-17,2409123600
2004-06-18,2429714400
2004-06-21,2429714400
2004-06-22,2434862100
2004-06-23,2476043700
2004-06-24,2422850800
2004-06-25,2427998500
2004-06-28,2369657900
2004-06-29,2414271300
2004-06-30,2511716000
2004-07-01,2523742000
2004-07-02,2549512000
2004-07-06,2522024000
2004-07-07,2582154000
2004-07-08,2542640000
2004-07-09,2582154000
2004-07-12,2552948000
2004-07-13,2542640000
2004-07-14,2644002000
2004-07-15,2656028000
2004-07-16,2723030000
2004-07-19,2714440000
2004-07-20,2681798000
2004-07-21,2642284000
2004-07-22,2599334000
2004-07-23,2558102000
2004-07-26,2489382000
2004-07-27,2552948000
2004-07-28,2573564000
2004-07-29,2644002000
2004-07-30,2668054000
2004-08-02,2680080000
2004-08-03,2698978000
2004-08-04,2595898000
2004-08-05,2465330000
2004-08-06,2362250000
2004-08-09,2494536000
2004-08-10,2515152000
2004-08-11,2460176000
2004-08-12,2317582000
2004-08-13,2372558000
2004-08-16,2372558000
2004-08-17,2267760000
2004-08-18,2288376000
2004-08-19,2307274000
2004-08-20,2362250000
