,DFS
2011-05-11,13202280000
2011-05-12,13213200000
2011-05-13,13235040000
2011-05-16,13688220000
2011-05-17,13791960000
2011-05-18,13830180000
2011-05-19,14021280000
2011-05-20,13606320000
2011-05-23,13338780000
2011-05-24,12858300000
2011-05-25,12858300000
2011-05-26,12994800000
2011-05-27,12978420000
2011-05-31,12968960000
2011-06-01,12745920000
2011-06-02,12735040000
2011-06-03,12620800000
2011-06-06,12201920000
2011-06-07,12397760000
2011-06-08,12327040000
2011-06-09,12414080000
2011-06-10,12250880000
2011-06-13,12327040000
2011-06-14,12609920000
2011-06-15,12484800000
2011-06-16,12658880000
2011-06-17,12560960000
2011-06-20,12849280000
2011-06-21,13077760000
2011-06-22,12832960000
2011-06-23,12996160000
2011-06-24,13485760000
2011-06-27,13714240000
2011-06-28,14220160000
2011-06-29,14475840000
2011-06-30,14552000000
2011-07-01,14443200000
2011-07-05,14584640000
2011-07-06,14709760000
2011-07-07,14970880000
2011-07-08,14753280000
2011-07-11,14524800000
2011-07-12,14388800000
2011-07-13,14220160000
2011-07-14,13828480000
2011-07-15,13833920000
2011-07-18,14035200000
2011-07-19,14040640000
2011-07-20,14176640000
2011-07-21,14405120000
2011-07-22,14127680000
2011-07-25,14236480000
2011-07-26,14187520000
2011-07-27,13877440000
2011-07-28,14018880000
2011-07-29,13931840000
2011-08-01,13926400000
2011-08-02,13431360000
2011-08-03,13534720000
2011-08-04,12751360000
2011-08-05,12419520000
2011-08-08,11277120000
2011-08-09,12310720000
2011-08-10,11902720000
2011-08-11,12784000000
2011-08-12,12691520000
2011-08-15,12985280000
2011-08-16,12892800000
2011-08-17,13056000000
2011-08-18,12414080000
2011-08-19,12463040000
2011-08-22,12648000000
2011-08-23,13001600000
2011-08-24,13507520000
2011-08-25,13273600000
2011-08-26,13485760000
2011-08-29,13659840000
2011-08-30,13556480000
2011-08-31,13385120000
2011-09-01,13214880000
2011-09-02,12885040000
2011-09-06,12709480000
2011-09-07,13198920000
2011-09-08,13023360000
2011-09-09,12725440000
2011-09-12,13315960000
2011-09-13,13342560000
2011-09-14,13725600000
2011-09-15,13933080000
2011-09-16,14082040000
2011-09-19,13975640000
2011-09-20,14252280000
2011-09-21,13480880000
2011-09-22,13433000000
2011-09-23,13486200000
2011-09-26,13847960000
2011-09-27,13225520000
2011-09-28,12704160000
2011-09-29,12555200000
2011-09-30,12204080000
2011-10-03,11842320000
2011-10-04,12161520000
2011-10-05,12230680000
2011-10-06,12762680000
2011-10-07,12454120000
2011-10-10,13044640000
2011-10-11,13273400000
2011-10-12,13528760000
2011-10-13,12895680000
2011-10-14,12837160000
2011-10-17,12166840000
2011-10-18,12262600000
2011-10-19,11751880000
2011-10-20,11954040000
2011-10-21,12315800000
2011-10-24,13007400000
2011-10-25,12193440000
2011-10-26,12395600000
2011-10-27,13044640000
2011-10-28,13023360000
2011-10-31,12533920000
2011-11-01,12150880000
2011-11-02,12539240000
2011-11-03,13092520000
2011-11-04,13034000000
2011-11-07,13151040000
2011-11-08,13065920000
2011-11-09,12581800000
2011-11-10,12629680000
2011-11-11,13177640000
2011-11-14,13065920000
2011-11-15,13252120000
2011-11-16,12619040000
2011-11-17,12071080000
2011-11-18,12251960000
2011-11-21,12161520000
2011-11-22,12347720000
2011-11-23,12188120000
2011-11-25,12214720000
2011-11-28,12321120000
2011-11-29,12097680000
2011-11-30,12624600000
2011-12-01,12741200000
2011-12-02,12831300000
2011-12-05,12990300000
2011-12-06,12921400000
2011-12-07,13000900000
2011-12-08,12704100000
2011-12-09,13112200000
2011-12-12,12831300000
2011-12-13,12656400000
2011-12-14,12624600000
2011-12-15,12227100000
2011-12-16,12841900000
2011-12-19,12492100000
2011-12-20,12836600000
2011-12-21,12810100000
2011-12-22,12879000000
2011-12-23,12979700000
2011-12-27,12820700000
2011-12-28,12693500000
2011-12-29,12794200000
2011-12-30,12720000000
2012-01-03,12831300000
2012-01-04,12884300000
2012-01-05,12995600000
2012-01-06,12879000000
2012-01-09,12932000000
2012-01-10,13594500000
2012-01-11,13705800000
2012-01-12,13954900000
2012-01-13,14050300000
2012-01-17,14310000000
2012-01-18,14267600000
2012-01-19,14378900000
2012-01-20,14516700000
2012-01-23,14702200000
2012-01-24,14749900000
2012-01-25,14548500000
