,F
2002-06-28,29008000000
2002-07-01,28261920000
2002-07-02,28698960000
2002-07-03,27861300000
2002-07-05,28571490000
2002-07-08,27588150000
2002-07-09,27515310000
2002-07-10,25475790000
2002-07-11,24000780000
2002-07-12,22962810000
2002-07-15,23308800000
2002-07-16,22762500000
2002-07-17,22798920000
2002-07-18,23327010000
2002-07-19,22562190000
2002-07-22,22343670000
2002-07-23,22034100000
2002-07-24,23017440000
2002-07-25,22871760000
2002-07-26,22944600000
2002-07-29,23909730000
2002-07-30,24037200000
2002-07-31,24528870000
2002-08-01,23764050000
2002-08-02,22671450000
2002-08-05,21414960000
2002-08-06,22143360000
2002-08-07,22361880000
2002-08-08,21706320000
2002-08-09,21560640000
2002-08-12,21196440000
2002-08-13,20832240000
2002-08-14,20668350000
2002-08-15,21141810000
2002-08-16,20741190000
2002-08-19,22088730000
2002-08-20,21688110000
2002-08-21,21760950000
2002-08-22,22161570000
2002-08-23,21451380000
2002-08-26,21997680000
2002-08-27,21651690000
2002-08-28,21178230000
2002-08-29,21178230000
2002-08-30,21433170000
2002-09-03,19921740000
2002-09-04,20122050000
2002-09-05,19466490000
2002-09-06,18574200000
2002-09-09,19666800000
2002-09-10,19848900000
2002-09-11,20322360000
2002-09-12,19830690000
2002-09-13,19393650000
2002-09-16,19466490000
2002-09-17,19065870000
2002-09-18,18683460000
2002-09-19,17973270000
2002-09-20,17791170000
2002-09-23,17590860000
2002-09-24,17008140000
2002-09-25,18155370000
2002-09-26,18410310000
2002-09-27,17536230000
2002-09-30,17855600000
2002-10-01,18037800000
2002-10-02,16999260000
2002-10-03,16689520000
2002-10-04,15778520000
2002-10-07,15487000000
2002-10-08,14120500000
2002-10-09,13027300000
2002-10-10,13847200000
2002-10-11,15159040000
2002-10-14,14448460000
2002-10-15,16161139999
2002-10-16,15049720000
2002-10-17,15468780000
2002-10-18,15049720000
2002-10-21,17400100000
2002-10-22,17126800000
2002-10-23,16707740000
2002-10-24,16142919999
2002-10-25,15887840000
2002-10-28,15997159999
2002-10-29,15213700000
2002-10-30,15341240000
2002-10-31,15414120000
2002-11-01,15359460000
2002-11-04,15596320000
2002-11-05,16215800000
2002-11-06,17035700000
2002-11-07,16033600000
2002-11-08,15924280000
2002-11-11,15487000000
2002-11-12,15723860000
2002-11-13,15523440000
2002-11-14,16033600000
2002-11-15,15760300000
2002-11-18,16033600000
2002-11-19,15578100000
2002-11-20,16270460000
2002-11-21,18803040000
2002-11-22,18602620000
2002-11-25,19823360000
2002-11-26,19714040000
2002-11-27,20096660000
2002-11-29,20734360000
2002-12-02,20861900000
2002-12-03,18147120000
2002-12-04,18493300000
2002-12-05,18256440000
2002-12-06,18001360000
2002-12-09,17217900000
2002-12-10,17527640000
2002-12-11,17636960000
2002-12-12,17946700000
2002-12-13,17673400000
2002-12-16,18110680000
2002-12-17,18001360000
2002-12-18,17691620000
2002-12-19,17819160000
2002-12-20,17819160000
2002-12-23,17545860000
2002-12-24,17491200000
2002-12-26,17837380000
2002-12-27,17454760000
2002-12-30,17491200000
2002-12-31,17037600000
2003-01-02,18210080000
2003-01-03,17733760000
2003-01-06,18448240000
2003-01-07,18558160000
2003-01-08,18338320000
2003-01-09,18741360000
2003-01-10,19236000000
2003-01-13,19382560000
2003-01-14,19290960000
2003-01-15,18869600000
2003-01-16,19107760000
2003-01-17,18613120000
2003-01-21,18576480000
2003-01-22,17843680000
2003-01-23,18338320000
2003-01-24,17862000000
2003-01-27,17349040000
2003-01-28,17532240000
2003-01-29,17202480000
2003-01-30,16506320000
2003-01-31,16689519999
2003-02-03,16854399999
2003-02-04,16506320000
2003-02-05,16652880000
2003-02-06,16469680000
2003-02-07,16121600000
2003-02-10,16396399999
2003-02-11,16213200000
2003-02-12,16030000000
2003-02-13,15462080000
2003-02-14,15920080000
2003-02-18,16359760000
2003-02-19,16158240000
2003-02-20,15846800000
2003-02-21,15462080000
2003-02-24,15187279999
2003-02-25,14802560000
2003-02-26,14857519999
2003-02-27,15260560000
2003-02-28,15242240000
2003-03-03,14784240000
2003-03-04,14179680000
2003-03-05,14216320000
2003-03-06,13648400000
2003-03-07,13227040000
2003-03-10,12805680000
2003-03-11,12091200000
2003-03-12,12970560000
2003-03-13,13062160000
2003-03-14,12384320000
2003-03-17,13172080000
2003-03-18,13831600000
2003-03-19,13978160000
2003-03-20,13740000000
2003-03-21,14692640000
2003-03-24,13849920000
2003-03-25,13978160000
2003-03-26,14014800000
2003-03-27,13886560000
2003-03-28,13575120000
2003-03-31,13776640000
2003-04-01,13703360000
2003-04-02,14198000000
2003-04-03,14436160000
2003-04-04,14454480000
2003-04-07,14747600000
2003-04-08,14472800000
2003-04-09,14546080000
2003-04-10,14472800000
2003-04-11,14839200000
2003-04-14,15553680000
2003-04-15,15297200000
2003-04-16,16909360000
2003-04-17,17239120000
2003-04-21,18173440000
2003-04-22,18906240000
2003-04-23,19895520000
2003-04-24,19236000000
2003-04-25,18246720000
2003-04-28,18613120000
2003-04-29,18906240000
2003-04-30,18869600000
2003-05-01,18283360000
2003-05-02,18393280000
2003-05-05,18411600000
2003-05-06,18374960000
2003-05-07,18320000000
2003-05-08,18173440000
2003-05-09,18118480000
2003-05-12,18393280000
2003-05-13,18576480000
2003-05-14,18356640000
2003-05-15,18246720000
2003-05-16,18356640000
2003-05-19,17990240000
2003-05-20,17623840000
2003-05-21,17715440000
2003-05-22,17807040000
2003-05-23,17513920000
2003-05-27,18576480000
2003-05-28,18778000000
2003-05-29,18466560000
2003-05-30,19236000000
2003-06-02,20280240000
2003-06-03,19584080000
2003-06-04,19345920000
2003-06-05,19419200000
2003-06-06,19620720000
2003-06-09,19272640000
2003-06-10,20152000000
2003-06-11,20756560000
2003-06-12,20646640000
2003-06-13,20097040000
2003-06-16,20573360000
2003-06-17,21397760000
2003-06-18,21104640000
2003-06-19,20664960000
2003-06-20,21104640000
2003-06-23,20701600000
2003-06-24,20793200000
2003-06-25,20536720000
2003-06-26,20573360000
2003-06-27,20206960000
2003-06-30,20122690000
2003-07-01,19811420000
2003-07-02,19902970000
2003-07-03,19902970000
2003-07-07,20488890000
2003-07-08,20433960000
2003-07-09,20360720000
2003-07-10,20379030000
2003-07-11,20671990000
2003-07-14,20708610000
2003-07-15,21312840000
2003-07-16,20122690000
2003-07-17,19829730000
2003-07-18,20122690000
2003-07-21,19317050000
2003-07-22,19371980000
2003-07-23,19390290000
2003-07-24,19555080000
2003-07-25,20086070000
2003-07-28,19866350000
2003-07-29,19829730000
2003-07-30,19500150000
2003-07-31,20250860000
2003-08-01,19957900000
2003-08-04,19848040000
2003-08-05,19262120000
2003-08-06,19500150000
2003-08-07,19628320000
2003-08-08,19610010000
2003-08-11,19610010000
2003-08-12,19646630000
2003-08-13,19793110000
2003-08-14,19701560000
2003-08-15,19719870000
2003-08-18,19957900000
2003-08-19,20269170000
2003-08-20,20543820000
2003-08-21,20891710000
2003-08-22,20562130000
2003-08-25,20287480000
2003-08-26,20891710000
2003-08-27,21312840000
2003-08-28,20946640000
2003-08-29,21166360000
2003-09-02,22539610000
2003-09-03,21862140000
2003-09-04,21733970000
2003-09-05,21477630000
2003-09-08,21660730000
2003-09-09,21294530000
2003-09-10,20836780000
2003-09-11,20946640000
2003-09-12,21239600000
2003-09-15,20818470000
2003-09-16,21294530000
2003-09-17,21038190000
2003-09-18,21477630000
2003-09-19,21074810000
2003-09-22,21001570000
2003-09-23,21093120000
2003-09-24,20617060000
2003-09-25,20415650000
2003-09-26,20141000000
2003-09-29,20012830000
2003-09-30,19719870000
2003-10-01,20324100000
2003-10-02,20177620000
2003-10-03,20891710000
2003-10-06,20855090000
2003-10-07,20910020000
2003-10-08,21056500000
2003-10-09,21441010000
2003-10-10,21422700000
2003-10-13,21917070000
2003-10-14,21880450000
2003-10-15,22228340000
2003-10-16,22594540000
2003-10-17,22210030000
2003-10-20,22686090000
2003-10-21,22283270000
2003-10-22,21697350000
2003-10-23,22136790000
2003-10-24,21788900000
2003-10-27,22008620000
2003-10-28,22704400000
2003-10-29,22759330000
2003-10-30,22246650000
2003-10-31,22210030000
2003-11-03,22374820000
2003-11-04,22557920000
2003-11-05,22283270000
2003-11-06,22173410000
2003-11-07,22319890000
2003-11-10,22374820000
2003-11-11,22539610000
2003-11-12,23912860000
2003-11-13,24059340000
2003-11-14,23729760000
2003-11-17,23272010000
2003-11-18,23088910000
2003-11-19,23033980000
2003-11-20,22741020000
2003-11-21,22612850000
2003-11-24,23125530000
2003-11-25,23803000000
2003-11-26,23656520000
2003-11-28,24169200000
2003-12-01,24022720000
2003-12-02,23656520000
2003-12-03,24132580000
2003-12-04,23986100000
2003-12-05,23748070000
2003-12-08,24205820000
2003-12-09,24736810000
2003-12-10,24407230000
2003-12-11,25157940000
2003-12-12,25121320000
2003-12-15,26146680000
2003-12-16,26274850000
2003-12-17,26860770000
2003-12-18,27318520000
2003-12-19,27904440000
2003-12-22,30742490000
2003-12-23,29607270000
2003-12-24,29662200000
2003-12-26,29625580000
2003-12-29,29588960000
2003-12-30,29277690000
2003-12-31,29188785040
2004-01-02,29334728965
2004-01-05,30265121488
2004-01-06,30173906535
2004-01-07,30994841114
2004-01-08,31195514011
2004-01-09,30210392516
2004-01-12,29936747656
2004-01-13,29699588778
2004-01-14,29517158871
2004-01-15,29279999993
2004-01-16,29425943918
2004-01-20,29571887843
2004-01-21,29991476628
2004-01-22,29973233637
2004-01-23,28878654198
2004-01-26,29115813077
2004-01-27,29079327096
2004-01-28,28422579432
2004-01-29,27072598124
2004-01-30,26525308405
2004-02-02,25448971956
2004-02-03,25029383171
2004-02-04,25339514012
2004-02-05,25813831769
2004-02-06,26050990648
2004-02-09,25832074760
2004-02-10,26251663545
2004-02-11,26707738311
2004-02-12,26543551395
2004-02-13,26196934573
2004-02-17,26598280367
2004-02-18,26251663545
2004-02-19,26361121489
2004-02-20,25850317751
2004-02-23,25503700928
2004-02-24,24792224293
2004-02-25,24919925227
2004-02-26,24919925227
2004-02-27,25084112143
2004-03-01,25521943919
2004-03-02,25759102797
2004-03-03,25321271022
2004-03-04,24974654199
2004-03-05,25722616816
2004-03-08,24992897190
2004-03-09,24682766349
2004-03-10,24062504667
2004-03-11,23752373826
