,IEX
2003-04-14,955247040
2003-04-15,961804800
2003-04-16,1048512960
2003-04-17,1052156160
2003-04-21,1058713920
2003-04-22,1050698880
2003-04-23,1048512960
2003-04-24,1023010559
2003-04-25,1020096000
2003-04-28,1034668800
2003-04-29,1034668800
2003-04-30,1031754240
2003-05-01,1028111040
2003-05-02,1068914880
2003-05-05,1066728960
2003-05-06,1095145920
2003-05-07,1076201280
2003-05-08,1069643520
2003-05-09,1087130880
2003-05-12,1098060480
2003-05-13,1084944960
2003-05-14,1074744000
2003-05-15,1071829440
2003-05-16,1050698880
2003-05-19,1042683840
2003-05-20,1048512960
2003-05-21,1039769280
2003-05-22,1044141120
2003-05-23,1049970240
2003-05-27,1066000320
2003-05-28,1078387200
2003-05-29,1087130880
2003-05-30,1117005120
2003-06-02,1108261440
2003-06-03,1108990080
2003-06-04,1133763840
2003-06-05,1154894400
2003-06-06,1142507520
2003-06-09,1125020160
2003-06-10,1130849280
2003-06-11,1141778880
2003-06-12,1159266240
2003-06-13,1145422080
2003-06-16,1165824000
2003-06-17,1170924480
2003-06-18,1178939520
2003-06-19,1183311360
2003-06-20,1180396800
2003-06-23,1159994880
2003-06-24,1161452160
2003-06-25,1158537600
2003-06-26,1146150720
2003-06-27,1162909440
2003-06-30,1183879597
2003-07-01,1150810335
2003-07-02,1176530872
2003-07-03,1175796000
2003-07-07,1186819087
2003-07-08,1222827840
2003-07-09,1202251410
2003-07-10,1169182147
2003-07-11,1162568295
2003-07-14,1165507785
2003-07-15,1184614470
2003-07-16,1218418604
2003-07-17,1197107302
2003-07-18,1211804752
2003-07-21,1218418604
2003-07-22,1210335007
2003-07-23,1208130390
2003-07-24,1200781665
2003-07-25,1203721155
2003-07-28,1202251410
2003-07-29,1202251410
2003-07-30,1191228322
2003-07-31,1208130390
2003-08-01,1189023705
2003-08-04,1179470362
2003-08-05,1183144725
2003-08-06,1171386765
2003-08-07,1155954442
2003-08-08,1155954442
2003-08-11,1166977530
2003-08-12,1185349342
2003-08-13,1203721155
2003-08-14,1208130390
2003-08-15,1206660645
2003-08-18,1255897102
2003-08-19,1291170982
2003-08-20,1284557130
2003-08-21,1305133560
2003-08-22,1281617640
2003-08-25,1250752995
2003-08-26,1247813505
2003-08-27,1251487867
2003-08-28,1253692485
2003-08-29,1266920190
2003-09-02,1294110472
2003-09-03,1299989452
2003-09-04,1305868432
2003-09-05,1272799170
2003-09-08,1275003787
2003-09-09,1258836592
2003-09-10,1240464780
2003-09-11,1263980700
2003-09-12,1274268915
2003-09-15,1280882767
2003-09-16,1282352512
2003-09-17,1272799170
2003-09-18,1286761747
2003-09-19,1288231492
2003-09-22,1269124807
2003-09-23,1280882767
2003-09-24,1258101720
2003-09-25,1216948860
2003-09-26,1194902685
2003-09-29,1208130390
2003-09-30,1195013250
2003-10-01,1237797675
2003-10-02,1208291175
2003-10-03,1221569100
2003-10-06,1227470400
2003-10-07,1231896375
2003-10-08,1220831437
2003-10-09,1223044424
2003-10-10,1216405462
2003-10-13,1217143125
2003-10-14,1200176887
2003-10-15,1195750912
2003-10-16,1268779500
2003-10-17,1296810674
2003-10-20,1267304175
2003-10-21,1240748325
2003-10-22,1201652212
2003-10-23,1198701562
2003-10-24,1196488575
2003-10-27,1218618450
2003-10-28,1204602862
2003-10-29,1200914550
2003-10-30,1213454812
2003-10-31,1218618450
2003-11-03,1227470400
2003-11-04,1239273000
2003-11-05,1242223650
2003-11-06,1255501575
2003-11-07,1251075600
2003-11-10,1217143125
2003-11-11,1200914550
2003-11-12,1222306762
2003-11-13,1245911962
2003-11-14,1236322350
2003-11-17,1241485987
2003-11-18,1242961312
2003-11-19,1259189887
2003-11-20,1251813262
2003-11-21,1259927549
2003-11-24,1279106775
2003-11-25,1304924962
2003-11-26,1294597687
2003-11-28,1294597687
2003-12-01,1331480812
2003-12-02,1334431462
2003-12-03,1341070425
2003-12-04,1348447050
2003-12-05,1344021075
2003-12-08,1357299000
2003-12-09,1365413287
2003-12-10,1337382112
2003-12-11,1365413287
2003-12-12,1372052250
2003-12-15,1354348350
2003-12-16,1347709387
2003-12-17,1340332762
2003-12-18,1369839262
2003-12-19,1365413287
2003-12-22,1365413287
2003-12-23,1353610687
2003-12-24,1341808087
2003-12-26,1351397700
2003-12-29,1365413287
2003-12-30,1369101600
2003-12-31,1371447000
2004-01-02,1364767875
2004-01-05,1399647750
2004-01-06,1373673375
2004-01-07,1381094625
2004-01-08,1389258000
2004-01-09,1368478500
2004-01-12,1387031625
2004-01-13,1383321000
2004-01-14,1407811125
2004-01-15,1418200875
2004-01-16,1427848500
2004-01-20,1421911500
2004-01-21,1413006000
2004-01-22,1415974499
2004-01-23,1417458750
2004-01-26,1419685125
2004-01-27,1403358375
2004-01-28,1399647750
2004-01-29,1393710750
2004-01-30,1375157625
2004-02-02,1371447000
2004-02-03,1385547375
2004-02-04,1361057250
2004-02-05,1374415500
2004-02-06,1409295375
2004-02-09,1412263875
2004-02-10,1418200875
2004-02-11,1414490250
2004-02-12,1408553250
2004-02-13,1404100500
2004-02-17,1417458750
2004-02-18,1404100500
2004-02-19,1385547375
2004-02-20,1386289500
2004-02-23,1383321000
2004-02-24,1401132000
2004-02-25,1412263875
2004-02-26,1414490250
2004-02-27,1404842625
2004-03-01,1415974499
2004-03-02,1415232375
2004-03-03,1417458750
2004-03-04,1418200875
2004-03-05,1419685125
2004-03-08,1395195000
2004-03-09,1385547375
2004-03-10,1357346625
2004-03-11,1326177375
2004-03-12,1326177375
2004-03-15,1318014000
2004-03-16,1330630125
2004-03-17,1339535625
2004-03-18,1355862375
2004-03-19,1352151750
2004-03-22,1352151750
2004-03-23,1365510000
2004-03-24,1370704875
2004-03-25,1389258000
2004-03-26,1398163500
2004-03-29,1418200875
2004-03-30,1423395750
2004-03-31,1450738800
2004-04-01,1466507700
2004-04-02,1482276600
2004-04-05,1483778400
2004-04-06,1473265800
2004-04-07,1475518500
2004-04-08,1459749600
2004-04-12,1480023900
2004-04-13,1428962700
2004-04-14,1428211800
2004-04-15,1440977100
2004-04-16,1463504100
2004-04-19,1470262199
2004-04-20,1475518500
2004-04-21,1493540100
2004-04-22,1563373800
2004-04-23,1591908000
2004-04-26,1608427800
2004-04-27,1588153500
2004-04-28,1577640900
2004-04-29,1570882800
2004-04-30,1576890000
2004-05-03,1590406200
2004-05-04,1588153500
2004-05-05,1573886400
2004-05-06,1565626500
2004-05-07,1516818000
2004-05-10,1503301800
2004-05-11,1515316200
2004-05-12,1531085100
2004-05-13,1518319800
2004-05-14,1520572500
2004-05-17,1476269400
2004-05-18,1485280200
2004-05-19,1478522100
2004-05-20,1492789200
2004-05-21,1501800000
2004-05-24,1522074300
2004-05-25,1593409800
2004-05-26,1555864800
2004-05-27,1582146300
2004-05-28,1591908000
2004-06-01,1606175100
2004-06-02,1627200300
2004-06-03,1598666100
2004-06-04,1599417000
2004-06-07,1661741700
2004-06-08,1651229100
2004-06-09,1627951200
2004-06-10,1639214699
2004-06-14,1622694900
2004-06-15,1627200300
2004-06-16,1625698500
2004-06-17,1614435000
2004-06-18,1691777700
2004-06-21,1630954800
2004-06-22,1654232700
2004-06-23,1666998000
2004-06-24,1660239900
2004-06-25,1652730900
2004-06-28,1672254300
2004-06-29,1696283100
2004-06-30,1727564550
2004-07-01,1678528875
2004-07-02,1657405815
2004-07-06,1654388235
2004-07-07,1648353075
2004-07-08,1603843770
2004-07-09,1640054730
2004-07-12,1627230015
2004-07-13,1642317915
2004-07-14,1617422880
2004-07-15,1637791545
2004-07-16,1621194855
2004-07-19,1613650905
2004-07-20,1637037150
2004-07-21,1578194340
2004-07-22,1566878415
2004-07-23,1547264145
2004-07-26,1568387205
2004-07-27,1599317400
2004-07-28,1600071795
2004-07-29,1609124534
2004-07-30,1613650905
2004-08-02,1631001990
2004-08-03,1615159695
2004-08-04,1589510265
2004-08-05,1559334465
2004-08-06,1514070765
2004-08-09,1517088345
2004-08-10,1535193825
2004-08-11,1547264145
2004-08-12,1497474075
2004-08-13,1478614200
2004-08-16,1532930640
2004-08-17,1527649875
2004-08-18,1567632810
2004-08-19,1527649875
2004-08-20,1552544909
2004-08-23,1544246565
2004-08-24,1540474590
2004-08-25,1547264145
2004-08-26,1559334465
2004-08-27,1566878415
2004-08-30,1553299305
2004-08-31,1545000960
2004-09-01,1569141600
2004-09-02,1611387720
2004-09-03,1607615745
2004-09-07,1639300335
2004-09-08,1621949250
2004-09-09,1642317915
2004-09-10,1656651420
2004-09-13,1684564034
2004-09-14,1680037665
2004-09-15,1710213465
2004-09-16,1777354620
2004-09-17,1743406845
2004-09-20,1704932700
2004-09-21,1764529905
2004-09-22,1704932700
2004-09-23,1703423909
2004-09-24,1702669515
2004-09-27,1692107985
2004-09-28,1720020600
2004-09-29,1744915635
2004-09-30,1713768760
2004-10-01,1784923469
2004-10-04,1800062770
2004-10-05,1768270240
2004-10-06,1796277945
2004-10-07,1753887905
2004-10-08,1734206815
2004-10-11,1763728450
2004-10-12,1766756310
2004-10-13,1735720745
2004-10-14,1713011795
2004-10-15,1771298100
2004-10-18,1756158800
2004-10-19,1776596855
2004-10-20,1776596855
2004-10-21,1857592110
2004-10-22,1803847594
2004-10-25,1828070475
2004-10-26,1828070475
2004-10-27,1878030165
2004-10-28,1862890865
