,FTV
2019-11-21,19968704000
2019-11-22,19901424000
2019-11-25,20123448000
2019-11-26,20311832000
2019-11-27,20369020000
2019-11-29,20315196000
2019-12-02,20207548000
2019-12-03,20019164000
2019-12-04,20103264000
2019-12-05,20352200000
2019-12-06,20513672000
2019-12-09,20870256000
2019-12-10,20786156000
2019-12-11,21105736000
2019-12-12,21442136000
2019-12-13,21166288000
2019-12-16,21438772000
2019-12-17,21603608000
2019-12-18,21573332000
2019-12-19,21576696000
2019-12-20,21321032000
2019-12-23,21633884000
2019-12-24,21502688000
2019-12-26,21475776000
2019-12-27,21556512000
2019-12-30,21472412000
2019-12-31,21528256000
2020-01-02,21858320000
2020-01-03,21767384000
2020-01-06,21652872000
2020-01-07,21723600000
2020-01-08,21703392000
2020-01-09,21979568000
2020-01-10,21982936000
2020-01-13,22208592000
2020-01-14,22080608000
2020-01-15,21982936000
2020-01-16,22057032000
2020-01-17,22201856000
2020-01-21,22033456000
2020-01-22,21888632000
2020-01-23,21868424000
2020-01-24,21676448000
2020-01-27,21029792000
2020-01-28,21147672000
2020-01-29,21225136000
2020-01-30,21477736000
2020-01-31,21117360000
2020-02-03,21076944000
2020-02-04,21558568000
2020-02-05,21858320000
2020-02-06,21935784000
2020-02-07,22272584000
2020-02-10,22360152000
2020-02-11,22376992000
2020-02-12,22265848000
2020-02-13,21770752000
2020-02-14,21929048000
2020-02-18,21885264000
2020-02-19,21662975999
2020-02-20,21642768000
2020-02-21,21366592000
2020-02-24,20447128000
2020-02-25,19807208000
2020-02-26,19941928000
2020-02-27,19810576000
2020-02-28,19490616000
2020-03-02,19911616000
2020-03-03,19554608000
2020-03-04,20312408000
2020-03-05,19211072000
2020-03-06,18830488000
2020-03-09,17503496000
2020-03-10,17604536000
2020-03-11,16749063999
2020-03-12,15708352000
2020-03-13,16833263999
2020-03-16,14610384000
2020-03-17,14842776000
2020-03-18,12700728000
2020-03-19,12980272000
2020-03-20,12845552000
2020-03-23,11838520000
2020-03-24,14068136000
2020-03-25,14061400000
2020-03-26,14563232000
2020-03-27,14014814999
2020-03-30,14706280000
2020-03-31,15576514000
2020-04-01,15515800000
2020-04-02,15805878000
2020-04-03,15320166000
2020-04-06,16160042999
2020-04-07,16497342999
2020-04-08,17114602000
2020-04-09,17229284000
2020-04-13,16770556000
2020-04-14,17219165000
2020-04-15,16227503000
2020-04-16,16025123000
2020-04-17,17037023000
2020-04-20,16568176000
2020-04-21,15762028999
2020-04-22,16298336000
2020-04-23,16541192000
2020-04-24,17030277000
2020-04-27,18059042000
2020-04-28,18264795000
2020-04-29,18500905000
2020-04-30,18065788000
2020-05-01,17148332000
2020-05-04,17219165000
2020-05-05,16463613000
2020-05-06,16305082000
2020-05-07,16352303999
2020-05-08,16730080000
2020-05-11,16601906000
2020-05-12,15853100000
2020-05-13,15370761000
2020-05-14,15738417999
2020-05-15,15593378999
2020-05-18,16706469000
2020-05-19,16682858000
2020-05-20,16682858000
2020-05-21,16450121000
2020-05-22,16520953999
2020-05-26,17323728000
2020-05-27,17967971000
2020-05-28,17370950000
2020-05-29,17212419000
2020-06-01,17549719000
2020-06-02,18072534000
2020-06-03,18932649000
2020-06-04,19040585000
2020-06-05,19931057000
2020-06-08,19866970000
2020-06-09,19640979000
2020-06-10,18871935000
2020-06-11,17738607000
2020-06-12,17964598000
2020-06-15,18173724000
2020-06-16,19138402000
2020-06-17,19165386000
2020-06-18,19242965000
2020-06-19,19151894000
2020-06-22,19307052000
2020-06-23,19276695000
2020-06-24,18632452000
2020-06-25,19097926000
2020-06-26,18750304000
2020-06-29,19189184000
2020-06-30,19114912000
2020-07-01,19057520000
2020-07-02,19253328000
