,AMGN
2004-06-30,69413040000
2004-07-01,69654720000
2004-07-02,70214400000
2004-07-06,68726160000
2004-07-07,68548080000
2004-07-08,67823040000
2004-07-09,68191920000
2004-07-12,68662559999
2004-07-13,69349440000
2004-07-14,70596000000
2004-07-15,71232000000
2004-07-16,70888560000
2004-07-19,70735920000
2004-07-20,72504000000
2004-07-21,71041200000
2004-07-22,71359200000
2004-07-23,70417920000
2004-07-26,70596000000
2004-07-27,71117520000
2004-07-28,72504000000
2004-07-29,72504000000
2004-07-30,72351360000
2004-08-02,71626320000
2004-08-03,71677200000
2004-08-04,71931600000
2004-08-05,70087200000
2004-08-06,68433600000
2004-08-09,67708559999
2004-08-10,68560800000
2004-08-11,70214400000
2004-08-12,69743760000
2004-08-13,69145920000
2004-08-16,70939440000
2004-08-17,71206560000
2004-08-18,72834720000
2004-08-19,73000080000
2004-08-20,74030400000
