,DYN
2023-12-22,776626623
2023-12-26,776626623
2023-12-27,837406098
2023-12-28,807937262
2023-12-29,816532339
2024-01-02,1058431257
2024-01-03,1197016054
2024-01-04,1571438137
2024-01-05,1455545588
2024-01-08,1461218650
2024-01-09,1521191018
2024-01-10,1405298468
2024-01-11,1329927789
2024-01-12,1352620037
2024-01-16,1355861786
2024-01-17,1349378287
2024-01-18,1313719041
2024-01-19,1265903234
2024-01-22,1312098166
2024-01-23,1376122722
2024-01-24,1374501847
2024-01-25,1450682963
2024-01-26,1714885559
2024-01-29,1693814186
2024-01-30,1716506434
2024-01-31,1734336057
2024-02-01,1787824926
2024-02-02,1705160310
2024-02-05,1773237053
2024-02-06,1778099677
2024-02-07,1737577807
2024-02-08,1842124232
2024-02-09,1945860221
2024-02-12,1970173343
2024-02-13,1872920854
2024-02-14,1960448094
2024-02-15,1912632287
2024-02-16,1856712106
2024-02-20,1842934670
2024-02-21,1827536359
2024-02-22,1816190235
2024-02-23,1846986857
2024-02-26,1948291533
2024-02-27,1993676028
2024-02-28,2024472650
2024-02-29,2180076632
2024-03-01,2360804175
2024-03-04,2245722063
2024-03-05,2096601579
2024-03-06,2170351383
2024-03-07,2142796512
2024-03-08,2039060523
2024-03-11,2070667582
2024-03-12,2196285381
2024-03-13,2250584687
2024-03-14,2162247009
2024-03-15,2268414310
2024-03-18,2129829513
2024-03-19,2230323752
2024-03-20,2261930811
2024-03-21,2364856362
2024-03-22,2288675245
2024-03-25,2111999890
2024-03-26,2170351383
2024-03-27,2309746618
2024-03-28,2300831806
2024-04-01,2269224748
2024-04-02,2256257749
2024-04-03,2330817991
2024-04-04,2143606949
2024-04-05,2142796512
2024-04-08,2180076632
2024-04-09,2206821067
2024-04-10,2174403571
2024-04-11,2218977628
2024-04-12,2094980704
2024-04-15,2061752771
2024-04-16,1996107340
2024-04-17,2011505651
2024-04-18,1916684474
2024-04-19,1933703660
2024-04-22,2015557838
2024-04-23,2061752771
2024-04-24,2024472650
2024-04-25,1920736661
2024-04-26,2004211714
2024-04-29,2063373645
2024-04-30,2051217084
2024-05-01,2093359830
2024-05-02,2107137266
2024-05-03,2113620765
2024-05-06,2127398201
2024-05-07,2078771956
2024-05-08,2082013706
2024-05-09,2103085078
2024-05-10,2107137266
2024-05-13,2157384385
2024-05-14,2282191746
2024-05-15,2381065110
2024-05-16,2330007553
2024-05-17,2243290750
2024-05-20,2867327556
2024-05-21,2644457268
2024-05-22,2555309153
2024-05-23,2532616906
2024-05-24,2530185594
2024-05-28,2432122667
2024-05-29,2518839470
2024-05-30,2528564719
2024-05-31,2583674463
2024-06-03,2545583904
2024-06-04,2545583904
2024-06-05,2665528641
2024-06-06,2634732019
2024-06-07,2507493346
2024-06-10,2552877841
2024-06-11,2509114221
2024-06-12,2675253890
2024-06-13,2730363634
2024-06-14,2680116514
2024-06-17,2576380526
2024-06-18,2686600014
2024-06-20,2625006770
2024-06-21,2838151809
2024-06-24,2887588491
2024-06-25,2748193257
2024-06-26,2749003694
2024-06-27,2870569306
2024-06-28,2860033619
2024-07-01,2876242368
2024-07-02,2808165625
2024-07-03,2762781130
2024-07-05,2787904690
2024-07-08,2723880135
2024-07-09,3015637602
2024-07-10,3205279956
2024-07-11,3400595372
2024-07-12,3366557001
2024-07-15,3512435734
2024-07-16,3578081165
2024-07-17,3361694376
2024-07-18,3354400439
2024-07-19,3360883939
2024-07-22,3500279173
2024-07-23,3568355916
2024-07-24,3545663668
2024-07-25,3460567740
2024-07-26,3608877786
2024-07-29,3471103427
2024-07-30,3473534739
2024-07-31,3477586926
2024-08-01,3410320621
2024-08-02,3309015945
2024-08-05,3339812566
2024-08-06,3515677484
2024-08-07,3419235432
2024-08-08,3490553924
2024-08-09,3533507107
