,FOSL
2003-03-18,841259159
2003-03-19,841726998
2003-03-20,851552605
2003-03-21,863249780
2003-03-24,833305049
2003-03-25,827222577
2003-03-26,822075784
2003-03-27,841726998
2003-03-28,830497733
2003-03-31,805699795
2003-04-01,822075784
2003-04-02,833305049
2003-04-03,836580275
2003-04-04,823011602
2003-04-07,843891089
2003-04-08,835978110
2003-04-09,821548689
2003-04-10,822945089
2003-04-11,833185310
2003-04-14,908125489
2003-04-15,899281600
2003-04-16,879732000
2003-04-17,893696000
2003-04-21,861113310
2003-04-22,885783089
2003-04-23,865768000
2003-04-24,861113310
2003-04-25,851338510
2003-04-28,876473710
2003-04-29,870888110
2003-04-30,852734910
2003-05-01,849476689
2003-05-02,890903200
2003-05-05,914176510
2003-05-06,924416800
2003-05-07,926278689
2003-05-08,923951310
2003-05-09,930002400
2003-05-12,936984400
2003-05-13,966308800
2003-05-14,951879310
2003-05-15,982134689
2003-05-16,964912400
2003-05-19,936053489
2003-05-20,931864289
2003-05-21,930933310
2003-05-22,945362800
2003-05-23,954206689
2003-05-27,945362800
2003-05-28,983531089
2003-05-29,1005408000
2003-05-30,1043110800
2003-06-02,1067315089
2003-06-03,1047300000
2003-06-04,1051954689
2003-06-05,1082210000
2003-06-06,1071969710
2003-06-09,1042645310
2003-06-10,1027284910
2003-06-11,1029146800
2003-06-12,1048230910
2003-06-13,1047765489
2003-06-16,1088261089
2003-06-17,1081744510
2003-06-18,1082210000
2003-06-19,1077555310
2003-06-20,1085002800
2003-06-23,1061264000
2003-06-24,1078020800
2003-06-25,1093846689
2003-06-26,1105483310
2003-06-27,1123636440
2003-06-30,1099897710
2003-07-01,1118981889
2003-07-02,1131549489
2003-07-03,1118981889
2003-07-07,1199088620
2003-07-08,1188361813
2003-07-09,1261118583
2003-07-10,1216811486
2003-07-11,1218677070
2003-07-14,1236866280
2003-07-15,1240597446
2003-07-16,1221475340
2003-07-17,1174370043
2003-07-18,1184630506
2003-07-21,1183231476
2003-07-22,1185097059
2003-07-23,1208882949
2003-07-24,1214945973
2003-07-25,1212613906
2003-07-28,1231736013
2003-07-29,1224273750
2003-07-30,1216345143
2003-07-31,1185563403
2003-08-01,1182765133
2003-08-04,1195823866
2003-08-05,1180433066
2003-08-06,1170638946
2003-08-07,1193491940
2003-08-08,1214945973
2003-08-11,1220542653
2003-08-12,1296564176
2003-08-13,1305892093
2003-08-14,1259253000
