,FDS
2002-09-16,1135988761
2002-09-17,1269053040
2002-09-18,1317716548
2002-09-19,1272094509
2002-09-20,1315435446
2002-09-23,1313154344
2002-09-24,1276656713
2002-09-25,1330642792
2002-09-26,1368661158
2002-09-27,1343569036
2002-09-30,1345850138
2002-10-01,1416564298
2002-10-02,1288822590
2002-10-03,1209744390
2002-10-04,1144352801
2002-10-07,1138269863
2002-10-08,1189974840
2002-10-09,1145873536
2002-10-10,1202901084
2002-10-11,1288822590
2002-10-14,1307071405
2002-10-15,1378545933
2002-10-16,1276656713
2002-10-17,1383868504
2002-10-18,1368661158
2002-10-21,1469790010
2002-10-22,1466748540
2002-10-23,1480435152
2002-10-24,1454582664
2002-10-25,1512370579
2002-10-28,1481195519
2002-10-29,1434813113
2002-10-30,1401356952
2002-10-31,1386149606
2002-11-01,1425688706
2002-11-04,1513891314
2002-11-05,1519974252
2002-11-06,1519974252
2002-11-07,1467508908
2002-11-08,1443937521
2002-11-11,1396794748
2002-11-12,1452301562
2002-11-13,1468269275
2002-11-14,1507048008
2002-11-15,1499444335
2002-11-18,1516172416
2002-11-19,1454582664
2002-11-20,1494882131
2002-11-21,1513130946
2002-11-22,1510849844
2002-11-25,1538223068
2002-11-26,1496402866
2002-11-27,1552670047
2002-11-29,1566356658
2002-12-02,1081626975
2002-12-03,1076584425
2002-12-04,1085156760
2002-12-05,1084148250
2002-12-06,1087678035
2002-12-09,1026158925
2002-12-10,957580244
2002-12-11,897069645
2002-12-12,941948340
2002-12-13,924299414
2002-12-16,971195130
2002-12-17,953546205
2002-12-18,961614285
2002-12-19,941444085
2002-12-20,962622795
2002-12-23,941444085
2002-12-24,942452595
2002-12-26,954554715
2002-12-27,936401535
2002-12-30,941444085
2002-12-31,950520675
2003-01-02,971699385
2003-01-03,957580244
2003-01-06,982288740
2003-01-07,980775975
2003-01-08,975733425
2003-01-09,985818525
2003-01-10,981784485
2003-01-13,988844055
2003-01-14,1001450430
2003-01-15,974724914
2003-01-16,962118539
2003-01-17,942452595
2003-01-21,931863240
2003-01-22,919256865
2003-01-23,930350475
2003-01-24,902616449
2003-01-27,902616449
2003-01-28,905641980
2003-01-29,926316435
2003-01-30,882446250
2003-01-31,914214315
2003-02-03,895052625
2003-02-04,896565390
2003-02-05,884967525
2003-02-06,883959015
2003-02-07,849669675
2003-02-10,844627125
2003-02-11,844627125
2003-02-12,823448414
2003-02-13,852190949
2003-02-14,863788815
2003-02-18,870344130
2003-02-19,863284560
2003-02-20,860763285
2003-02-21,879924975
2003-02-24,842610105
2003-02-25,858746265
2003-02-26,842105850
2003-02-27,840593085
2003-02-28,856113449
2003-03-03,838047750
2003-03-04,828011250
2003-03-05,832527675
2003-03-06,839553225
2003-03-07,842062350
2003-03-10,817974750
2003-03-11,826505775
2003-03-12,826505775
2003-03-13,838549575
2003-03-14,841560525
